Rank,team,Ratio Pts,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,RGoalsF,GoalsF,xGoalsF,RGoalsA,GoalsA,xGoalsA,2HTGoalsF,x2HTGoalsF,2HTGoalsA,x2HTGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,Shots_Diff,ShotsF100,ShotsF,xShotsF,ShotsA_Diff,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
4,Puebla,113%,24,21.30394768,6,6,5,5.487850227,4.840397,6.671752773,0,-2.470766667,-4.608522494,7.079289162,78%,16,20.60852249,69%,16,23.07928916,12,11.57082448,9,12.97093888,4,9.037698014,7,10.10835029,34%,119%,221,186.3939959,37%,104%,206,197.1925258,84%,66,78.39876873,67%,57,84.46124252,114%,254,223.1059752,97%,214,221.0889489,110%,33,30.12302945,100%,29,29.04469113,2.726509512,5,1.833846527,2.906099922,5,1.720518954
13,Club Tijuana,72%,15,20.74471159,3,6,8,5.369567475,4.636009171,6.994423355,-11,-3.710315948,-4.231901685,-3.057782367,79%,16,20.23190168,113%,27,23.94221763,8,11.31973668,16,13.48930143,8,8.912165004,11,10.4529162,29%,110%,201,183.3892345,37%,116%,234,201.2618303,81%,63,77.88512395,80%,69,86.63001972,113%,252,223.5239528,98%,217,221.0562663,113%,34,30.12515274,121%,35,28.81754536,1.613094148,3,1.859779855,0.574897162,1,1.73944153
15,Necaxa,91%,20,21.92352147,6,2,9,5.737105354,4.712205411,6.550689235,-6,-1.745484314,-5.122403122,0.867887436,76%,16,21.12240312,96%,22,22.86788744,12,11.86666537,11,12.83425219,4,9.255737752,11,10.03363524,33%,133%,248,187.1097596,20%,102%,200,196.818432,99%,79,79.62411003,82%,69,84.37277387,111%,246,221.4031061,85%,186,219.5269499,91%,27,29.76726373,108%,31,28.68969933,0.551077293,1,1.814627481,1.139962319,2,1.754443956
9,Guadalajara Chivas,98%,22,22.46645571,5,7,5,5.813790507,5.025084186,6.161125307,0,-0.655211096,-8.477231232,9.132442329,61%,13,21.47723123,59%,13,22.13244233,10,12.09676091,7,12.46408482,3,9.380470326,6,9.668357507,20%,108%,206,190.136463,31%,96%,186,193.9112444,88%,71,80.45200975,65%,53,82.08494548,105%,235,223.0661695,102%,226,222.4082928,130%,39,30.03528526,119%,35,29.43046154,1.10905844,2,1.803331481,1.13293427,2,1.765327481
10,Atl. San Luis,99%,20,20.25813971,4,8,5,5.097653793,4.96517833,6.937167878,-4,-3.985482279,-0.686638696,0.672120975,97%,19,19.6866387,97%,23,23.67212098,8,11.0157741,11,13.25150782,11,8.6708646,12,10.42061315,21%,108%,196,180.9829345,29%,108%,218,201.6256841,87%,66,75.8228724,79%,68,86.12681844,105%,234,223.8943968,89%,197,220.7095201,94%,29,30.82833703,97%,28,28.78634755,1.037411505,2,1.927875284,3.007995891,5,1.662236313
17,Santos Laguna,95%,24,25.37794405,5,9,3,6.924747072,4.603702833,5.471550096,7,3.333251498,-0.784712368,4.45146087,97%,23,23.78471237,78%,16,20.45146087,13,13.3594968,12,11.50568708,10,10.42521557,4,8.945773793,39%,125%,250,200.6906043,42%,122%,224,184.0226442,86%,74,86.06520198,79%,62,78.01927947,103%,229,222.0531756,120%,270,224.6403447,111%,32,28.74538596,161%,49,30.35536232,1.149824622,2,1.739395697,2.709314228,5,1.845485454
14,Queretaro,82%,15,18.36214368,3,6,8,4.472176803,4.945613274,7.582209923,-8,-6.615998898,-7.601819085,6.217817983,59%,11,18.60181909,75%,19,25.21781798,7,10.40344335,11,14.23605295,4,8.198375736,8,10.98176504,49%,107%,188,175.5350533,39%,120%,250,208.6326796,58%,42,72.8934798,81%,72,89.3802497,99%,223,224.5863313,117%,256,219.2187552,118%,37,31.37120117,110%,31,28.10353146,3.058740346,6,1.961591806,1.242857412,2,1.609195054
0,Monterrey,76%,22,28.78706808,5,7,5,8.065276049,4.591239932,4.343484019,3,8.22704451,-7.501577416,2.274532906,72%,19,26.50157742,88%,16,18.27453291,8,14.95064423,10,10.20489424,11,11.55093318,6,8.069638662,21%,96%,205,213.2565261,25%,108%,188,174.3002228,75%,69,91.77261154,83%,60,71.99839874,98%,215,218.8927054,100%,226,224.9960747,114%,32,27.95536887,128%,40,31.32409195,3.66023153,6,1.639240565,2.027264033,4,1.973102632
12,Cruz Azul,85%,23,26.93875515,5,8,4,7.295310441,5.052823826,4.651865733,4,5.932839679,-3.734209166,1.801369487,85%,21,24.73420917,90%,17,18.80136949,6,13.94347554,7,10.52764434,15,10.79073363,10,8.273725148,18%,82%,169,205.9840239,24%,107%,190,178.3152442,64%,56,87.92423358,83%,61,73.90172171,98%,216,220.7360502,95%,213,224.6065025,137%,39,28.51653197,110%,34,31.02915538,1.221458477,2,1.637386811,1.024724358,2,1.951744373
8,Club America,120%,35,29.07368223,10,5,2,8.131569326,4.678974248,4.189456426,11,8.472568658,-5.54258771,8.070019052,79%,21,26.54258771,55%,10,18.07001905,13,14.97245948,4,10.12968117,8,11.57012823,6,7.940337887,21%,104%,224,215.0160434,10%,81%,140,172.6815579,83%,77,92.52763612,71%,51,71.7333017,97%,212,218.5673161,106%,238,225.5251759,98%,27,27.5200607,108%,34,31.47966684,2.526100662,4,1.583468173,2.540476987,5,1.968134341
7,U.A.N.L.- Tigres,107%,28,26.12093504,7,7,3,7.131025558,4.727858364,5.141116078,12,4.459529732,1.872638102,5.667832166,108%,26,24.1273619,71%,14,19.66783217,12,13.56949134,7,11.03319502,14,10.55787055,7,8.634637148,24%,111%,227,203.8059098,26%,111%,201,181.2639339,87%,76,87.4514764,85%,65,76.30385436,97%,213,220.6984645,92%,207,225.0837181,98%,28,28.46562398,108%,33,30.44632048,1.765148583,3,1.699573639,1.624414018,3,1.846819818
1,Mazatlan FC,117%,20,17.11615977,5,5,7,4.159695155,4.637074307,8.203230538,-6,-9.130209129,-0.000370297,3.130579425,100%,18,18.0003703,88%,24,27.13057943,9,10.04912315,11,15.20474881,9,7.951247145,13,11.92583062,20%,76%,132,173.2841441,33%,116%,251,216.7641932,56%,40,71.17532147,83%,77,93.29858248,96%,216,225.0083725,100%,219,218.3342311,128%,40,31.32907363,98%,27,27.52601777,1.051932108,2,1.901263384,1.932307735,3,1.552547736
