,team,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,GoalsF,xGoalsF,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF100,ShotsF,xShotsF,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
0,Guadalajara Chivas,20,21.97085110326532,5,5,7,5.738712128188329,4.754714718700334,6.506573153111336,-1,-1.3987192083645397,0.14252952784048034,0.2561896805240593,21,20.85747047215952,22,22.25618968052406,0.0,9.120772119181378,0.0,9.734839858217523,0.0,0.0,186.99043454189837,0.0,0.0,195.0970326761641,0.0,0.0,79.28013082546889,0.0,0.0,83.15283639620303,0.0,0.0,222.63056530945443,0.0,0.0,221.45999330300555,0.0,0.0,30.00712743780892,0.0,0.0,29.214324282030283,0.0,0.0,1.8254589511509436,0.0,0.0,1.7442598927520665
1,U.A.N.L.- Tigres,29,30.523644196710496,8,5,4,8.712217213283825,4.3869925568590205,3.9007902298571526,14,10.628477874404076,4.083646756277982,-0.7121246306820588,32,27.916353243722018,18,17.28787536931794,0.0,12.256071238446932,0.0,7.566234320881927,0.0,0.0,223.28839873570774,0.0,0.0,169.89893089851597,0.0,0.0,96.10033177936819,0.0,0.0,69.26575152582933,0.0,0.0,217.03999289108492,0.0,0.0,225.27814498665342,0.0,0.0,27.2658849678024,0.0,0.0,31.602995045759425,0.0,0.0,1.5106099188964448,0.0,0.0,1.903993613166905
2,Queretaro,26,19.400225724170348,7,5,5,4.935031914833328,4.595129979670363,7.469838105496309,-1,-5.266510904399482,-0.35372690680671326,4.620237811206195,19,19.353726906806713,20,24.620237811206195,0.0,8.511753781828343,0.0,10.781442698019319,0.0,0.0,180.1114672487758,0.0,0.0,206.88768448396243,0.0,0.0,74.71530395163481,0.0,0.0,88.05156160874084,0.0,0.0,224.62807847639283,0.0,0.0,220.07910170442602,0.0,0.0,30.94082915774794,0.0,0.0,28.482069967818326,0.0,0.0,1.9357365370847257,0.0,0.0,1.6624249098094812
3,U.N.A.M.- Pumas,30,21.62562229911142,8,6,3,5.709368942282456,4.49751547226405,6.793115585453495,10,-2.1589365679190813,8.233332505601478,3.9256040623176034,29,20.766667494398522,19,22.925604062317603,0.0,9.10839637016806,0.0,9.992777337071148,0.0,0.0,185.74984527326538,0.0,0.0,197.24421432967557,0.0,0.0,79.57432032014508,0.0,0.0,85.31327146848184,0.0,0.0,222.0847680624214,0.0,0.0,220.47753533166372,0.0,0.0,29.77314828420197,0.0,0.0,28.694331998179184,0.0,0.0,1.832130200770151,0.0,0.0,1.7529411621885798
4,Santos Laguna,30,24.878516163165912,8,6,3,6.774904535239894,4.553802557446227,5.6712929073138785,9,2.280194830422044,4.147029377618317,2.5727757919596392,27,22.852970622381683,18,20.57277579195964,0.0,9.962416934016328,0.0,9.018892060776116,0.0,0.0,196.41644822280546,0.0,0.0,185.24706298249365,0.0,0.0,84.44176769458828,0.0,0.0,78.71123427288364,0.0,0.0,220.89581224260462,0.0,0.0,223.6239328260783,0.0,0.0,28.800746577925448,0.0,0.0,30.120074026098006,0.0,0.0,1.7563872394543,0.0,0.0,1.817721120429312
5,Toluca,26,26.324077134328746,8,2,7,7.28839623026813,4.458888443524354,5.252715326207516,5,4.204310707285401,2.979996872717294,-2.184307580002695,27,24.020003127282706,22,19.815692419997305,0.0,10.519158229315844,0.0,8.710601624081768,0.0,0.0,203.59944214631042,0.0,0.0,181.74650546565925,0.0,0.0,87.2121621740238,0.0,0.0,76.48564159055991,0.0,0.0,220.65058307671936,0.0,0.0,224.38920286461257,0.0,0.0,28.33999443923974,0.0,0.0,30.647545823744203,0.0,0.0,1.6605483459570398,0.0,0.0,1.9091225806242984
6,Monarcas,25,19.994160892347946,7,4,6,5.185139049037176,4.438743745236418,7.376117205726406,-3,-4.629944259196286,3.484656201102034,-1.854711941905748,23,19.515343798897966,26,24.145288058094252,0.0,8.632928357189112,0.0,10.62447394331136,0.0,0.0,180.13557164172408,0.0,0.0,203.02477422815477,0.0,0.0,76.27194667859519,0.0,0.0,87.61137814356296,0.0,0.0,223.80821644209266,0.0,0.0,219.8830171060007,0.0,0.0,30.48105137946077,0.0,0.0,28.175500894477842,0.0,0.0,1.8858108498960786,0.0,0.0,1.6565692234284852
7,Monterrey,30,29.330829804472025,9,3,5,8.325312927506413,4.354891021952785,4.319796050540804,6,8.72423271516153,-1.872751059257844,-0.8514816559036866,25,26.872751059257844,19,18.148518344096313,0.0,11.751913177669636,0.0,7.9716264572312685,0.0,0.0,216.22447415777577,0.0,0.0,173.99354682851148,0.0,0.0,93.27595437776984,0.0,0.0,71.74919941223236,0.0,0.0,218.62517372552878,0.0,0.0,225.59280924350588,0.0,0.0,27.82854349395716,0.0,0.0,31.410768657119906,0.0,0.0,1.6203923646186846,0.0,0.0,1.8999052757827672
8,Club Tijuana,17,23.885938416324443,4,5,8,6.423557159549182,4.6152669376769,5.961175902773918,-11,0.8989787825290954,-9.194105168668596,-2.7048736138604994,13,22.194105168668596,24,21.2951263861395,0.0,9.75549795368055,0.0,9.345525601968085,0.0,0.0,194.17565430016583,0.0,0.0,188.78041932096943,0.0,0.0,83.77897105343519,0.0,0.0,81.20389227868338,0.0,0.0,221.74485464402335,0.0,0.0,223.40865881077514,0.0,0.0,28.987660880953243,0.0,0.0,29.652273053004453,0.0,0.0,1.7572047621998832,0.0,0.0,1.8097872298687072
9,Cruz Azul,36,27.646813886903498,11,3,3,7.6509016360326365,4.694108978805588,4.654989385161777,13,6.446456211942596,0.757972722853026,5.795571065204378,26,25.242027277146974,13,18.795571065204378,0.0,10.99863219590235,0.0,8.253930931583497,0.0,0.0,207.92665078142147,0.0,0.0,176.4226223815662,0.0,0.0,89.79502498051494,0.0,0.0,73.85418915801756,0.0,0.0,218.3385154713887,0.0,0.0,223.71945335608234,0.0,0.0,27.966992964162216,0.0,0.0,31.023224283992093,0.0,0.0,1.587298454971378,0.0,0.0,1.942444795181465
