Rank,team,Rpoints,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,RGoalsF,GoalsF,xGoalsF,RGoalsA,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF100,ShotsF,xShotsF,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
0,Juarez,106%,19,17.85914692,4,7,6,4.477520643,4.42658499,8.095894366,-3,-8.178823857,-2.292965602,7.471789459,87%,16,18.2929656,72%,19,26.47178946,0,8.052702779,0,11.5479496,0,0,174.4908469,0,0,213.1734154,0,0,72.15931989,0,0,92.34649924,0,0,225.1554725,0,0,218.0947183,0,0,31.12541714,0,0,27.95117784,0,0,1.91501895,0,0,1.670561604
1,Mazatlan FC,81%,16,19.66964535,4,4,9,5.073025375,4.450569228,7.476405397,-7,-5.284087682,4.727765841,-6.443678159,125%,24,19.27223416,126%,31,24.55632184,0,8.451336539,0,10.72616926,0,0,179.0544603,0,0,205.2958103,0,0,75.83825612,0,0,88.94631573,0,0,223.7180043,0,0,219.2960178,0,0,30.54736236,0,0,28.08792019,0,0,1.901663564,0,0,1.636830251
2,Atlas,73%,14,19.26635475,3,5,9,4.891541461,4.591730367,7.516728172,-7,-5.655379736,-6.112691396,4.768071132,68%,13,19.1126914,81%,20,24.76807113,0,8.358416459,0,10.85981582,0,0,177.8983541,0,0,206.1051624,0,0,75.01257944,0,0,88.99798096,0,0,225.1484706,0,0,220.0142286,0,0,30.96977364,0,0,28.21944962,0,0,1.927055814,0,0,1.72296535
3,Monterrey,103%,29,28.20217875,8,5,4,7.998915746,4.205431511,4.795652744,5,6.976800114,0.193240344,-2.170040458,101%,26,25.80675966,112%,21,18.82995954,0,11.24238303,0,8.261164097,0,0,208.9468971,0,0,176.4741306,0,0,90.35199933,0,0,73.8770851,0,0,218.7263942,0,0,223.4630257,0,0,27.99546858,0,0,30.73803194,0,0,1.653588004,0,0,1.885469187
4,Club America,123%,32,26.06793195,9,5,3,7.213339529,4.427913365,5.358747107,9,3.828397586,7.333478713,-2.161876299,131%,31,23.66652129,111%,22,19.8381237,0,10.36902906,0,8.699765116,0,0,201.5232617,0,0,181.3066776,0,0,86.41653004,0,0,76.4909454,0,0,220.3676409,0,0,223.5356882,0,0,28.61890964,0,0,30.57688954,0,0,1.678909262,0,0,1.922433517
5,Santos Laguna,99%,25,25.17909511,7,4,6,6.928503133,4.393585715,5.677911152,4,2.452409794,0.860444445,0.687145761,104%,24,23.13955555,97%,20,20.68714576,0,10.15214856,0,9.037872432,0,0,197.9493781,0,0,185.6393839,0,0,84.93406545,0,0,78.63494339,0,0,221.5766704,0,0,222.6828866,0,0,28.99249513,0,0,29.87117009,0,0,1.750413196,0,0,1.843744376
6,Cruz Azul,97%,29,29.89544835,9,2,6,8.502847834,4.386904845,4.110247321,7,9.390698167,-3.986860931,1.596162765,85%,23,26.98686093,91%,16,17.59616276,0,11.81110994,0,7.711545495,0,0,217.1171287,0,0,171.3038033,0,0,93.27454889,0,0,70.00987439,0,0,217.1357972,0,0,225.3902909,0,0,27.88585972,0,0,31.77599393,0,0,1.613240291,0,0,2.00110515
7,Pachuca,99%,25,25.15672128,6,7,4,6.834790417,4.652350028,5.512859555,4,2.84973062,-5.183161328,6.333430708,78%,18,23.18316133,69%,14,20.33343071,0,10.15307958,0,8.900844536,0,0,198.6810075,0,0,184.0950138,0,0,85.33104967,0,0,77.98119253,0,0,219.3527484,0,0,222.9007028,0,0,28.75190137,0,0,30.44605246,0,0,1.747273859,0,0,1.875187697
8,Puebla,109%,20,18.27916287,6,2,9,4.578353802,4.54410146,7.877544738,-3,-6.728226037,3.301901587,0.42632445,118%,22,18.69809841,98%,25,25.42632445,0,8.160661495,0,11.09710954,0,0,175.9581327,0,0,209.8459731,0,0,72.96601616,0,0,89.91672882,0,0,225.1557915,0,0,219.1359384,0,0,31.33424392,0,0,28.16248816,0,0,1.979833539,0,0,1.642106701
9,Toluca,103%,21,20.42540903,6,3,8,5.36504774,4.330265813,7.304686447,-5,-4.055313365,3.108223352,-4.052909987,116%,23,19.89177665,117%,28,23.94709001,0,8.700499417,0,10.47251279,0,0,181.389663,0,0,202.300389,0,0,76.78203311,0,0,87.03335048,0,0,223.7234411,0,0,220.4622216,0,0,30.34073873,0,0,28.52954756,0,0,1.915577906,0,0,1.669780196
10,Club Leon,133%,40,29.99997384,12,4,1,8.604360939,4.186891021,4.208748039,13,9.272319399,-0.015028462,3.742709063,100%,27,27.01502846,79%,14,17.74270906,0,11.76024118,0,7.819661606,0,0,215.6339863,0,0,171.8090222,0,0,93.46524157,0,0,70.79407634,0,0,217.0045079,0,0,224.4297288,0,0,27.66889656,0,0,31.44864851,0,0,1.605866027,0,0,2.002743982
