,team,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,GoalsF,xGoalsF,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF100,ShotsF,xShotsF,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
0,Veracruz,18,17.657571859812226,5,3,9,4.330631669821475,4.6656768503478006,8.003691479830724,-13,-7.488543067115732,-6.2868615626870294,0.775404629802761,12,18.28686156268703,25,25.77540462980276,0.0,8.053851970381928,0.0,11.247972713890803,0.0,0.0,175.34746864746194,0.0,0.0,211.1908994122686,0.0,0.0,72.40501679453487,0.0,0.0,90.62399097923043,0.0,0.0,225.2919440524252,0.0,0.0,218.4522310473724,0.0,0.0,31.433673879316437,0.0,0.0,28.192376273314665,0.0,0.0,1.9353022350593019,0.0,0.0,1.655599641865999
1,Santos Laguna,29,25.156619278480022,9,2,6,6.889853511485225,4.487058744024347,5.623087744490427,9,2.656441120632696,5.9438947581222195,0.39966412124508466,29,23.05610524187778,20,20.399664121245085,0.0,10.118490873056661,0.0,8.971741876547263,0.0,0.0,198.06236127957672,0.0,0.0,185.248895252985,0.0,0.0,84.9569676450881,0.0,0.0,78.55571390028865,0.0,0.0,221.92063982176643,0.0,0.0,223.75806740369825,0.0,0.0,29.00047599635868,0.0,0.0,30.135884022433917,0.0,0.0,1.7494542252000058,0.0,0.0,1.8252143970664212
2,Necaxa,22,21.922775668634124,4,10,3,5.66646073157548,4.9233934739076854,6.410145794516834,6,-1.729474875962424,0.4258940140113623,7.303580861951062,21,20.574105985988638,15,22.303580861951062,0.0,9.02740023384895,0.0,9.791078978045421,0.0,0.0,185.0960594513472,0.0,0.0,193.8551480330736,0.0,0.0,79.15197794994951,0.0,0.0,83.2285586043816,0.0,0.0,222.63598797394644,0.0,0.0,221.1026099909467,0.0,0.0,30.133300696297177,0.0,0.0,29.09258027138827,0.0,0.0,1.881366516445655,0.0,0.0,1.7708351554569046
3,U.A.N.L.- Tigres,28,29.283493467315488,7,7,3,8.225422137828303,4.607227053830578,4.167350808341118,7,8.600440670296472,-3.473097217454587,1.8726565471581154,23,26.473097217454587,16,17.872656547158115,0.0,11.572604383319408,0.0,7.793582957417483,0.0,0.0,215.13453645041923,0.0,0.0,171.86434888789375,0.0,0.0,92.69680674886155,0.0,0.0,70.77717645783318,0.0,0.0,217.87889745674713,0.0,0.0,225.2967620153533,0.0,0.0,27.536154691810722,0.0,0.0,31.672355118311977,0.0,0.0,1.5137237297865274,0.0,0.0,1.9830169233085315
4,Monterrey,29,29.976134567537503,8,5,4,8.564372879595581,4.2830159287507605,4.152611191653657,9,9.757166710442998,2.4152822343726115,-3.17244894481561,30,27.58471776562739,21,17.82755105518439,0.0,12.088379012787644,0.0,7.8144244017943585,0.0,0.0,218.39642336787284,0.0,0.0,171.74769021888574,0.0,0.0,94.88936927666535,0.0,0.0,70.9632977817379,0.0,0.0,217.42812769105186,0.0,0.0,225.60411978834875,0.0,0.0,27.80550647450135,0.0,0.0,31.634835289818675,0.0,0.0,1.603705198002244,0.0,0.0,1.8879637793587434
5,Cruz Azul,22,26.595661658320523,5,7,5,7.3078925557165135,4.671983991170984,5.020123453112502,4,4.776663433567833,-2.175682480573414,1.3990190470055808,22,24.175682480573414,18,19.39901904700558,0.0,10.562004535124176,0.0,8.585475221044575,0.0,0.0,202.98132183019925,0.0,0.0,180.33829491880275,0.0,0.0,87.72442984047785,0.0,0.0,76.31016515655347,0.0,0.0,220.88040400917703,0.0,0.0,224.9598415595642,0.0,0.0,28.320990742906716,0.0,0.0,30.61232559118979,0.0,0.0,1.66035050365197,0.0,0.0,1.928713461870046
6,Pachuca,23,25.030349904104785,6,5,6,6.8485397866079385,4.484730544280967,5.6667296691110955,2,2.684328430005788,5.758677037337009,-6.443005467342797,29,23.24132296266299,27,20.556994532657203,0.0,10.185866073873363,0.0,9.006256376412082,0.0,0.0,197.70090719425855,0.0,0.0,185.75981810498632,0.0,0.0,85.1354478820092,0.0,0.0,78.7950040074277,0.0,0.0,221.33008558162334,0.0,0.0,223.68921419176598,0.0,0.0,28.82448029303529,0.0,0.0,30.088545062255918,0.0,0.0,1.8016008493400362,0.0,0.0,1.81849075578593
7,Toluca,36,24.345202585645318,11,3,3,6.557472791782112,4.672784210298981,5.769742997918907,11,1.9514781672490393,1.2300983301155632,7.818423502635397,24,22.769901669884437,13,20.818423502635397,0.0,9.95500732670913,0.0,9.082952549931772,0.0,0.0,194.7426416073294,0.0,0.0,187.95691019416358,0.0,0.0,82.83566145530315,0.0,0.0,79.10581504496585,0.0,0.0,221.05719859717857,0.0,0.0,221.9056561645171,0.0,0.0,29.590055225574304,0.0,0.0,29.789871735664025,0.0,0.0,1.8293993948754523,0.0,0.0,1.7661549894339972
8,Atlas,18,18.71429631758484,5,3,9,4.696677759114784,4.624263040240489,7.679059200644728,-9,-6.714428894698663,-1.7962506161970637,-0.48932048910427284,17,18.796250616197064,26,25.510679510895727,0.0,8.220490559089953,0.0,11.17581984172449,0.0,0.0,177.03482653931758,0.0,0.0,208.4050535089647,0.0,0.0,73.24047880397578,0.0,0.0,89.3854017128994,0.0,0.0,224.8207964328204,0.0,0.0,220.37101602872016,0.0,0.0,31.15468111786337,0.0,0.0,28.43340311617097,0.0,0.0,1.9249822523794622,0.0,0.0,1.6583946468946467
9,Club Tijuana,25,24.050608676069075,6,7,4,6.5220862922530864,4.4843497993098165,5.993563908437098,6,0.8878831195846715,-4.625374200768235,9.737491081183563,18,22.625374200768235,12,21.737491081183563,0.0,9.840354306019238,0.0,9.509252268737526,0.0,0.0,195.9467187433268,0.0,0.0,190.37312578624426,0.0,0.0,83.58186570281646,0.0,0.0,81.57549784810246,0.0,0.0,221.77723479834196,0.0,0.0,222.63645327684316,0.0,0.0,28.80375052812498,0.0,0.0,29.548437587753575,0.0,0.0,1.6961919677657602,0.0,0.0,1.7857200565031985
