,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Bayern Munich,0.9657585847809939,1131,1171.1001256659583,518,0.9647472487462038,0.9771920070636639,1.2307943420895948,346,93,79,358.643158039233,95.1706515482592,64.1861904125078,762,731.364198459537,69.16777829650437,-38.53197675604139,1.0602070319667236,1.0922992291879663,1218,1148.8322217034956,456,417.4680232439586,675,640.8096677341376,-237,-232.01944304811792,543,508.022553969358,219,185.4485801958407,1.0845717422833416,8728,8047.416007377253,1.1006346504635505,4995,4538.29070154776,1.02845237763803,3627,3526.6581893950797,1.036089350005167,1830,1766.2569352641965,1.0902077763161038,6736,6178.638738719572,1.1476866819127378,7809,6804.1218244211905,1.002800052138187,762,759.8723178915387,0.8700927559123633,879,1010.2371201542721,0.7340230551402218,27,36.78358576195149,0.7663384296200086,45,58.72079261679907
1,Aachen,0.9429444543698395,34,36.05726704519606,34,0.9898837540018913,0.7971451247380246,1.1161623451390643,9,7,18,9.091976672629384,8.781337027307913,16.126686300062698,-24,-15.389545954921743,8.797343603656259,-17.407797648734515,1.2364708452518154,1.330995791590303,46,37.20265639634374,70,52.592202351265485,27,20.828505581986292,-41,-29.45591310270914,19,16.37415081435745,29,23.136289248556345,1.1807534428080435,414,350.6235806650995,1.4653184217607806,625,426.5284532825138,1.6464695956275397,241,146.37379313897662,1.8215150469427477,337,185.0108241299597,1.4186259344184742,639,450.4358650837298,1.4585590730279967,636,436.0467887527186,1.17249966825056,73,62.2601455477769,1.2366442198503385,69,55.796161007691076,1.3083566407314302,5,3.8215879710021383,0.6213003337383332,2,3.2190550872009025
2,Hannover,1.0524138096608902,483,458.9449469079399,404,1.1032391481893782,0.8761581194401754,1.0025333895991555,131,90,183,118.7412540744185,102.72118468468436,182.5375612408971,-158,-145.0365881411983,68.15757546281952,-81.12098732162121,1.1485424446781873,1.134333178697213,527,458.8424245371805,685,603.8790126783788,281,257.42530926907614,-389,-339.0406078024896,246,201.41711526810437,296,264.8384048758892,1.1417061747803636,4859,4255.91111560271,1.1272626703544286,5592,4960.689417881451,0.9921380391596253,1773,1787.049714878175,1.037651762425676,2227,2146.1920854777263,1.2606450201063915,6699,5313.946347429859,1.195213221284384,6206,5192.378974297984,1.0535469349606892,766,727.0677504544035,1.0020195008144006,673,671.6436151721729,0.9485801231869263,42,44.27670259302231,0.8143921078622728,32,39.29311162407744
3,Duisburg,0.8568022664099164,29,33.84678255055601,34,0.9546644240866173,0.5742467321508148,1.2416459873443868,8,5,21,8.379907953157533,8.707058691083413,16.913033355759055,-19,-18.439119381451043,-0.0060860281091450474,-0.5547945904398119,0.9998309722388489,1.010189962298175,36,36.006086028109145,55,54.44520540956019,20,20.12605404445745,-28,-30.53833393418044,16,15.880031983651694,27,23.90687147537975,1.3575431059648644,469,345.47705921033094,1.1685740428669487,508,434.71785386716806,0.9765689395662326,140,143.35905467378933,0.9932667352067946,188,189.27443488868985,1.6062466706730931,723,450.1176644911139,1.5416826986432755,670,434.59007524026765,1.373699901584618,86,62.60464887621782,0.9433055747705135,52,55.12529703076388,1.3156162771149786,5,3.8005002575405378,0.31629736541150055,1,3.161581819371171
4,Karlsruhe,0.9947514845224716,72,72.37988695695533,68,1.0403453088516803,0.8527385219565576,1.0576596593922745,19,15,34,18.263166891166122,17.59038628345697,32.146446825376906,-39,-30.358200927918787,-6.513346386599736,-2.128452685481477,0.9125881912106544,1.0202958070132986,68,74.51334638659974,107,104.87154731451852,49,41.87985120191445,-57,-58.96540513803298,19,32.63349518468529,50,45.906142176485545,1.2914220984314373,910,704.6495495975228,1.1665586172493596,995,852.936136502185,0.9831292019217364,287,291.92500786162907,0.9920879914160725,365,367.9109143121584,1.3030920708635552,1175,901.7014424938762,1.4344050684566658,1255,874.9271928816488,0.962807343836672,120,124.63552627446148,1.1642436984654252,131,112.51939793418632,0.397747629984258,3,7.542471089315438,1.0619375232720174,7,6.591724886443188
5,Hertha,1.0111319988145042,650,642.8438628805029,500,1.0338551199886172,0.9208228121356397,1.0222290633060034,177,119,204,171.20387235877766,129.23224580416996,199.56388183705238,-76,-67.08574925419703,37.0670233848266,-45.98127413062957,1.059695691452701,1.066831428276212,658,620.9329766151734,734,688.0187258693704,377,348.26917293263546,-408,-386.16842093185426,281,272.66380368253795,326,301.85030493751617,1.0213440902956468,5637,5519.1977449717915,1.1560948340276707,6761,5848.136157174609,0.9691593440030888,2273,2345.3315639628768,1.0085834865183043,2532,2510.4515727702706,1.1782604234641696,7717,6549.485874533128,1.1796764943858213,7659,6492.457920836618,1.0700560774255434,940,878.4586339265076,0.988365752374403,845,854.9466611626435,0.9616292081157746,51,53.03499474597895,0.882831403203626,45,50.97235988287642
6,Paderborn,0.8555269612824675,51,59.612381968125305,66,0.7365729558367825,1.215370167663263,1.0205300043373504,11,18,37,14.934026443454563,14.810302637761616,36.25567091878382,-64,-48.910253028670354,0.29150092902784763,-15.381247900357494,1.0044362743503392,1.1341948644405584,66,65.70849907097215,130,114.6187520996425,42,36.80616069881245,-69,-64.30166280291436,24,28.902338372159704,61,50.317089296728135,1.3337995967679592,863,647.0237373674479,1.0791916058814583,953,883.0683956456575,0.9928546925412144,264,265.89993680171995,0.9136725489887189,351,384.1638893370472,1.0071853453006359,877,870.743407945658,1.1013849303849599,911,827.1404255382214,1.0920011201956696,135,123.62624680807113,1.1486430308318472,120,104.47109918309087,0.6753066123659943,5,7.404044190359803,0.3481244709186453,2,5.7450715680007125
7,Ingolstadt,0.9392738010169566,72,76.65496463549312,67,0.9177377147187632,1.010405848439202,1.048291428022855,18,18,31,19.61344696999406,17.81462372551092,29.571929304495022,-29,-24.249991268520347,-8.693874571651975,3.9438658401723217,0.886641865204898,0.9609301089536558,68,76.69387457165197,97,100.94386584017232,37,43.07139976430686,-61,-56.98187864370747,31,33.622474807345114,36,43.961987196464854,1.2204419856234818,863,707.1208710991068,0.9355496871752874,765,817.7010911197785,0.961645059627749,286,297.4070288581424,0.7859517136002767,278,353.71129700391066,1.1983987383484564,1063,887.0169551955196,1.3306894700906235,1149,863.4621568935613,1.2091513172623385,146,120.7458470380376,1.2243023951659564,137,111.90045902134284,1.0780215093307304,8,7.421002207058606,1.0577609211522923,7,6.617752518569523
8,Greuther Furth,0.657405529290866,21,31.94375323044879,34,0.5074601693619548,1.0847847109451845,1.1783830113649851,4,9,21,7.882392040796664,8.2965771080588,17.821030851144535,-34,-22.152204866518126,-8.889472865310601,-2.9583222681712726,0.745210456471267,1.0518624694399645,26,34.8894728653106,60,57.04167773182873,15,19.53700025649416,-30,-31.963784562968144,11,15.352472608816441,30,25.077893168860584,1.0646047708383257,360,338.1536602701086,1.0444981439477523,465,445.1898767790057,0.8460249413132263,118,139.47579348764438,1.0177136849566508,197,193.57114177784803,1.4484122159193087,651,449.45768396934545,1.238440177768642,532,429.5726265587816,1.202497155000982,76,63.201812731056265,1.0162719402404348,55,54.11937279994941,1.5317671513449398,6,3.917044437682197,1.3102897794939299,4,3.0527598265666933
9,Braunschweig,0.8577820770546224,25,29.14493164259485,34,0.8474316669641676,0.8855960484422792,1.1043621068916483,6,7,21,7.080216888158489,7.904280978119384,19.015502133722126,-31,-27.68118236122993,-4.0972836633883745,0.7784660246183037,0.876204835869334,0.987191746097985,29,33.097283663388374,60,60.778466024618304,20,18.555456337301255,-33,-34.20837743875471,9,14.54182732608712,27,26.570088585863594,1.2489802105622327,412,329.86911763360666,1.1831717864323166,544,459.7810784859512,0.8852325498667352,119,134.42795344332347,0.9859109360230839,198,200.82949966929272,1.2234783735487444,553,451.99000812413465,1.4313295412835794,611,426.87583982377043,0.9617015816400993,62,64.46906315186082,1.1104338024783844,60,54.0329372773826,0.7697584883844599,3,3.8973262981435735,1.0348798778464088,3,2.89888716963269
