,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Barnsley,0.9886876099417532,725,733.2953227184794,629,0.9999916097930817,0.9510274577424013,1.0305186932315664,188,161,280,188.00157737213513,169.2905906020739,271.70783202579094,-220,-172.04484071467255,-2.719959771297681,-45.23519951402977,0.9962416957905138,1.0504989696954923,721,723.7199597712977,941,895.7648004859702,406,405.86625313151575,-521,-503.0711703253612,315,317.85370663978193,420,392.693630160609,1.0804113836821936,7214,6677.086255249991,1.0252499096084418,7703,7513.290104011705,1.1018427977080523,3108,2820.729060865092,1.0813110589654569,3509,3245.134663985802,0.9250193890345081,7659,8279.82644557765,0.8948124016914026,7274,8129.078213769116,0.890183871505504,1005,1128.9802389930023,0.8537696622122923,896,1049.4633853330888,0.7622813687247406,53,69.52813249084967,0.5960229340987278,37,62.078148143660464
1,Blackburn,0.9865909034088113,568,575.7198835276907,411,0.9516978925455526,1.1305214647175656,0.9500582862107234,147,127,137,154.46078125360975,112.33753976686147,144.20167897952877,43,21.139379394157913,18.89231104483133,2.9683095610107557,1.0351741586153467,0.9942471087739163,556,537.1076889551687,513,515.9683095610108,303,301.68549386873616,-291,-289.747773501054,253,235.4221950864325,222,226.22053605995677,1.1208767478685233,5240,4674.911858029409,1.1039896416789037,5051,4575.224086630595,0.9750614778959964,1953,2002.9506285226398,0.8978501503078992,1753,1952.4416177898338,0.8715296387911279,4680,5369.86901155936,0.9120040271659419,4914,5388.134102072208,0.9151889525882282,649,709.1431754771248,0.9170449590687711,659,718.6125320062745,0.535925755383507,23,42.916392371441944,0.7775429431206125,34,43.7274883668077
2,Bolton,0.929370724710857,366,393.81485802005307,319,0.8830281354518551,1.0986228264362796,1.028226023590368,91,93,135,103.05447397033879,84.65143610903667,131.29408992062457,-99,-62.90615806281488,-19.566584825627217,-16.5272571115579,0.9491204238805635,1.0369346678076394,365,384.5665848256272,464,447.4727428884421,205,215.9079788401582,-255,-251.05787655193285,160,168.65860598546902,209,196.41486633650925,1.104777941617654,3831,3467.6651801994867,1.1452462911557175,4329,3779.9729485536413,0.996461518364629,1458,1463.1774264527926,0.9895741972561054,1603,1619.8886394216863,0.9523946848220113,3988,4187.339622485712,0.8787909084190169,3631,4131.813341733732,0.9565891384898386,542,566.5964395703385,0.8123385613245684,440,541.6460832322828,0.7270160007212618,25,34.38713862583199,0.40697632869834943,13,31.94288975375664
3,Portsmouth,0.9630798556306572,287,298.00228747600863,216,0.923636370798883,1.127533420841655,0.9842276653341228,74,65,77,80.11810961492887,57.64795863122204,78.2339317538491,8,3.518960127798266,0.9211189611644954,3.5599209110372385,1.0032770834925775,0.9871742256614267,282,281.0788810388355,274,277.55992091103724,166,158.03003896893276,-142,-155.63151311477256,116,123.04884206990275,132,121.92840779626468,0.9299286015155978,2280,2451.801134284993,0.9123109975526963,2221,2434.4768461170634,1.0563923207028427,1108,1048.8527588527163,1.091911969692659,1136,1040.3769090650692,0.9648680469179665,2718,2816.965499771686,0.9286668279514022,2621,2822.3254251277713,0.9677643004888462,361,373.02471254379634,0.8322071833748675,312,374.90664131825895,1.0230203560620799,23,22.482446085954805,0.7054010181124198,16,22.682133409467347
4,Watford,1.0176819570865736,979,961.990131772295,676,1.0263618277192523,0.9803727097229887,0.9859398080280933,267,178,231,260.14217675390233,181.56360151058792,234.29422173550972,100,55.557355792538374,88.67144396678827,-44.22879975932665,1.0990378820928606,1.0526676787042124,984,895.3285560332117,884,839.7712002406734,524,502.8333342101725,-523,-471.27554199611563,460,392.49522182303923,361,368.4956582445577,0.9783941096042859,7581,7748.411325847164,0.9964381282083484,7451,7477.634374948413,1.1090273100250112,3691,3328.141666697783,1.1151426581462511,3558,3190.6231673664192,0.9250289667768082,8154,8814.859093993544,0.9025676503361006,7994,8856.953821714274,0.8457197938879771,981,1159.9586613553258,0.8285479444144441,980,1182.792144506002,0.8861486369791024,62,69.965689064714,0.7347223669009199,53,72.13609165534939
5,Wimbledon,0.9832148847786434,209,212.56797800315374,168,0.9966640756435152,0.9316981857851373,1.047091138341738,56,41,71,56.187437039749355,44.00566688390566,67.80689607634498,-20,-25.087373454271926,22.4264352106606,-17.339061756388674,1.1090920188772422,1.0751712096916735,228,205.5735647893394,248,230.66093824361133,139,115.3557573290222,-130,-129.599988307627,89,90.2178074603172,118,101.06094993598433,0.8958869962895601,1648,1839.5177146508654,0.8758548261850728,1717,1960.370541632648,1.0729689300347214,841,783.806479813712,1.0577189812094696,893,844.2696177947771,0.8474019786023084,1863,2198.484364023793,0.9381710127612812,2043,2177.641359848584,0.7238656872459596,214,295.6349551726794,0.7045162835854024,201,285.3021352140749,1.0602567990192004,19,17.92018689960405,0.5904438971448047,10,16.936410128645175
6,Bradford,0.8412808310343993,123,146.20563724097337,126,0.874826164673115,0.7263857077603176,1.2491418377467614,33,24,69,37.72177986049455,33.04029765948971,55.23792248001574,-65,-35.68237873372021,-11.297866114792612,-18.019755151487175,0.9222434133625422,1.0995675255416435,134,145.2978661147926,199,180.98024484851283,74,81.50009335347198,-115,-101.76723818007002,60,63.79777276132062,84,79.2130066684428,1.021500441293193,1365,1336.2696136204754,1.0228863613815882,1544,1509.454088247453,1.2692332909654906,718,565.6958457604164,1.2450190173375588,815,654.6084747708164,1.0615025517600574,1763,1660.8532848807597,0.9873102227719933,1609,1629.6802797022979,1.0300980429361914,233,226.19206161760758,0.7428715541440178,156,209.995926119089,0.8559798423240519,12,14.019021718337509,1.366779635334804,17,12.437996265459214
7,Southampton,0.9473737875442695,320,337.775864402462,230,0.9018512066640938,1.1511565087380162,0.996199032768331,83,71,76,92.03292005009695,61.67710425217115,76.2899756977319,23,33.54431838108388,-0.23169552682531958,-10.312622854258564,0.9992603062520999,1.036871963831549,313,313.2316955268253,290,279.68737714574144,163,175.7966520613292,-159,-157.0946409431071,150,137.4350434654961,131,122.59273620263434,1.0639249561822446,2848,2676.880529449817,0.9153205019734687,2301,2513.8735503454245,1.2852068741386877,1482,1153.121750140963,1.1116358646134983,1188,1068.6952785686278,0.8887255227819932,2656,2988.549256114392,0.9126781858858646,2753,3016.3972828252495,0.7798260451358001,305,391.112866648211,0.866620018631889,351,405.0218001588687,0.6820232913884968,16,23.459609374082234,0.6823394844048027,17,24.914284441312837
8,Yeovil,0.8257306586706474,37,44.808800074792785,46,0.7295651635182903,1.0912913462598306,1.081217998202499,8,13,25,10.965435851432947,11.912492520493945,23.122071628073105,-31,-26.073574069516333,-3.7355565627662273,-1.1908693677174398,0.9217447782795946,1.0161344451223842,44,47.73555656276623,75,73.80913063228256,19,26.80387673909602,-53,-41.50458362743958,25,20.93167982367021,22,32.30454700484298,1.204414103900969,559,464.1260827064865,1.42419842323648,843,591.9119037390092,0.9513913583696318,181,190.24768136445317,1.05645091594876,269,254.62612217854053,1.004255684103141,613,610.4023205479239,0.8566654514153228,504,588.3276828396971,0.9340108247644491,80,85.65211224417601,0.8477836123371557,63,74.3114151809595,0.7540853612730142,4,5.3044392656653265,1.4224292705227304,6,4.218135920245126
9,Rotherham,0.8853626966258299,381,430.33211298828576,401,0.8122244547580986,1.1111237030741044,1.0461325345771735,88,117,196,108.34443543836497,105.29880667319082,187.35675788844424,-193,-166.76501487594817,-18.778162277678234,-7.456822846373598,0.9573977027794573,1.0122737331712113,422,440.77816227767823,615,607.5431771536264,246,247.24286691038765,-352,-342.18061448183727,176,193.5352953672906,263,265.36256267178914,1.0631045484224468,4415,4152.9311548440555,1.0336643780710515,5132,4964.861040850572,0.9723629162227129,1686,1733.920506295649,0.9837698337247242,2114,2148.876624927629,0.9485226783495925,5030,5302.983381221927,0.8927944994286774,4605,5157.9618859063985,0.8770021463984254,643,733.1795054785221,0.701138448779296,463,660.3546001593515,0.708979660775013,32,45.135286342374854,0.49902856018578523,19,38.07397314680029
