,Club,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Birmingham,301,301.2090064,266,0.948604799,1.165706052,0.935120798,73,82,111,76.95512409,70.3436341,118.7012418,-87,-95.93199953,-28.91101421,37.84301374,0.904239949,0.904879532,273,301.9110142,360,397.8430137,156,169.0886721,-212,-222.6661421,117,132.8223421,148,175.1768716,0.866707539,2429,2802.560136,0.991383375,3241,3269.169205,1.066555435,1256,1177.622802,1.23620743,1751,1416.428957,0.947285067,3321,3505.808457,1.042968311,3570,3422.92279,0.905186506,432,477.2497126,0.86116033,381,442.4263247,0.921610717,27,29.29653431,0.963834155,25,25.93807231
1,Blackpool,39,33.78921838,38,1.212244393,0.995384368,0.917470842,10,9,19,8.249161686,9.041733318,20.709105,-23,-27.61914503,17.09980015,-12.48065512,1.451179683,1.190488094,55,37.90019985,78,65.51934488,27,21.23215612,-43,-36.8384193,28,16.66804373,35,28.68092558,1.194024121,446,373.5267924,1.241535382,630,507.4362028,1.537000778,235,152.8951731,1.604028726,353,220.0708718,0.800638104,403,503.3485141,0.809532166,387,478.0538886,0.655132503,47,71.74121228,0.813126931,49,60.26119432,0.451592061,2,4.428775821,0.897757271,3,3.341660489
2,Charlton,316,298.2883896,258,1.081747029,0.983772413,0.954341125,83,67,108,76.7277356,68.10518276,113.1670816,-83,-82.28043531,-2.399125358,1.679560666,0.991905761,0.995564692,294,296.3991254,377,378.6795607,157,166.0133455,-211,-212.1900722,137,130.3857799,166,166.4894884,0.892610289,2437,2730.194836,1.076547364,3379,3138.737887,1.113638565,1281,1150.28344,1.287297408,1751,1360.214033,0.929543605,3162,3401.66936,0.930381375,3092,3323.368334,0.695046949,322,463.2780568,0.786388181,338,429.8131741,0.666603459,19,28.50270238,0.394761378,10,25.33175874
3,Everton,1141,1102.954951,790,1.028153823,1.061906277,0.925300606,307,220,263,298.5934529,207.1745922,284.2319549,64,25.37371073,-5.66951348,44.29580275,0.994614156,0.956881161,1047,1052.669513,983,1027.295803,580,591.4209786,-560,-576.075646,467,461.2485349,423,451.2201568,1.031917671,9360,9070.491051,1.061021321,9512,8964.94709,1.123385078,4341,3864.213692,1.103702447,4205,3809.903667,0.92797634,9535,10275.04645,0.958209233,9853,10282.72288,0.885031536,1204,1360.403501,0.939246534,1294,1377.700053,0.843244748,68,80.64088178,0.761952918,63,82.68227409
4,Arsenal,1511,1508.330005,788,0.997777096,1.030800368,0.971674972,441,188,159,441.9824848,182.3825503,163.6349649,652,637.8832814,56.25319987,-42.13648122,1.039705895,1.054099955,1473,1416.7468,821,778.8635188,822,791.7714871,-432,-435.7357152,651,624.9753131,389,343.1278035,1.005899321,10921,10856.95136,1.001933101,7716,7701.112969,1.144665746,5400,4717.534373,1.085792476,3378,3111.091738,0.871282974,8605,9876.240282,0.932785105,9751,10453.64033,0.966432483,1210,1252.027453,1.018894927,1512,1483.960671,0.990219127,67,67.66179142,0.940111069,84,89.3511445
5,Reading,119,121.154187,114,1.041843948,0.792833638,1.087049479,32,23,59,30.71477265,29.00986901,54.27535834,-50,-53.70136957,10.9534137,-7.252044126,1.087594664,1.04057134,136,125.0465863,186,178.7479559,85,69.91117999,-110,-100.1565418,51,55.13540631,76,78.59141404,0.911654451,1073,1176.981035,1.156257978,1665,1439.990064,1.09783431,540,491.8775036,1.445108235,903,624.8666904,0.810758536,1217,1501.063444,0.875544986,1271,1451.66727,0.704036841,146,207.3755116,0.8040987,150,186.5442637,0.713318971,9,12.61707646,0.562842797,6,10.66017019
6,Sheffield United,115,114.9790132,113,1.074425337,0.774072401,1.076691808,31,22,60,28.85263306,28.42111405,55.72625289,-64,-61.3856369,-30.20398274,27.58961963,0.750800411,0.848898203,91,121.2039827,155,182.5896196,51,67.74624294,-87,-102.2368247,40,53.4577398,68,80.35279493,0.933889251,1075,1151.100089,0.967284936,1401,1448.383975,0.867047027,414,477.4827516,0.894821463,563,629.1757893,0.879466262,1309,1488.402746,0.755306199,1081,1431.207637,0.963640434,200,207.5462932,0.8207174,151,183.9853768,0.555483781,7,12.60162805,0.38914924,4,10.27883286
7,Sunderland,508,559.869678,521,0.87325693,1.015848646,1.064764471,124,136,261,141.9971555,133.8782116,245.1246329,-270,-238.3313981,-66.05489852,34.38629665,0.885332286,0.95777643,510,576.0548985,780,814.3862966,280,323.031707,-435,-456.7348218,230,253.0231915,345,357.6514748,1.030417423,5567,5402.664856,1.100243079,7225,6566.730697,1.134374067,2553,2250.580363,1.202120954,3416,2841.64417,0.92535436,6360,6873.042668,0.92328496,6153,6664.248054,1.005411005,952,946.876447,0.995625731,855,858.7564317,0.886606758,51,57.52268355,0.932989347,46,49.30388559
8,Hull,170,185.7669373,189,0.890913351,0.985193321,1.060106585,41,47,101,46.0201881,47.70637295,95.27343894,-142,-113.1490078,-18.45991692,-10.39107531,0.906984155,1.033346527,180,198.4599169,322,311.6089247,100,110.9647868,-183,-174.4052877,80,87.49513011,139,137.2036369,1.04734384,1995,1904.818575,1.128290802,2766,2451.495656,0.988963097,778,786.6825391,1.059133597,1129,1065.965619,0.928162646,2319,2498.484517,0.920856085,2208,2397.76881,0.944261105,329,348.420578,0.98657265,301,305.0966394,1.120346459,24,21.4219448,1.03409243,18,17.40656781
9,Watford,238,244.1124728,228,0.980682309,0.956393673,1.034253083,61,55,112,62.20159109,57.50769957,108.2907093,-123,-105.0894529,-11.13206028,-6.778486789,0.955848295,1.018975584,241,252.1320603,364,357.2215132,142,141.2146553,-197,-200.4083333,99,110.917405,167,156.8131799,1.061453795,2506,2360.912939,1.022679725,2939,2873.822497,0.869195087,855,983.6686982,0.920115631,1144,1243.321993,0.964626186,2897,3003.235908,0.823114259,2395,2909.681095,1.01400598,420,414.1987409,0.870481122,327,375.6543269,0.836793133,21,25.09580823,0.603402021,13,21.54450853
10,Ipswich,96,81.50654683,68,1.313951004,0.682701721,0.961769565,28,12,28,21.3097748,17.57722243,29.11300277,-3,-17.18106096,10.9807869,3.200274066,1.135533122,0.967410742,92,81.0192131,95,98.20027407,58,45.4483016,-49,-55.08605274,34,35.5709115,46,43.11422132,1.060897728,777,732.3985901,0.862962119,706,818.1123883,1.132832966,352,310.7254208,0.914304857,323,353.2738534,0.816491982,732,896.518295,0.945858931,834,881.738252,0.510515671,62,121.4458312,0.769334031,88,114.3846449,0.269850072,2,7.411522952,0.589281455,4,6.787927847
11,Bradford,26,33.9256799,38,0.610138041,1.177594104,1.075055814,5,11,22,8.194866841,9.341079379,20.46405378,-40,-26.94759391,-8.086616874,-4.965789221,0.787678257,1.076356569,30,38.08661687,70,65.03421078,14,21.37526583,-43,-36.50468516,16,16.71135104,27,28.52952562,0.991211055,371,374.289611,1.012832195,513,506.500487,1.131779939,174,153.7401345,1.250130959,276,220.7768699,1.025930735,517,503.9326556,1.082889189,520,480.1968707,0.801242567,57,71.13950548,0.645955632,39,60.37566374,0.233538958,1,4.281940836,0.59039435,2,3.387566296
12,Coventry,34,41.13374023,38,0.769345876,1.006197344,1.132301008,8,10,20,10.39844399,9.938408263,17.66314775,-27,-15.44015078,-6.072281305,-5.487567917,0.855670263,1.095415334,36,42.0722813,63,57.51243208,17,23.63430503,-40,-32.28336505,19,18.43797627,23,25.22906703,0.985182932,389,394.8505269,1.023363035,483,471.9732719,1.065730828,177,166.0832129,1.21824035,249,204.3931643,1.052720733,529,502.5074396,1.0387389,509,490.0172701,1.103598344,76,68.86563432,0.978320268,61,62.35176968,0.942226741,4,4.245262657,0,0,3.668028496
13,Wolves,297,302.037589,264,0.959844151,1.064702352,0.989531424,75,72,117,78.13768511,67.62453364,118.2377812,-125,-94.72212825,-15.79701628,-14.48085548,0.948341496,1.036155214,290,305.7970163,415,400.5191445,177,171.3324937,-204,-224.3393219,113,134.4645225,211,176.1798226,1.046455921,2934,2803.749247,1.036366587,3381,3262.359131,1.081858525,1272,1175.754473,1.182149016,1665,1408.451877,0.852100633,2950,3462.032401,0.820344702,2770,3376.629354,0.926024021,439,474.0697756,0.958881177,422,440.0962394,0.52603111,15,28.51542376,0.943976507,24,25.42436155
14,Leicester,497,477.9066163,370,1.055836809,0.975355195,0.96742733,135,92,143,127.8606682,94.32461163,147.8147201,3,-47.82431426,50.14003864,0.684275613,1.107628993,0.998667906,516,465.8599614,513,513.6842756,301,261.8443708,-277,-287.9209361,215,204.0155905,236,225.7633395,1.038828767,4280,4120.024529,1.04111633,4536,4356.86183,0.956381491,1664,1739.891471,0.924906804,1721,1860.728014,0.860534812,4159,4833.040969,0.859908034,4118,4788.884205,0.842229783,547,649.4664648,0.91555449,581,634.5881172,0.82752495,32,38.66952894,0.773493949,29,37.49221316
15,Swansea,309,304.033461,263,1.02870215,0.97325779,0.996165409,81,66,116,78.73999288,67.81348237,116.4465247,-72,-88.9237991,0.522584194,16.40121491,1.001716332,0.958309191,305,304.4774158,377,393.4012149,182,170.6580747,-217,-220.2199257,123,133.8193411,160,173.1812892,1.054574961,2946,2793.542524,1.116054057,3609,3233.714333,1.016242826,1193,1173.932026,1.068611596,1492,1396.204201,0.754479925,2608,3456.685741,0.891996743,3014,3378.936105,0.782941962,368,470.0220676,1.102976795,484,438.8124956,0.493577679,14,28.36432965,0.509181867,13,25.53115272
16,Cardiff,64,67.95061559,74,1.022099413,0.720089294,1.119187052,17,13,44,16.632433,18.05331661,39.3142504,-70,-54.48061372,-8.336490158,-7.18289612,0.887854671,1.055760422,66,74.33649016,136,128.8171039,45,41.50770212,-76,-71.85221992,21,32.82878803,60,56.96488396,1.133706119,827,729.4659399,1.235192641,1225,991.7481362,0.82890332,248,299.1905014,0.99094622,428,431.9104219,0.729105401,714,979.2822806,0.847669212,787,928.4281996,0.812581889,112,137.8322621,0.886384331,104,117.330594,0.235474281,2,8.493496567,0.765147817,5,6.534685048
17,Man City,1284,1302.234885,735,1.001834136,0.878574546,1.103616461,379,147,209,378.3061352,167.3164794,189.3773854,507,466.1920273,47.6152106,-6.807237855,1.037748363,1.008560488,1309,1261.384789,802,795.1927621,711,705.6834811,-458,-444.7883044,598,555.7013083,344,350.4044577,1.069660814,10427,9747.949876,0.945599242,7101,7509.523784,1.13768685,4799,4218.208199,1.091274818,3376,3093.629529,0.90469981,8342,9220.738097,0.817071118,7868,9629.516726,0.965936362,1147,1187.448827,0.86491255,1166,1348.113171,0.939483584,62,65.99370233,0.74163534,59,79.55392198
18,Norwich,209,227.8496577,226,0.87386216,1.049861813,1.039216053,50,59,117,57.21726181,56.19787222,112.584866,-177,-127.6578367,-14.6850732,-34.65709005,0.938731799,1.094345335,225,239.6850732,402,367.3429099,131,134.2410746,-219,-205.6594842,94,105.4439986,183,161.6834258,1.082935741,2487,2296.535154,1.126125875,3282,2914.41665,1.092405033,1039,951.112425,1.182543611,1497,1265.915257,0.83230932,2489,2990.474744,0.828191405,2381,2874.939278,0.817338276,339,414.7609504,0.817609776,300,366.9232055,0.551318369,14,25.39367592,0.806232966,17,21.0857168
