Index,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
21,Excelsior,1.138427249,73,64.12355294,66,1.224685469,0.859141625,0.955472258,20,13,33,16.33072369,15.13138186,34.53789445,-40,-44.43277891,17.55368061,-13.1209017,1.256459087,1.116238541,86,68.44631939,126,112.8790983,45,38.24687441,-74,-63.14104401,41,30.19944498,52,49.7380543,1.075396187,712,662.0815741,1.264240838,1101,870.8783697,0.942815238,257,272.5878727,1.038066373,392,377.6251792,0.86750513,756,871.4645867,0.88149456,733,831.5422847,0.88925088,109,122.5750826,0.80302365,85,105.8499335,0.94372604,7,7.417406859,0.831781833,5,6.011191637
4,For Sittard,1.110662707,101,90.93669875,91,1.146776204,0.985031891,0.933155796,27,20,44,23.54426253,20.30391116,47.15182631,-51,-55.98753337,31.71563631,-26.72810295,1.329395502,1.175528797,128,96.28436369,179,152.2718971,68,53.89649353,-111,-85.18393343,60,42.38787016,68,67.08796363,1.182211153,1091,922.8469863,1.132941107,1346,1188.058224,1.086075141,413,380.2683485,0.979214494,504,514.6982637,0.841371261,1008,1198.044249,0.946836478,1089,1150.145801,0.918341241,154,167.6936558,0.963366984,142,147.3996954,1.182999951,12,10.14370287,1.074249693,9,8.377940487
5,Heracles,1.087433711,167,153.5725794,127,1.13442242,0.887970425,0.959335363,47,26,54,41.43077498,29.28025448,56.28897054,-27,-36.55848821,39.97471462,-30.41622641,1.262947802,1.161287612,192,152.0252854,219,188.5837736,120,85.2401041,-127,-105.6024399,72,66.78518128,92,82.98133372,1.138386292,1564,1373.87459,1.226906718,1901,1549.425047,1.009265645,581,575.6660825,1.0683617,709,663.6329252,0.889923219,1480,1663.064823,0.928110134,1513,1630.194462,0.871788151,197,225.9723302,0.942884263,202,214.236262,0.741442991,10,13.48721362,0.721644884,9,12.47150807
14,FC Emmen,1.085484491,99,91.20351404,91,1.101195076,1.030858126,0.935813601,26,21,44,23.61071219,20.37137747,47.01791034,-64,-55.86020396,13.09505792,-21.23485396,1.136542055,1.139919175,109,95.90494208,173,151.765146,67,53.78290708,-90,-85.06179743,42,42.122035,83,66.70334861,1.228256062,1128,918.3752764,1.106201758,1318,1191.464388,1.039066489,393,378.2241119,0.949568043,490,516.0241052,0.920702848,1101,1195.825561,0.88609469,1018,1148.861415,0.957573769,160,167.0889546,0.931076197,136,146.0675296,0.976475243,10,10.24091504,1.109332881,9,8.112984076
13,Den Haag,1.072461091,129,120.2840841,123,1.036164691,1.19414998,0.899473607,32,33,58,30.88312146,27.63471971,64.48215883,-82,-80.99611892,20.56101666,-21.56489774,1.160083926,1.102966969,149,128.4389833,231,209.4351023,81,72.01023558,-121,-117.7031674,68,56.42874776,110,91.73193486,1.059579368,1309,1235.395894,1.215875657,1974,1623.521277,0.905213318,459,507.0628002,1.005185243,707,703.3529441,0.825821059,1335,1616.572968,0.912066899,1413,1549.228463,0.955518416,217,227.1018501,0.935940327,185,197.6621743,0.866875159,12,13.84282371,1.086857381,12,11.04100705
20,Roda,1.066556089,30,28.12791593,33,1.156996454,0.812507115,1.015988764,8,6,19,6.91445507,7.384550722,18.70099421,-25,-28.91736627,8.061406147,-4.144039876,1.252403289,1.068095875,40,31.93859385,65,60.85596012,20,17.79061921,-34,-34.21844045,20,14.14797465,31,26.63751967,1.149487937,366,318.4026455,1.23958235,563,454.1852342,0.918448175,119,129.5663743,1.005431254,199,197.925019,0.885831964,383,432.3619099,0.890851386,364,408.5978939,0.677810902,42,61.96418484,0.700355995,36,51.40243,1.081476706,4,3.698646468,0.364840245,1,2.740925687
17,Willem II,1.057318922,155,146.5972062,125,1.125955101,0.783287991,1.025483923,44,23,58,39.0779348,29.36340181,56.5586634,-48,-41.3305994,32.66535242,-39.33475302,1.221708559,1.208489659,180,147.3346476,228,188.665247,91,82.54094281,-128,-105.6301282,89,64.79370477,100,83.03511874,1.01920668,1365,1339.276936,1.157549612,1782,1539.458855,0.922462833,517,560.4561848,0.996497785,658,660.3125563,0.830337785,1360,1637.887646,0.927137206,1488,1604.940445,0.86413533,194,224.501873,0.863909315,182,210.6702601,0.822098437,11,13.3803928,1.056131842,13,12.30906927
1,AZ Alkmaar,1.050335311,253,240.8754588,126,1.074872724,0.84725223,0.950794011,77,22,27,71.63638846,25.96629342,28.39731812,124,100.243387,32.00794428,-8.251331247,1.140390612,1.06459035,260,227.9920557,136,127.7486688,141,127.4867215,-78,-71.60405008,119,100.5053343,58,56.14461867,1.140253239,1979,1735.579371,1.101898412,1373,1246.031381,1.047993821,790,753.8212387,0.997554765,501,502.2280656,0.868913505,1370,1576.681674,0.855280632,1425,1666.119806,0.847122395,170,200.6793835,0.851973885,201,235.9227244,1.118176276,12,10.73176051,1.127194004,16,14.19453966
8,PSV Eindhoven,1.027677513,273,265.647537,122,1.021368018,1.098053395,0.794509175,83,24,15,81.26355878,21.85686062,18.8795806,176,154.3687155,38.84327206,-17.21198756,1.149883325,1.164255311,298,259.1567279,122,104.7880124,177,144.6605822,-68,-58.18929126,121,114.4961457,54,46.59872118,1.143995193,2102,1837.420307,1.115514194,1235,1107.112762,1.075263595,864,803.5239024,0.977465638,425,434.797893,0.850388446,1248,1467.564624,0.871893423,1397,1602.26005,0.852892667,157,184.0794348,0.935353039,220,235.2053085,0.757842825,7,9.236743779,1.53382601,21,13.69125302
10,Graafschap,1.025941208,29,28.26672697,32,1.121520014,0.728098999,1.055577508,8,5,19,7.133176317,6.867198018,17.99962566,-31,-26.29604502,4.198814879,-8.90276986,1.132033283,1.153239145,36,31.80118512,67,58.09723014,21,17.79922882,-41,-32.55993105,15,14.0019563,26,25.53729909,1.118046964,350,313.0458838,1.205248228,527,437.2543247,0.923287195,118,127.8042202,1.118914522,212,189.4693436,0.999078983,422,422.3890276,0.889102931,356,400.4035839,0.835632831,50,59.83489177,0.99285432,50,50.35985539,1.133723199,4,3.528198069,1.810287253,5,2.761992602
