,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Celta,0.9659527958142609,525,543.5048195677567,416,0.9703180483962421,0.9482613425241283,1.0605589072842485,141,102,173,145.31317873871063,107.5652833516248,163.1215379096646,-66,-48.08627226209546,-0.5281979794549443,-17.385529758449593,0.9989949198130837,1.0303087363732797,525,525.528197979455,591,573.6144702415504,282,295.0166553132512,-343,-321.4412241556267,243,230.51154266620375,248,252.17324608592372,1.0396827910828277,4817,4633.1439178512355,1.0475832550936497,5099,4867.393570112163,0.8714936339353381,1714,1966.7384054892282,0.8686183628519681,1810,2083.7689800353255,1.1014231487995183,5977,5426.615562342731,1.16842268383182,6294,5386.749236465477,1.4352795830652825,1040,724.5975016093408,1.5652875208975308,1116,712.9680554535369,1.333241382789132,58,43.503000093399734,1.224725234799506,52,42.45850295434852
1,Mallorca,1.070653512525455,429,400.68985435640684,339,1.1075078387801331,0.9419189893242799,0.9590117073066348,115,84,140,103.83673683670446,89.17964384629349,145.98361931700208,-65,-98.88991967393775,26.350728239931527,7.539191434006227,1.066601230232799,0.9847551183716199,422,395.6492717600685,487,494.5391914340062,247,221.81359385774817,-262,-277.49935841748277,175,173.8356779023203,225,217.03983301652343,1.1733704010088635,4253,3624.601401521013,1.0383430104893374,4253,4095.948985100501,0.9830159708854539,1502,1527.9507601967748,0.8573051500931893,1516,1768.3318475751726,1.273434163966144,5683,4462.735617442639,1.2104705245372784,5297,4375.9842909226245,1.4148050780215038,856,605.0303418454295,1.4830070963642927,841,567.0910153173082,1.5654775932436207,58,37.04939645915073,1.374105214369038,46,33.476330283137955
2,Betis,0.968640518974624,594,613.2305931500697,491,0.9584920332852854,1.00707654327474,1.028857164035033,155,129,207,161.71235087758504,128.09354051731458,201.19410860510038,-150,-97.26935075622453,-15.385299203006412,-37.34535004076906,0.974202417089142,1.0538385348428991,581,596.3852992030064,731,693.6546499592309,335,334.4832653125666,-411,-389.41640996499893,246,261.90203389043984,320,304.238239994232,1.115548732921739,5975,5356.1084546713155,1.061422339026718,6176,5818.607516460551,0.8980483003878272,2037,2268.2521631857776,0.900416944493175,2254,2503.2847435681338,1.1606595533075503,7469,6435.1342120223535,1.1768931492831116,7477,6353.168088840106,1.4847266473333025,1285,865.4791791525876,1.561786276785539,1301,833.0205094884761,1.5995030455025139,84,52.516311385709066,1.6262425172528832,80,49.1931548654498
3,Zaragoza,0.9404121159176777,311,330.70607527904764,262,0.90421957469634,1.0786920915053744,1.0280085778536696,79,74,109,87.36815947225011,68.6015968622973,106.0302436654526,-76,-48.54730660272861,-14.27137780116692,-13.181315596104469,0.9554397339557862,1.0357392837009025,306,320.2713778011669,382,368.81868440389553,169,179.5819932225225,-196,-206.67457655956667,137,140.68938457864442,186,162.14410784432886,1.168940042182616,3358,2872.6879727124633,1.032338551057435,3202,3101.6956566430254,0.939165105786588,1143,1217.0384024677878,0.9157339410048828,1219,1331.1726751793512,1.3346352312428833,4577,3429.401452063913,1.2786854395601637,4333,3388.6363807274174,1.678789295908516,775,461.64220959044815,1.5049168335981753,669,444.5428378925478,2.0109159223954847,56,27.84800666021408,1.8120894046208849,48,26.488759261876645
4,Leganes,0.932548657494894,156,167.28349641193296,149,0.8999975174503815,1.034063011853837,1.0429076233965735,38,42,69,42.222338687834224,40.61648034843029,66.16118096373549,-58,-58.200063919247526,-35.432250852909476,35.632314772157,0.7896349976118756,0.8427747834284812,133,168.43225085290948,191,226.632314772157,86,94.58586623551892,-107,-127.42563734113827,47,73.84638461739056,84,99.20667743101873,1.0397135839860068,1627,1564.8540377461272,0.8422541323057446,1551,1841.4869580443628,0.8157781371038794,536,657.0413886094951,0.7132050894004027,567,795.0027396420874,1.1733147462932503,2303,1962.8151843106589,1.0317115803993484,1970,1909.448374358137,1.6085326382059706,432,268.5677553187969,1.4391323713453503,354,245.98154210725497,0.9782371833166773,16,16.355951575826005,0.9727452474570947,14,14.392257414362238
5,Hercules,0.8386498275105434,35,41.73374733038979,37,0.8388080048911645,0.8381164190019684,1.1957949620285306,9,8,20,10.729511339329376,9.545213312401664,16.72527534826896,-21,-14.658639835436908,-5.71186470809851,-0.629495456464582,0.8630637889705868,1.0111671070103412,36,41.71186470809851,57,56.37050454353542,18,23.393235102979233,-28,-31.71555802589159,18,18.318629605119277,29,24.65494651764383,1.0013115757877353,390,389.48915545412086,1.1459666652094387,524,457.2558835332552,0.9318549055531842,152,163.11552270014298,1.033431332748761,204,197.40063372898985,1.0341553997240707,505,488.3211944111515,1.1420685009829803,543,475.4530919403162,1.3432096888963223,90,67.00368583102649,1.4847878745138892,91,61.28821602196399,1.702544611764437,7,4.111492851130362,0.8365602742683196,3,3.5861133886902397
6,Levante,1.0845933904947276,496,457.31423807935437,440,1.1108556308764894,1.0032717836638945,0.9383558810590594,128,112,200,115.22649428261455,111.6347552315107,213.1387504858747,-173,-228.21691943171095,17.868401251914293,37.348518179796656,1.037607267752756,0.9468989878923022,493,475.1315987480857,666,703.3485181797967,283,266.1947842466698,-383,-394.64834429841363,210,208.93681450141588,283,308.700173881383,1.052245946833589,4746,4510.352369882374,1.1213107243012268,6278,5598.804919940719,0.8302407936218841,1560,1878.9729581879226,0.9165879335129957,2226,2428.5722281641174,1.1419263295297424,6632,5807.730173566564,1.0947462062883546,6143,5611.346232317468,1.5082808135012902,1213,804.2268980297961,1.496151365786007,1071,715.8366623134734,1.3554830464381256,66,48.691129094850496,1.4365629488153588,59,41.070250383843955
7,Vallecano,1.0409772639242627,258,247.8440297796658,221,1.15305162539436,0.6508597715363564,1.093477327281872,74,36,111,64.17752542059074,55.311453517893554,101.51102106151569,-116,-89.51517048628645,34.006887888540604,-60.49171740225415,1.1360312994278763,1.1781744967733985,284,249.9931121114594,400,339.50828259774585,154,140.20196033999852,-214,-190.4493329715655,130,109.79115177146087,186,149.05894962618035,1.2639365236700926,2933,2320.527926104586,0.9920567471193207,2726,2747.8266822090645,1.0444295961040653,1014,970.8648661263776,0.8956209194695225,1061,1184.6529898256863,1.1393193631270684,3309,2904.3656301231026,1.117114063768627,3158,2826.927081507117,1.660924664303357,663,399.1752390997713,1.399649321652808,511,365.0914497615545,1.5671194016454055,38,24.248311877258168,1.6879342072484953,36,21.327845508080358
8,Espanol,0.985886940795796,683,692.7772057196444,564,0.9822391763818579,0.9991856877855863,1.0142943728854186,178,149,237,181.218591438874,149.12143140302234,233.6599771581037,-159,-128.10976590418738,-55.8019084118298,24.911674316017184,0.9175506042192264,0.9690504248963886,621,676.8019084118298,780,804.9116743160172,345,379.7239153808737,-451,-451.4527872752999,276,297.0779930309561,329,353.4588870407173,1.027548350341998,6285,6116.50050132256,1.0886936417401565,7324,6727.328716913782,0.8380320935436208,2169,2588.206366689822,0.8916292615553295,2581,2894.7008709626534,1.2524574690616859,9251,7386.278758775457,1.2200103034658054,8888,7285.184374878613,1.555400298118212,1551,997.170954561642,1.5013374811188436,1430,952.484047047383,1.5387944361020542,93,60.436922449225804,1.6125651853708074,91,56.4318272684739
9,Ath Madrid,1.037386993555641,1122,1081.5635890655888,605,1.0520049608587947,0.9459374556467717,0.9441342455238874,327,141,137,310.83503611338153,149.05848072544416,145.10648316117434,408,381.19530677913326,-43.24008300467017,70.0447762255369,0.9576592382885617,0.8905626936937069,978,1021.2400830046702,570,640.0447762255369,554,572.303316308883,-312,-358.630453407571,424,448.9367666957871,258,281.4143228179659,1.0061545881514584,8026,7976.905432340811,1.0955201933852938,6699,6114.903258240504,0.8639753100640916,2990,3460.747043544792,0.882546366118706,2214,2508.650066439918,1.2173252342124783,9307,7645.45064739495,1.1269988909874356,8994,7980.487001295789,1.6557488925648007,1616,975.9934053144806,1.3725238995592175,1538,1120.5633654131084,1.4873501050154203,80,53.786932700132894,1.2987938348600485,88,67.75517225140081
