,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Extremadura UD,0.9588654793966744,90,93.86092411693525,82,0.9464461811874325,0.9947620563979123,1.0395977916054793,22,24,36,23.244850512681353,24.12637257889119,34.628776908427454,-22,-24.714447217419035,-11.397885796122239,14.112333013541274,0.8779641990933004,0.8805177016364301,82,93.39788579612224,104,118.11233301354127,48,52.434819568255804,-58,-66.49958677906373,34,40.963066227866435,46,51.61274623447754,1.088408745838305,944,867.321218806378,1.027532814061637,1013,985.856593713838,0.878720000090569,321,365.3040786222173,0.790465479091077,336,425.0660008408619,1.2316106338258572,1331,1080.698691164594,1.1464208590973946,1216,1060.692493817137,1.4209262282076371,210,147.7909238573877,1.7929526511255995,245,136.64610710505445,1.0903053434741676,10,9.171742631413535,2.3688916241145157,19,8.020628637708212
1,Sp Gijon,1.010247499529684,247,244.4945422928438,165,1.0313545061270515,0.9273221107528187,1.031097810484942,67,46,52,64.96311365487585,49.60520132821623,50.43168501690791,36,30.205777778816127,-47.73566663828905,53.52988885947292,0.7885329006745796,0.7262316816538223,178,225.73566663828905,142,195.52988885947292,97,126.83525722556934,-85,-109.67545375993095,81,98.90040941271971,57,85.85443509954197,0.9166661303193089,1767,1927.6374915090275,1.0639412404041895,1897,1782.9932029698678,0.7673395617065772,637,830.1409594773145,0.8338122097859806,631,756.7651236025465,1.1787122416789733,2527,2143.8650678646623,1.0780263217774575,2340,2170.6334555373296,1.403136131061832,392,279.3741756926689,1.388773829515931,408,293.7843379020268,0.7708488050513262,13,16.86452636990779,0.9354404788319771,17,18.173256754108802
2,Lugo,1.021914310801424,198,193.75401431135737,167,0.9759875918362443,1.1565393331265448,0.9057100418549526,47,57,63,48.156349930200626,49.28496452075551,69.55868554904386,-44,-44.72013676220138,-31.378350733240325,32.0984874954417,0.8377359688183201,0.8651881923607087,162,193.37835073324032,206,238.0984874954417,100,108.40547218658489,-122,-133.78621879903847,62,84.97287854665544,84,104.31226869640324,0.9281552599290629,1648,1775.5650063610624,1.008667942295567,2011,1993.7185625462482,0.7407004791074507,556,750.6407997332253,0.7884867749667454,679,861.143168861186,1.147937098591283,2526,2200.469000522623,1.1126100295846786,2405,2161.5839656755134,1.4926564493311338,448,300.1360428253607,1.522397020514311,426,279.8218823734196,1.4026723843822622,26,18.536046114182547,1.2010712531548733,20,16.65180142099453
3,Logrones,0.9548116524576423,44,46.08238691551991,41,0.9837806714101349,0.8773101845902732,1.09951659955006,11,11,19,11.18135405550587,12.538324749002301,17.280321195491826,-23,-13.065273600039909,-18.2856033727327,8.35087697277261,0.6049397212027071,0.8592964856003122,28,46.2856033727327,51,59.35087697277261,20,25.95056622310325,-27,-33.22442585916279,8,20.33503714962945,24,26.126451113609814,0.8160647324719856,353,432.563724363763,0.8842020361226984,438,495.36189932412674,0.5248751781109097,95,180.99541369419808,0.7111446651683966,152,213.73991459811756,1.2149809763952164,659,542.3953237154525,1.127085619136104,598,530.5719369025035,1.2329217704057556,92,74.61949509555885,1.0783554867759995,74,68.62301060037319,0.8734259110337275,4,4.579667204131685,1.2398116285141845,5,4.0328707079414166
4,Cadiz,1.031196892940356,194,188.13090044019447,125,0.9979671451106926,1.163241021066195,0.8361925918401233,50,44,31,50.10184979030957,37.825351069265764,37.07279914042467,40,28.127890336379835,-30.61311665310106,42.485226316721224,0.8246803147445144,0.7099692072368969,144,174.61311665310106,104,146.48522631672122,92,98.1586069059232,-60,-82.28673238381336,52,76.45450974717787,44,64.19849393290787,0.8875759237056816,1311,1477.056739581779,0.9232216496969843,1237,1339.873258394669,0.6726504315502306,428,636.2888952789423,0.7312801016420004,414,566.1305415946823,1.1009254362122063,1787,1623.179864158894,1.1557378612440512,1906,1649.1628975002661,1.4240029733645703,300,210.6737174088713,1.5432460377186816,346,224.20274638221514,1.5959250375994294,20,12.53191693143918,1.4430094103555435,20,13.85992347414574
5,Ponferradina,1.0513230785952143,108,102.72769826789154,84,1.0499692641561746,1.0554055503069832,0.9173644625642647,27,27,30,25.715038450862657,25.58258291530358,32.70237863383376,-10,-14.782991384283974,-9.565740022795893,14.348731407079867,0.9039253861759499,0.8745177910544667,90,99.5657400227959,100,114.34873140707987,56,55.913982127141196,-55,-64.3593618518115,34,43.6517578956547,45,49.98936955526837,0.9757351513352378,885,907.0084220999192,0.8919507931596434,872,977.6324060557536,0.8292564604354661,319,384.6819593452236,0.717143710698967,302,421.11503663004237,1.091047133131517,1207,1106.276679849454,1.2076974716810913,1320,1092.9889570461596,1.141436071969673,171,149.81128089365598,1.7856123169541442,255,142.808154703465,0.6441020066809328,6,9.315294685880719,1.7577219006370328,15,8.53377317228835
6,Tenerife,0.9211963772416698,213,231.22105694529978,165,0.8582020739965663,1.1527800329077458,1.0188760726398773,52,57,56,60.59179018041857,49.44568640404407,54.96252341553736,3,11.672855110747378,-34.74083044875488,26.0679753380075,0.8397125711070447,0.8728812956043457,182,216.74083044875488,179,205.0679753380075,110,121.97805934499337,-88,-115.19413879389022,72,94.76277110376151,91,89.87383654411728,1.0256471098196325,1928,1879.7888489531774,0.9656860588090678,1765,1827.7161442888448,0.7827765446603986,633,808.6598970267078,0.7911234975657471,619,782.4315696659704,1.222616660345552,2640,2159.303145152503,1.1145604812679835,2416,2167.6706115144416,1.6903454647079834,480,283.96562124235516,1.5066810748326016,435,288.71405320354893,1.5072989383488866,26,17.249398469344584,1.1866156309786375,21,17.697390335807956
7,Mallorca,1.1386491313408096,145,127.34388145473409,82,1.1969341997514216,0.8949878143469061,0.8202213278335617,41,22,19,34.254180395643175,24.581340267804567,23.16447933655226,40,23.272868027026078,-12.471109345868172,29.198241318842094,0.8938367959976465,0.6900341141188409,105,117.47110934586817,65,94.1982413188421,55,66.14828086518907,-33,-52.94337526551159,50,51.32282848067911,32,41.2548660533305,0.959839440949116,945,984.539663285307,1.0217903553053826,887,868.0841381937904,0.8186879161075661,348,425.070400030525,0.7415405539539665,271,365.45540032167037,1.1170422699063751,1185,1060.837205470587,1.1519012260367698,1247,1082.5580977028967,1.446414385341945,199,137.58159626776296,1.4808988594828496,220,148.5584235488081,1.0989967695528593,9,8.189287038270152,2.0732389095721904,19,9.164404503637558
8,Oviedo,0.9755725535173969,229,234.73395102634603,166,0.9403348504126667,1.1067849486959929,0.9702275532106894,58,55,53,61.68015571745177,49.69348387399075,54.62636040855748,0,15.492372196076218,-26.180247712806505,10.687875516730287,0.8810962927657576,0.947784520750196,194,220.1802477128065,194,204.6878755167303,109,123.49317611582018,-116,-115.02359042299763,85,96.68707159698633,78,89.66428509373266,0.8954599973666184,1706,1905.166065504913,0.9217625835085016,1686,1829.1044029825819,0.7116169534557968,582,817.8557258559634,0.7200796899321964,561,779.0804376843686,1.2144823729885081,2630,2165.5316359415665,1.1809741690746551,2574,2179.5565622039317,1.6773858221340034,477,284.37106937815366,1.4775797121300418,431,291.69323080287916,1.7968880015653028,31,17.252049083190116,1.0607194248156055,19,17.912371128022798
9,Granada,1.0583993384548893,137,129.44074606093412,83,1.080903626348348,0.9593953014721921,0.9216282805031516,38,23,22,35.155770666046,23.973434062796116,23.87079527115788,28,23.991723017780657,-13.487429201202076,17.49570618342142,0.8871226095383564,0.8167906507773565,106,119.48742920120208,78,95.49570618342142,53,67.08980031996668,-54,-53.47376134088553,53,52.3976288812354,24,42.02194484253589,1.0077751859622808,1004,996.2539403481381,0.9637374783603959,849,880.945297929475,0.7573173078176058,326,430.46685535214874,0.7520045136235701,280,372.3381906988915,1.1489200655635157,1235,1074.9224746059808,1.1275605752889577,1233,1093.511095564885,1.434599619353902,199,138.71466109103199,1.4028839290106945,210,149.69164280618054,1.2233956711487588,10,8.173970397173369,1.0794568969564104,10,9.26391783515911
10,Malaga,1.0152179579468015,177,174.34679776347593,125,0.9906624857868191,1.103104792199964,0.9156295665123475,45,42,38,45.42414863348682,38.07435186301548,41.5014995034977,11,9.315136373152257,-43.125169271861466,44.81003289870921,0.7388334591145197,0.7124059852561623,122,165.12516927186147,111,155.8100328987092,70,92.55873427060132,-62,-87.32611274243817,52,72.56643500126015,49,68.48392015627104,0.9487348890077192,1357,1430.3258114806813,0.899308654711358,1247,1386.6207041010152,0.7179439004514425,440,612.8612552085593,0.6763243849829335,400,591.4321720191912,1.1890010831470488,1941,1632.4627685473256,1.1359700911683126,1861,1638.2473574511237,1.546169742597525,333,215.37092003919872,1.4710383965299973,323,219.57278665323634,1.3730710142161069,18,13.109300111674333,1.1137765233215082,15,13.46769274258623
11,Vallecano,0.9891511464176267,203,205.22647194536228,126,0.9403717081574754,1.2173394529799364,0.8658031505652772,53,44,29,56.360691777771535,36.144396612047686,33.49491161018078,41,48.77756384958411,-8.962175067145921,1.1846112175618089,0.9523192628307032,0.9914889210294224,179,187.96217506714592,138,139.1846112175618,102,105.69645704964894,-75,-77.94702747732201,77,82.26571801749698,63,61.2375837402398,1.0877126998216096,1679,1543.606138160715,0.872984165934037,1144,1310.447594173708,0.8568366434896533,572,667.5718228744347,0.7517940156264172,412,548.0224522094783,1.181931877882476,1920,1624.4591045634807,1.1933946744315727,1989,1666.6741042290835,1.6607348250515965,345,207.7393662105456,1.3883015386763367,320,230.4974755737151,1.487547383901846,18,12.10045487948484,1.1892905304830486,17,14.294236407562405
12,Barcelona B,0.8362514665418178,44,52.61575227120959,42,0.7395598228826727,1.1617213651704827,1.0957329111142362,10,14,18,13.521556594329011,12.051082488222551,16.427360917448432,-8,-5.648052454691793,-4.832063634068632,2.4801160887604254,0.9049406361139726,0.9560886864173077,46,50.83206363406863,54,56.480116088760425,21,28.405320145290897,-38,-31.67707648495461,25,22.426743488777735,16,24.803039603805814,1.0942666933703056,502,458.75471038404396,1.0851249819929893,527,485.6583423524985,0.8970755993124209,176,196.19305233014725,0.8151797048375379,171,209.76969738725234,0.9428082631607037,521,552.6044057498831,1.2141424799622458,665,547.7116656199019,1.2797880763283889,95,74.23104008950256,1.6509794397816357,118,71.47272531486345,0.2180036352024223,1,4.587079472649494,0.688464376257522,3,4.357523937996527
13,La Coruna,0.9068086538372895,116,127.92114357216326,82,0.8087795971706312,1.3299554225406591,0.9434374542107165,28,32,22,34.62006224928636,24.060956824304164,23.318980926409466,1,24.60179209335466,-28.52392005000749,4.9221279566528295,0.7593403927412061,0.94759352174256,90,118.52392005000749,89,93.92212795665283,57,66.4721847984112,-47,-52.55310987873714,33,52.051735251596284,42,41.36901807791569,0.9601334567109474,948,987.3627393919675,1.126464961125443,979,869.0905032872822,0.7554668101979038,322,426.2265339170203,0.8165759308171809,299,366.16313157893165,1.1043777922863078,1172,1061.2310462832643,1.1528368349439742,1248,1082.5469504196149,1.394609535013951,191,136.9558971200418,1.4036235265044268,207,147.4754420193506,1.9843037921281823,16,8.063281471049283,0.7732784438968352,7,9.052366654273225
14,Sabadell,0.8962971826214837,40,44.62805504197646,40,0.8291350458223908,1.0775862856047325,1.0537830018183125,9,13,18,10.85468530771511,12.063999118831127,17.081315573453765,-10,-13.790191212759474,-7.790806666511557,11.580997879271031,0.8260623720283105,0.8023079445806268,37,44.79080666651156,47,58.58099787927103,19,25.171465051275867,-31,-32.98088135097029,18,19.61934161523569,16,25.600116528300738,0.8622025792906111,361,418.6951056177745,0.953657520131852,462,484.45064422721083,0.6772218655656228,119,175.71789401780455,0.8119361474960748,170,209.3760704265502,1.1462707893837976,607,529.5432856020922,1.024014298139105,530,517.5708981438493,1.2397656423467485,91,73.40096941849944,1.1993152628915025,80,66.70472933624067,1.3068862534980725,6,4.591065200923279,1.018359148947961,4,3.9278873314314406
15,Almeria,1.0480346066059625,239,228.04590468056807,165,1.0560821591936675,1.0186918606675672,0.9242309325609793,63,50,52,59.65444965768697,49.08255570750717,56.262994634805864,44,7.186435583871116,-6.014822882731437,42.82838729886032,0.9720260082440367,0.7939242667688488,209,215.01482288273144,165,207.82838729886032,120,120.66472794667212,-104,-116.48076332243411,89,94.35009493605932,61,91.3476239764262,0.9752318494077415,1829,1875.451464296159,0.9879993138589398,1818,1840.0822495505927,0.8113024399009069,652,803.6460485434209,0.7565529310715687,594,785.140041898547,1.2246006016339388,2639,2154.9883255641726,1.137910914297791,2462,2163.614013245764,1.562013330156012,444,284.24853452156765,1.4844635247840943,428,288.3196473704195,1.6245779715434885,28,17.23524539323748,1.5959082020722675,28,17.544868786088283
