,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Nimes,1.0399869448767587,115,110.5783111668078,103,1.10650532511604,0.8292526212126736,1.0319075260577393,31,22,50,28.016132680381823,26.529913125662326,48.45395419395585,-45,-45.93479568976265,10.792384624844104,-9.857588935081452,1.0953326734167086,1.061941935334009,124,113.2076153751559,169,159.14241106491855,76,63.48807740173157,-90,-89.3640636610402,48,49.71953797342432,79,69.77834740387834,1.169600561163069,1248,1067.0309517968847,1.048158644468004,1351,1288.9270218113825,0.9468635199955514,423,446.7380895633062,0.9085626714851149,507,558.0242463310427,0.922414644471078,1256,1361.6436030460068,1.1371569219217823,1500,1319.0791623244195,0.9407750344408092,177,188.14274775606444,1.4674924496774313,248,168.99575875467895,1.317434802065958,15,11.385762677953771,2.454569227531772,24,9.777683078074581
1,Reims,1.0540970920484483,312,295.9879145418038,255,1.0130397434168352,1.184387954662323,0.8711156270963569,76,84,95,75.02173581429598,70.92270709891588,109.05555708678814,-53,-77.72316380625875,-18.714752570339556,43.43791637659831,0.9362825584804165,0.8830547058837233,275,293.71475257033956,328,371.4379163765983,156,164.98130003906812,-200,-208.84918778989808,119,128.73345253127144,128,162.58872858670023,1.0201355566407233,2763,2708.4635782115843,1.0636212265696154,3282,3085.6849393510943,0.8006005913553991,910,1136.6466747912216,0.8753425681493431,1161,1326.3378730164995,1.0290051291328663,3453,3355.668404597568,0.9950218778921267,3271,3287.364903904775,1.0317415403850287,473,458.4481495467211,0.9189791242448696,392,426.56028810459503,1.1488177298210898,32,27.85472331192477,0.8830338539534068,22,24.914107088311958
2,Rennes,1.020392646874521,750,735.0111766262349,521,1.017331609154975,1.0325149571179348,0.9536796158106197,199,153,169,195.60976795491018,148.18187276150442,177.20835928358542,48,37.41736239737588,-47.11781903582653,57.700456638450646,0.9318237531459393,0.9117325740673856,644,691.1178190358265,596,653.7004566384506,364,388.2647477341726,-348,-366.6791200265905,280,302.8530713016539,248,287.02133661186014,1.0631912335981177,6346,5968.822728648234,1.068931592694785,6196,5796.442019624319,0.8502670433918547,2176,2559.1959807351573,0.8417837696624961,2079,2469.7553872220083,1.066005598338352,7234,6786.080684075278,1.0571272156980869,7207,6817.533304391156,0.9187393747907506,820,892.5273287506163,1.0015756878471507,915,913.5605138007675,1.0438303221883531,56,53.64856606445192,1.189013391986573,66,55.50820574840532
3,Dijon,0.9261651498891169,203,219.1833713720536,214,0.8993068061383293,1.0049504717940396,1.0502030787771321,49,56,109,54.486410717170685,55.724139220541566,103.78945006228776,-134,-112.40240608936679,-10.486893927117734,-11.110699983515474,0.9543028634548156,1.0324979459227877,219,229.48689392711773,353,341.8893000164845,114,128.69541766480063,-205,-192.1968078110065,105,100.79147626231712,148,149.69249220547803,1.0831076663044854,2366,2184.4550395185415,1.1170577565513604,3046,2726.8061853880963,0.8488380686764061,770,907.1223692884812,0.8995766786661883,1064,1182.7785504373055,1.0451980567561803,2954,2826.258603242981,1.0332245538894431,2817,2726.4160432461267,1.0358681702292407,407,392.9071398244911,0.9541991532393954,332,347.9357520627623,1.3245841146586836,32,24.158526171247118,1.1084521332639583,22,19.847496648518867
4,St Etienne,1.0157851466985508,750,738.3451140603984,522,1.0283576443702673,0.9648368749691195,0.9974270497674993,203,141,178,197.40214030723774,146.13869313868506,178.4591665540772,44,39.65622149785111,-63.383482443633625,67.72726094578252,0.9093723485974063,0.8973405148535336,636,699.3834824436336,592,659.7272609457825,361,392.8191199733308,-340,-370.27052909595847,275,306.5643624703028,252,289.45673184982405,1.0894715699396604,6556,6017.596219021208,1.0601180412680198,6180,5829.539503551915,0.8552617697735947,2201,2573.48109992412,0.8590562748271715,2127,2475.972834757442,1.1082179458355832,7541,6804.618196571592,1.0615234891889804,7253,6832.63260197982,1.0128356402824163,907,895.5056120922982,0.9906320172555019,908,916.5865671448518,1.0821249462557072,58,53.598246857433175,1.1868753332804347,66,55.60819923486061
5,Guingamp,0.9595883405623987,259,269.90740617815806,226,0.984052552197747,0.8785745368811404,1.092298190538806,68,55,103,69.10200054675056,62.60140453790636,94.29659491534306,-84,-57.728154061815246,-22.192472301237842,-4.079373636946912,0.9163156023673669,1.012632744098423,243,265.19247230123784,327,322.9206263630531,154,148.95136000992213,-200,-181.44123906796068,89,116.24111229131572,127,141.4793872950924,1.0254905143148174,2486,2424.205748661677,1.0494170117276709,2839,2705.3115856451686,0.8322433204720578,851,1022.5374948245942,0.8481357377699309,987,1163.7288184497397,1.0063818625435759,2992,2973.0265531990826,1.1108079390287828,3253,2928.4990552410063,0.9300571633610579,374,402.12582057691145,1.1723288781199694,447,381.2923219266263,1.1848710941460836,29,24.47523628796076,1.6405409258574761,37,22.55353671269181
6,Ajaccio GFCO,0.9261819230878788,37,39.948955035359,38,0.810871618139465,1.2558961011007717,0.9559746408056845,8,13,17,9.865926764530126,10.351174741768622,17.78289849370125,-21,-17.987473417456115,-4.291554006482215,1.2790274239383308,0.8960670260603779,0.9784236098411118,37,41.291554006482215,58,59.27902742393833,15,23.123218696291772,-26,-33.26830676224631,22,18.168335310190443,32,26.01072066169202,1.1078761298570472,434,391.7405459904623,0.8489531368406183,406,478.23605612782137,0.7634453589033275,124,162.4215781180768,0.7858841554026881,162,206.13725176453136,1.1522236288910532,577,500.7708447667648,0.8504370122086055,413,485.6326736384968,1.2800468575814417,89,69.5287047289497,0.9003376200238054,56,62.198889343887835,1.416238696748573,6,4.236573971446276,0.5588988510655231,2,3.5784650410124534
7,Paris SG,0.9766272194677645,995,1018.8124805104737,493,0.9704563063347452,1.0292846326882619,1.0712249479536164,295,110,88,303.98071306699705,106.87034130948261,82.14894562352029,553,548.4242080366049,-4.089344614097058,8.665136577492149,0.9958780480444654,0.9804691965559059,988,992.0893446140971,435,443.66513657749215,550,554.8070005019704,-241,-247.0338262407056,438,437.28234411212674,194,196.63131033678656,0.965408417152148,6937,7185.5598902518495,1.2245083596592192,5598,4571.630692303255,0.8738541804187812,2746,3142.4007134508665,0.9554981544356427,1748,1829.412220092086,1.0585868229192517,6361,6008.954449724161,1.0401169668197627,6750,6489.654736273212,1.0577639169505806,796,752.5308693595658,0.8260467349115375,777,940.6247457454209,1.1175102701595472,43,38.47839357562314,0.9019586070459135,50,55.43491642455693
8,Nancy,0.967558150958998,313,323.4947684433945,265,0.9580779814947121,0.9983644189945882,1.0336525445844171,79,76,110,82.45675354813069,76.12450779900237,106.41873865286695,-61,-54.54618640256359,-42.1805684343625,35.72675483692609,0.8665934195664559,0.9036304923483566,274,316.1805684343625,335,370.7267548369261,148,177.34231042782437,-201,-208.20755800423888,126,138.83825800653813,134,162.51919683268721,1.1231547359142484,3226,2872.266747265269,1.0772463130276992,3377,3134.844797480562,0.8393064460019074,1018,1212.9062094653405,0.8224905246706855,1108,1347.1279811322188,1.2060607985153766,4212,3492.361251758486,1.2327144044045188,4250,3447.676107957079,0.9680651363817961,456,471.04268386766665,1.0060106021459991,452,449.29943982280486,1.1414265543335285,33,28.911190014559004,1.0106731138815652,27,26.714869159133453
9,Ajaccio,0.9711676155373266,106,109.14696732484478,113,0.8358191705780469,1.3252704477481385,0.9027188011393547,22,40,51,26.32148289298623,30.18251864588609,56.49599846112768,-67,-67.37959769560884,-2.5233260758689227,2.9029237714777594,0.9785291468500479,0.9843002819411039,115,117.52332607586892,182,184.90292377147776,61,65.76499449368158,-106,-103.50481057097176,54,51.75833158218734,76,81.398113200506,0.9750018539874804,1108,1136.408095501147,1.1493838539054755,1685,1466.002845154438,0.8325981525866262,389,467.21218248142486,0.9631673235941697,612,635.4036157666267,1.2010114126545965,1797,1496.2389041983283,1.2013865048233205,1730,1440.0028575769784,1.096761097828321,230,209.7083863162354,0.9104786132438523,166,182.32169057609752,1.5482891673113122,20,12.917483647277,1.752369641773157,18,10.271805429011243
10,Le Havre,0.7202011172404208,26,36.10102702926044,38,0.8238531651009598,0.4712069963563228,1.3762226121168375,7,5,26,8.496659716227683,10.611047880577397,18.892292403194922,-37,-22.811421349191612,-9.303671053966404,-4.884907596841984,0.7632874791468746,1.078642845206387,30,39.303671053966404,67,62.115092403158016,15,22.04191839522755,-41,-34.86742613766864,15,17.261752658738853,26,27.24766626548938,1.1769208659285222,447,379.8046350782837,1.1336425973030286,556,490.45440011052995,0.8836272930201017,139,157.3061415123558,0.943706151064075,202,214.0496803716232,1.152575705414279,578,501.48549660106283,1.3894728872931312,668,480.75785149096964,0.8100235456026863,57,70.36832485849528,0.8049826487432822,49,60.87087724996,0.4596919201882848,2,4.350739945963857,1.464475345717743,5,3.4141919934811105
11,Evian Thonon Gaillard,1.0085044462389157,171,169.55800307844152,152,1.0556039596761289,0.8639489072313262,1.0487251729485239,45,36,71,42.62962410050689,41.66913077692086,67.70124512257226,-41,-55.89383787703176,8.936182007484263,5.957655869547494,1.0522388785212033,0.973749923320622,180,171.06381799251574,221,226.9576558695475,97,95.72438854717555,-123,-127.37715964238703,83,75.33942944534019,98,99.58049622716047,1.0004011708432263,1597,1596.3595870783595,1.0123927225448388,1887,1863.9011897049909,0.8183602649534919,548,669.6317300194717,0.8576350966230611,692,806.8699645394067,1.115250602590693,2233,2002.2405680058,1.013041324002879,1981,1955.4977206382648,1.0428777538755898,286,274.241155242936,1.042358642954901,262,251.353026878807,1.0056257748107673,17,16.904896857082804,1.3016547753631953,19,14.596804282993169
