,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Lazio,1.024263418819443,976,952.8798764725279,604,1.0598168953251679,0.8484614523616041,1.0472762497996406,280,136,188,264.19658078209045,160.29013412625662,179.5132850916529,197,188.59571682373723,40.01049589658783,-31.60621272032506,1.0447049889558981,1.0447430502496924,935,894.9895041034122,738,706.3937872796749,510,502.1709508183303,-402,-396.4037471051787,425,392.81855328508186,336,309.99004017449624,1.0926882844391668,8063,7379.048640700322,1.020951272359066,6594,6458.682386245078,0.9935457553795891,3154,3174.4889280866573,0.9477760239255018,2563,2704.2254027323443,1.2136024920331956,9427,7767.78233555419,1.1565187146106144,9175,7933.2914237268615,1.3677937011546826,1383,1011.1173920690528,1.2447128773538398,1351,1085.3908757432623,1.9009282995294625,112,58.918582056842126,1.4228601509069267,93,65.36130760336641
1,Fiorentina,0.9759866218139869,926,948.7834969283895,604,0.9632145528653862,1.0385761792871935,1.0191602575528829,253,167,184,262.6621444281251,160.79706364401426,180.54079192786074,170,183.25122893786602,-13.176897710756975,-0.07433122710904172,0.9852471579319507,1.0001047028307026,880,893.176897710757,710,709.925668772891,496,501.58410220519346,-391,-398.4594675921313,384,391.5927955055635,319,311.46620118075964,1.1629203910116326,8564,7364.21862252335,1.0223732050755854,6624,6479.0430413425,0.9850797811880422,3112,3159.134985236236,0.9477231322197375,2570,2711.7624468874146,1.2360645245199389,9631,7791.664438990736,1.2234988343118103,9714,7939.525341243091,1.3360121598816734,1352,1011.9668372776955,1.3585351525253282,1479,1088.6726024356046,1.1558436254132851,68,58.83148767263896,1.403770698330384,92,65.537769173714
2,Siena,0.957654839898625,276,288.20404649050454,261,0.9111391322658204,1.0918467063873052,0.9958909343393036,65,81,115,71.33926938069055,74.18623834843285,115.47449227087661,-89,-99.8073316538991,-28.064428458517114,38.87176011241621,0.9045636746830258,0.9013085881015646,266,294.0644284585171,355,393.8717601124162,155,164.8193316148542,-180,-220.76755603766392,111,129.2450968436629,175,173.1042040747523,1.061754243120969,2907,2737.9217166630115,0.9790148987543846,3153,3220.584287339865,0.9279459935065827,1066,1148.7737513384047,0.8723183825412166,1218,1396.2791847304102,1.3807350907353586,4753,3442.3692364250874,1.281475698396746,4292,3349.263669509863,1.2246398433319903,577,471.1589314537595,1.1499626993906282,497,432.18793119408406,1.2566761665231703,36,28.64699829519385,1.4693616321704006,37,25.18100322610652
3,Inter,1.0164038653855483,1157,1138.3270365280634,603,1.025494457063667,0.9549123413169451,0.98555491316356,339,140,124,330.57224021538855,146.61031588189786,125.8174439027136,457,474.01515462186967,0.7532674588496775,-17.768422080719347,1.0007031689674917,1.0297513104424643,1072,1071.2467325411503,615,597.2315779192807,610,599.0002019754079,-349,-334.5213795956611,462,472.24653056574243,266,262.7101983236196,1.0544042824537099,8665,8217.910477218124,1.1559494996945239,6812,5892.991001596669,0.9459444177288289,3381,3574.2057742860125,1.024817419845322,2448,2388.718178082377,1.1447593205079338,8662,7566.656016529867,1.0829829070904564,8665,8001.049641013637,1.2716963498933818,1220,959.3485112246206,1.2394228871813235,1409,1136.8194137549985,1.4221966518691436,74,52.03218549470242,1.2893209910065824,89,69.02858219233447
4,Benevento,0.8730717686581682,54,61.85058541406405,72,0.8528885813897316,0.9303117247781365,1.082835621003796,13,15,44,15.242319200495412,16.123627812577816,40.63405298692677,-77,-60.040566163447124,-1.492367412767294,-15.467066423785582,0.9788293758949993,1.118491678690074,69,70.4923674127673,146,130.53293357621442,42,39.377866517875084,-82,-73.08356265690867,27,31.11450089489221,64,57.44937091930575,1.0780982402620265,752,697.5245593733925,0.9521421054585983,942,989.3481178907497,1.0307618837867316,292,283.2856012557172,0.9626781832119249,413,429.01148816112914,0.9977072366159156,950,952.183130616821,1.197682408846163,1076,898.4017733353946,1.2453077935380559,169,135.70942129885213,1.2488511028394487,141,112.90377185832284,1.4375419039350832,12,8.347582750215189,1.2974984435120769,8,6.165710671949286
5,Bologna,1.0017341415612058,501,500.13269910037207,454,0.9915548625302981,1.0333052349475056,0.9854533148085123,125,126,203,126.06463315707907,121.93879962913485,205.99656721378608,-162,-177.64125496488487,-14.308801240860817,29.950056205745682,0.9720699679447171,0.9565909793957398,498,512.3088012408608,660,689.9500562057457,275,287.2789486362398,-366,-387.35714978564386,223,225.029852604621,294,302.5929064201018,1.0550430407949523,5023,4760.943208738932,1.079840768756599,6084,5634.164013834675,0.929984466297786,1850,1989.280538593018,0.9542286105574742,2322,2433.3791444834733,1.1646315344743627,6975,5989.018666876516,1.213645105497819,7076,5830.369988677647,1.3232070170106005,1089,823.0004723374859,1.3265971622418389,1002,755.3159531162447,1.282921790869522,64,49.88612747517751,1.4413548281159738,63,43.708876378725336
6,Ascoli,1.0126372737111522,70,69.12643037863035,76,0.8704460265892793,1.341297740974523,0.8708796384473568,14,28,34,16.083708320040287,20.87530541850949,39.04098626145023,-41,-53.337250576903145,1.8853934450174705,10.451857131885674,1.024449238986562,0.9198795834595215,79,77.11460655498253,120,130.45185713188567,41,43.17452946805539,-61,-72.98295643682462,38,33.94007708692714,59,57.46890069506106,0.9371532835234883,705,752.2782157358042,0.7866162078332987,792,1006.8442426091508,1.0830565879816336,335,309.30978465705147,0.9256213628893196,406,438.6242758406896,1.535752521525368,1540,1002.7657310765235,1.4749693299200433,1408,954.596120365653,1.3161516624832421,186,141.3210994613383,1.1936695721021562,144,120.63640002685455,1.8434289475606862,16,8.679477460290492,3.4042213964808523,23,6.75631732524109
7,Spal,0.912500881689173,99,108.49304585518479,112,0.8902182850369237,0.9777646832339445,1.0622308106397924,24,27,61,26.959679893571888,27.614006174469132,57.42631393195899,-81,-71.70084582540838,-8.90749376815532,-0.3916604064363014,0.9238073327803932,1.0020765805333969,108,116.90749376815532,189,188.6083395935637,61,65.41308499881204,-104,-105.38133732955498,47,51.49440876934328,85,83.22700226400872,0.9082106915772533,1022,1125.2895495263697,0.9790660844456667,1444,1474.8749067511335,0.8949692548099454,414,462.5857232245554,1.056160866223226,677,641.0008377046911,0.9907072419674281,1467,1480.7603476146096,1.2416236512446093,1757,1415.0825801673277,1.4861127698761747,307,206.579208673094,1.4328052512632408,259,180.7642732825352,0.7885542969592463,10,12.681434922821573,0.8962937167746087,9,10.041351212844923
8,Bari,0.9380890920312596,74,78.88376554914053,76,0.9293426293052957,0.9625483286961783,1.0598747462791123,18,20,38,19.36852935870961,20.778177473011706,35.85329316827868,-29,-37.08586173139025,-6.361133356961801,14.446995088352054,0.9227653494107229,0.8790509959864126,76,82.3611333569618,105,119.44699508835205,43,46.12011037964834,-62,-66.9218051175186,33,36.24102297731346,43,52.52518997083345,1.075957996032049,841,781.6290255767101,1.1915933788795734,1147,962.5766812152788,0.8592996962414637,279,324.6829961890279,0.8877372077340465,370,416.7900103505031,1.178619248646925,1186,1006.2622016071333,1.1856001080384102,1154,973.346739913264,0.9282791863222831,129,138.96681289503064,1.3217842261031383,165,124.83126726852399,1.1619692868443452,10,8.60607944910301,1.5460022432935832,11,7.115125510145278
9,Atalanta,1.0307012362878818,757,734.4514330130917,530,1.029192560684658,1.0371179222977072,0.9428269735277272,204,145,181,198.21363639112536,139.8105238397157,191.97583976915894,86,15.553656146937442,54.84811223074212,15.59823162232044,1.0770174357082,0.9776079942293373,767,712.1518877692579,681,696.5982316223204,438,399.13359734359915,-374,-390.36284045138916,329,313.01829042565873,307,306.2353911709313,1.1047222916550974,6766,6124.61616019639,1.0184511663794558,6153,6041.526784120259,1.0018219380863236,2610,2605.253389624919,0.8819084749301126,2264,2567.1598180065253,1.2068661970782002,8314,6888.9161202194855,1.2411869239560382,8570,6904.68118426902,1.3313049457983506,1223,918.6475298990174,1.3319840872176099,1227,921.1821761047372,1.6131005072176963,88,54.55332733840864,1.3378979817686514,73,54.56320361848272
