,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Waregem,1.1238964308001298,82,72.96045948079234,63,1.240983939448168,0.6692553020656036,1.0098011234133712,24,10,29,19.33949283072281,14.941980988623909,28.71852618065328,-24,-20.844623844133025,21.06911366522189,-24.224489821088866,1.2888915070702327,1.2583242658437344,94,72.93088633477811,118,93.77551017891113,55,40.91001021104725,-70,-52.64054137707339,39,32.02087612373086,48,41.13496880183774,0.9949964196334042,666,669.3491422264419,0.9939175206903376,767,771.6938116427114,0.9531874004258623,268,281.1619203949441,1.0340602575583748,344,332.66920132125904,0.9321875574323906,770,826.0140288944442,1.0666803532079863,863,809.0521189450728,0.937596956842838,106,113.05497444971758,0.8953736165580869,94,104.98410748503645,1.0074689743382634,7,6.948104783671194,0.49475743681034445,3,6.063577375088535
1,Gent,0.9179286847768809,104,113.29856199589085,63,0.9114517914611717,0.9618690290962799,1.223400542732059,30,14,19,32.91452195393267,14.554996134092853,15.530481911974478,38,38.266829652189045,9.897267466503337,-10.164097118692382,1.09507211987273,1.1543853228080845,114,104.10273253349666,76,65.83590288130762,54,58.34146924462748,-40,-36.897787174811185,60,45.76126328886918,36,28.93811570649643,1.0058380700759737,828,823.194134954008,0.9420095132075661,598,634.8131219649736,1.0225856047220492,364,355.9604186868438,0.9695830434972547,252,259.9055353639892,1.0536059031545135,844,801.0585338152056,0.9619400584918777,803,834.7713487043437,1.0028056407133998,102,101.71462530609303,1.0666270381429543,125,117.1918538814004,0.8738798286064208,5,5.721610496460958,0.41981201131706175,3,7.146055660933101
2,Eupen,1.0212398475954683,73,71.48173876281865,63,0.961918409410789,1.2382753745563595,0.8983027074691379,18,19,26,18.712605792653115,15.343921384859312,28.94347282248758,-34,-23.069611580755577,0.29850585241240424,-11.228894271656827,1.0041631747840285,1.1184843648848406,72,71.7014941475876,106,94.77110572834317,36,40.24701018110997,-57,-53.09930176618727,36,31.45448396647762,49,41.671803962155906,1.0059515396933847,668,664.0478926088301,0.971526455927412,756,778.1568843416909,0.8943508933514257,248,277.2960834987963,0.9111494564996252,305,334.74200947418933,1.0883104368641756,905,831.5642020374621,0.915862230487311,743,811.2573870468109,1.215711986960675,139,114.33629140032184,1.1220337588799372,118,105.16617621005693,0.9877473044038916,7,7.086832805101423,1.6365362695102879,10,6.110466468911422
3,Mouscron,1.0505828639907044,67,63.774122248193095,63,0.9862881859749959,1.2577113388720451,0.8840963600625086,16,19,28,16.222439067525876,15.10680504561547,31.670755886858654,-24,-34.34958535505105,3.0034481531775157,7.346137201873532,1.0448298915449328,0.9275143838265824,70,66.99655184682248,94,101.34613720187353,46,37.52491901176057,-62,-57.03934777257963,24,29.47163283506191,32,44.3067894292939,0.9132755499201679,587,642.7413939323256,0.8877946075192337,718,808.7456196724476,0.8704102493168588,230,264.2432119572528,0.8595507701104275,300,349.0195232580138,1.0634604199005293,884,831.2486139189692,0.9055250915798607,727,802.8490946966585,1.1825239441011186,137,115.85389089447902,0.9602854547712611,99,103.09434502845998,0.571593924113506,4,6.997975015573623,0.8649535840955178,5,5.780657010894407
4,Beerschot VA,1.1180521874450287,47,42.03739371719699,34,1.2440389058736545,0.6041280036102554,1.0366317351553267,14,5,15,11.253667336206163,8.2763917085785,14.469940955215336,-6,-6.526427360314365,17.01021896034584,-16.483791600031473,1.414986821810292,1.3469088160671168,58,40.98978103965416,64,47.51620839996853,36,23.005596619381418,-34,-26.63330034050011,22,17.984184420272744,30,20.882908059468416,1.047941551486929,388,370.249657005646,1.2054035871410824,484,401.5252693481091,0.95045968819181,148,155.7141263734822,0.9151629321266421,158,172.64685276625215,0.9729912874644868,435,447.0749179404929,0.9665872972277,426,440.7258415477053,1.0850096469991095,66,60.8289522425363,1.157496870429009,67,57.88352583205469,0.2673884432130657,1,3.7398774157309425,1.1587999612063096,4,3.451846853563927
5,Kortrijk,0.9393067191928778,72,76.6522782482252,63,0.9765336783333249,0.7889305215207665,1.135159790427312,20,12,31,20.480604451998534,15.210464892229592,27.308930655771874,-17,-15.04710563439734,9.066100327406886,-11.018994693009546,1.1209879689568965,1.1224591196265896,84,74.93389967259311,101,89.98100530699045,56,42.00425589225863,-57,-50.503179717509674,28,32.92964378033449,44,39.47782558948078,1.0169872060332608,693,681.4245015952888,0.9506595984314781,718,755.2650824592208,1.012907382213441,290,286.3045576450255,0.9069141098648594,294,324.1762332309609,1.151316625097802,953,827.7479706497286,1.025032364185265,836,815.5840041835995,1.0165187618779916,114,112.1474627673256,0.9903191374048647,106,107.03620277173825,0.44576609182987414,3,6.729986993144703,1.7429218401954834,11,6.311241127580487
6,Mechelen,1.0579710674573468,92,86.95889975621576,63,1.0896571287282144,0.9104654878879468,0.9679102587012318,26,14,23,23.86071665528928,15.376749790347917,23.7625335543628,3,-0.7914242642947613,17.38378068799193,-13.592356423697169,1.2104160760775122,1.1629629592791773,100,82.61621931200807,97,83.40764357630283,60,46.518175677887804,-60,-46.765116586120826,40,36.098043634120266,37,36.642526990182006,1.048961691734124,751,715.9460692586979,0.942446157571173,680,721.5266299694651,0.981866828868688,299,304.52194860733744,0.8860439037120321,272,306.9825308435293,1.0004552695105742,820,819.6268488856545,1.0262698747401175,840,818.498155967711,1.0881595997925608,119,109.35895802663997,0.940957406416102,103,109.46297813022605,0.9081096036138201,6,6.607131976275786,0.15444787014683103,1,6.474676530335553
7,Charleroi,1.0032441971971091,96,95.6895641840814,63,0.9768539663226669,1.1362635110795394,0.9249096035633311,26,18,19,26.616056131579324,15.841395789343432,20.542548079077243,23,12.667426876208353,6.09575504944938,4.236818074342267,1.0685653992431958,0.944425565214294,95,88.90424495055062,72,76.23681807434227,64,49.98236295334069,-37,-42.750877388747725,31,38.92188199720993,35,33.48594068559454,0.9102373913449171,680,747.057862559644,0.9003268508565755,618,686.4173821007689,0.9130456488191561,292,319.8087635351466,0.7921814113553323,229,289.0752000961586,1.051852011847509,861,818.5562135187724,0.9838699396580899,814,827.3451268191786,1.0343878635718864,111,107.3098437337629,1.0332022568696475,116,112.27230605501374,0.794536915838475,5,6.292973806916824,1.017445629135231,7,6.8799745161317265
8,St Truiden,1.0421477497681941,71,68.12853553231065,63,1.0751568105389775,0.9263539904984783,0.9928795285632414,19,14,30,17.671840808481953,15.113013106864786,30.215146084653263,-28,-28.313703666122933,4.468455495698905,-4.1547518295759716,1.0642651551544708,1.0424624793463586,74,69.5315445043011,102,97.84524817042403,41,38.93006058345512,-51,-54.92924993758786,33,30.601483920845972,51,42.915998232836166,0.9016522565768963,589,653.2451903754181,1.0479710874329125,830,792.0065829613203,0.7854716421322937,214,272.4477734410135,0.9715748394139226,333,342.7425109123592,0.9402777339053726,783,832.7326828721856,1.1114749882878694,896,806.1359989577545,1.2179199170703408,140,114.95008665000289,1.0969553812299744,114,103.9240081690252,1.6882853627422403,12,7.107803138510125,1.8441355615335036,11,5.964854335791277
9,Standard,0.9179173919989791,99,107.85284260101491,63,0.8728011542333357,1.1961564255708614,1.0577707513979124,27,18,18,30.934881180028537,15.048199060929313,17.016919759042153,26,30.137102140508986,-0.3272542380645831,-3.809847902444403,0.9967052926150538,1.0550634416451732,99,99.32725423806458,73,69.1901520975556,64,55.68096686855273,-42,-38.86568637556002,35,43.64628736951185,31,30.324465721995583,0.9987669198706512,801,801.9889165970137,0.9229063558691178,601,651.2036634898102,0.9219688916534593,318,344.9140235411834,0.867284342272882,233,268.65468294905406,1.0356398380607459,836,807.2304379150042,1.1309617174429183,943,833.8036429138415,1.0802231844410457,112,103.68227752670727,1.0967892706640132,127,115.79252587246066,1.8649540564905907,11,5.898268625823115,1.1294420520861728,8,7.083143385022135
