,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Erzgebirge Aue,1.1245996906531843,170,151.16490019774187,135,1.1982275768002222,0.889017506980073,0.940358626500745,46,32,57,38.39003615894035,35.99479172092082,60.61517212013883,-29,-46.08939960427881,17.471227297085818,-0.3818276928070077,1.1160656994896736,1.0019419755983208,168,150.52877270291418,197,196.618172307193,93,84.40469620632751,-110,-110.34963328192225,75,66.12407649658667,87,86.26853902527074,1.1242434544456492,1588,1412.5054441904877,1.1829226778907425,1932,1633.2428451240194,0.9624679751500226,572,594.3054883575121,0.9242300612450962,654,707.6160227021289,1.0252973790941637,1829,1783.8726961497714,1.0067808382127046,1753,1741.1932502728464,1.2533969600722148,307,244.93437416850932,1.3774875695461422,308,223.59548413310225,1.052798968660908,16,15.197583276844355,0.9002320884224472,12,13.32989587277278
1,Duisburg,0.9365497181966989,76,81.14892196682942,68,0.9078984786401645,1.034488089384634,1.045078485187046,19,19,30,20.92744998147578,18.366572022402078,28.70597799612214,-30,-15.798194662708198,12.070917351293446,-26.272722688585247,1.1529337089221987,1.2773511857858428,91,78.92908264870655,121,94.72727731141475,62,44.305825195107886,-70,-53.28211346912832,29,34.62325745359867,51,41.44516384228643,1.28443182049921,933,726.3912222583976,1.2273705910152846,987,804.1580979902335,1.1047846132206178,339,306.8471410112806,0.9901890951840051,343,346.398482540611,1.0044103474289043,902,898.039334529901,1.1328243136485248,1001,883.6321642638885,1.3448887420985398,164,121.94317259589621,1.1737947808486071,135,115.01158652486114,0.5288666081589051,4,7.563343834326833,0.5886795850313931,4,6.794867873304437
2,Osnabruck,0.9044943818927271,73,80.70807454573863,68,0.8606769622365562,1.057508146877627,1.0645799844480752,18,19,31,20.913769962222734,17.96676465907042,29.119465378706845,-25,-16.950506970976534,2.237409042939589,-10.286902071963056,1.0284070015441642,1.107476430025255,81,78.76259095706041,106,95.71309792803694,51,44.235485025229416,-56,-53.90315131087333,30,34.527105931830995,50,41.80994661716362,1.113858864333409,808,725.4060867788211,1.1687587028789175,946,809.4057376170014,0.9554184215738598,292,305.6252563342757,0.9525932349827394,331,347.47254950429874,0.930854124869095,837,899.1741859850558,1.1085647707368111,980,884.0259278207442,1.128057792284502,138,122.33415782761216,1.3465739973434547,155,115.10693085250924,1.3183374136925134,10,7.585311541747977,0.8715093414909871,6,6.8846077882942005
3,Heidenheim,1.1228763849528145,203,180.7857059960616,136,1.164501128671293,0.9584335665892704,0.8756087243558067,56,35,45,48.089262106509544,36.51791967653298,51.39281821695747,13,-6.77937020033778,29.507559836198425,-9.728189635860645,1.1740936634559134,1.0551885727829329,199,169.49244016380158,186,176.27181036413936,125,95.08592071652204,-108,-99.05063217761762,74,74.40651944727954,78,77.22117818652174,1.1693052201417693,1767,1511.1537771000158,1.2416286571772843,1916,1543.134486244728,0.9417492514268597,607,644.5452428874505,0.9417821352314253,622,660.4499880932177,1.0288963019540753,1835,1783.4644720901183,0.9011806391688378,1604,1779.887328115898,0.9671195499105286,230,237.81961601466753,1.144388721539385,269,235.05998874067208,0.6174046890221891,9,14.577148764862304,1.1910401722136974,17,14.273238129662218
4,Hannover,0.877315988029489,90,102.58561479330393,68,0.8837328618272384,0.8465804559467541,1.2731573289283373,25,15,28,28.28909173786871,17.71833957969782,21.992568682433472,7,12.951151090764867,13.286963859470333,-19.2381149502352,1.1417835170716861,1.2382078493881221,107,93.71303614052967,100,80.7618850497648,65,52.627345117524094,-62,-45.21639615989673,42,41.08569102300557,38,35.54548888986807,1.1313300363537022,900,795.5238268938009,1.0824251846310147,793,732.614143923789,0.950627300500111,327,343.9833884719807,1.0458372272792649,326,311.7119868147032,1.0126177381490093,894,882.8602999135351,0.9224323004960749,824,893.290488154915,1.2630910115052763,145,114.79774511830124,1.0596989748958676,128,120.78901936521932,1.3037469297970705,9,6.903180206453762,0.9296781191278102,7,7.529487739871884
5,Regensburg,1.0401750956944043,178,171.12503532991246,136,1.0210456973996112,1.1120539386942825,0.9094436183371764,46,40,50,45.05185234818807,35.96947828534826,54.97866936646368,-18,-20.213129987064548,31.819920786703193,-29.606790799638645,1.1949988070854567,1.1614388609520025,195,163.1800792132968,213,183.39320920036135,104,91.49352158515498,-123,-102.94134122285226,91,71.68655762814183,90,80.4518679775091,1.303352237675433,1928,1479.2624313429228,1.146372055035145,1806,1575.4047667749824,0.9983055175396544,629,630.0676385623754,1.0027403763820628,681,679.1389037879196,1.1834067167137996,2119,1790.5931832838062,1.035543845645217,1837,1773.9470981602126,1.3872288171807377,334,240.76777807916903,1.195819350274312,277,231.64033926734695,0.6736036416372885,10,14.845525442370818,1.142885385381559,16,13.999654037625398
6,Bielefeld,1.151458279724811,165,143.2965509088472,102,1.1104359416983498,1.3271419917090175,0.6362289219965158,43,36,23,38.723530448981954,27.125959561901333,36.150509989116706,41,5.4583236696798565,34.65912865979641,0.882547670523735,1.2599287698620756,0.993098763775042,168,133.3408713402036,127,127.88254767052373,101,74.97887367635389,-80,-71.92523781861121,67,58.361997663849706,47,55.95730985191253,1.2437127934547605,1445,1161.8438015629863,1.063223694261966,1208,1136.1673056379072,0.9677908964659759,480,495.9749071341622,0.9555565905844736,462,483.4878483935882,0.9621678552618922,1282,1332.4078464989384,0.9204786497194557,1231,1337.347694457862,1.017878892056093,179,175.85589149847084,1.0085659484579244,180,178.4712246880991,0.4706057733253205,5,10.624604038896052,0.919796854766503,10,10.87196585656794
7,Kaiserslautern,0.9225747922851284,35,37.93730361232653,34,0.9428894130939874,0.8600374929332261,1.1218936015277752,9,8,17,9.545127853824866,9.30192005085193,15.152952095323208,-13,-11.303542607259864,4.238310000232673,-5.934767392972809,1.1122383558643374,1.1209566749740187,42,37.76168999976733,55,49.06523260702719,26,21.08564981868054,-33,-27.528224341922005,16,16.676040181086787,22,21.537008265105186,1.0424113689774936,370,354.9462438834822,1.309368299889027,538,410.8851574042209,0.7295981762995508,109,149.3973032564817,1.0729114094047834,191,178.02028977020632,1.1357409880395983,510,449.0460460358225,1.0286319807264643,452,439.41857580665345,1.134236201733732,70,61.71554028429158,1.114162587097262,63,56.54470965869934,1.2920975402711383,5,3.8696768968005175,0.30512493007572794,1,3.2773461013225416
8,Dresden,0.9181315330555392,115,125.25438443147718,102,0.9148419212536216,0.9301725906185925,1.1103048465194643,30,25,47,32.79255060687485,26.87673261085263,42.33071678227252,-43,-20.55315669836135,-5.353900137191985,-17.092943164446666,0.9555153581970418,1.1213065090444343,115,120.35390013719199,158,140.90705683555333,63,67.4062932611441,-87,-79.04794459374077,52,52.947606876047885,71,61.85911224181257,1.1340150420065627,1246,1098.7508576564271,1.1395299177352067,1366,1198.7399178732385,0.8520918884459552,397,465.91219255008804,0.9189114253682041,475,516.915980024592,1.0354712769393166,1394,1346.2469032655697,1.0605583429507783,1407,1326.659687655958,1.2250511341373096,223,182.03321786811642,1.2384166167102528,214,172.8012989428974,0.9778092472726883,11,11.249637933657581,0.5801334044096256,6,10.342448744364095
9,Greuther Furth,1.0857990573070213,190,174.98633722452706,136,1.0578075812456544,1.1937923535665798,0.820006499323368,49,43,44,46.322224257741205,36.01966445130344,53.65811129095537,-4,-15.243592450460994,21.58407804733389,-10.340485596872895,1.1289248823862548,1.0566107143701893,189,167.4159219526661,193,182.6595144031271,106,94.16107279036459,-104,-102.68210774933527,83,73.25484916230153,89,79.97740665379183,1.2478954004945277,1869,1497.7216834514616,1.09683836345613,1723,1570.8786794900564,0.9604609559628166,610,635.1117098648783,0.932741414350167,628,673.2841389245295,1.0879127784123968,1945,1787.8271480902727,1.094051885701933,1939,1772.3108248709398,1.217891804904379,293,240.5796630046332,1.1541748138060843,270,233.93336673985277,0.5439657312389431,8,14.706808794331769,0.7129015109720791,10,14.02718306258668
