,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Stevenage,0.8515909336125903,96,112.73018090123628,92,0.8906796139789529,0.7155178920726092,1.2748257729421708,26,18,48,29.191192424231673,25.15660362854127,37.652203947227065,-43,-17.902185428718383,-16.1645957266675,-8.933218844614117,0.8519245583326179,1.0703033378463407,93,109.1645957266675,136,127.06678115538588,46,61.206070253376794,-79,-71.36440964970754,47,47.958525473290706,57,55.70237150567834,0.8313926985468839,825,992.3108555583215,0.9796262988118329,1057,1078.9828746757942,0.8409134119759331,353,419.78162670820006,1.044430661926773,485,464.3678299383404,0.9214071949712784,1116,1211.190889425155,0.7608521597042697,909,1194.713044322977,0.8932020663513108,147,164.57642177260988,0.7484252492402463,117,156.32823734737832,0.888915695647242,9,10.124694663476351,0.5308010725012787,5,9.419724750062473
1,Charlton,1.0868661119203475,293,269.5824230661751,184,1.094458456137343,1.0537640269358173,0.8414647604647193,80,53,51,73.09551089069464,50.295890394091174,60.608598715214185,61,25.4009407852312,13.987874102031952,21.611185112736848,1.0566282892031376,0.9024815236571073,261,247.01212589796805,200,221.61118511273685,134,138.81506423571628,-107,-124.33347420228483,127,108.19706166225177,93,97.27771091045202,0.995993259139777,2120,2128.5284619606855,1.056681199912058,2117,2003.442476478418,0.8648917616928489,789,912.2528794304778,0.8754087207507292,743,848.7463996963857,0.9602296494062678,2299,2394.2189260886967,0.9701050909718281,2345,2417.2638839064693,1.0456192930332828,328,313.68969775652323,1.017195487407932,332,326.3876060303992,1.114495687105021,21,18.842603199792492,0.6445838925798164,13,20.16804972890361
2,Scunthorpe,1.03136765590128,380,368.442812633997,276,1.0517907902933366,0.9510013006018944,0.9863303553057143,103,71,102,97.92822008954278,74.65815236536866,103.41362754508856,-13,-9.659383584912348,21.182345482013943,-24.522961897101595,1.06090071969282,1.0686001037360133,369,347.81765451798606,382,357.4770381028984,211,195.31877922116024,-215,-200.8913185686862,158,152.49887529682582,167,156.58571953421222,0.9787975572751104,3013,3078.266774988627,1.0349471149916154,3239,3129.6285124928736,0.9856837837384421,1292,1310.7651980433118,0.9865332444483976,1318,1335.9914705529625,0.8786560605435458,3173,3611.1968521985145,0.8787712672298189,3166,3602.7577574085817,0.8881687188616089,429,483.01633562355306,0.9046113637830501,433,478.65859012561,0.5440860384228507,16,29.407113710139313,0.6261507676564044,18,28.747070082452357
3,Carlisle,0.930534842144684,100,107.4650786525321,92,0.9056795015881455,1.0140207714193412,1.0568141019863235,25,25,42,27.603583780091625,24.654327312257223,39.742088907651166,-54,-25.134902958653512,-6.534296032419789,-22.3308010089267,0.9380836725303737,1.170895675349263,99,105.53429603241979,153,130.6691989910733,52,59.26361708396064,-84,-73.37734522438758,47,46.27067894845915,69,57.29185376668572,0.9800202334771774,956,975.4900637184276,0.9660551952726433,1061,1098.2809317645263,1.0094426322062793,415,411.11796427000405,1.0000901215065574,474,473.95728625531876,0.7644487651769555,928,1213.9466269988486,0.9091977347378097,1084,1192.2598996714382,0.79179434255297,131,165.44700177778333,0.8759125438331855,135,154.12497623245625,0.7816701818385191,8,10.234495553078006,0.8758991974476532,8,9.1334710926917
4,Lincoln,1.0025257113218153,119,118.70019756710306,81,1.0539474131551818,0.7755058588387403,1.1186036632070284,34,17,30,32.259674036501366,21.921175457598963,26.81915050589967,17,11.425361367281056,3.332708442636772,2.241930190082172,1.030389265525843,0.9771794977384463,113,109.66729155736323,96,98.24193019008217,72,61.618169080168485,-46,-55.20132495227536,41,48.04912247719474,50,43.040605237806815,0.9438945552064081,888,940.7830515621681,1.114903600443439,985,883.4844551656561,0.8013371808353488,323,403.07626767460204,0.8282116709681887,309,373.0930278231597,0.9388481498917244,990,1054.48362455012,1.0540983889374542,1122,1064.4167677089342,0.9851073749141772,137,139.07113426283655,1.1743156538567399,169,143.91360572003163,0.35899277465558727,3,8.356714150801945,1.1201059133714035,10,8.927727173496503
5,Southend,0.964757029158599,263,272.6074981069298,219,0.9946033287780847,0.8554060887332796,1.099110774644073,71,50,98,71.38524268486687,58.45177005232924,89.1629872628039,-52,-37.97164716437288,17.16793854151365,-31.196291377140767,1.0653190423049863,1.1037097963983349,280,262.83206145848635,332,300.80370862285923,148,147.6862573193897,-195,-168.98590573648738,132,115.14580413909663,137,131.81780288637185,0.9910061544682375,2358,2379.399955659484,1.0206221915460747,2620,2567.061564702146,0.9168414673640097,922,1005.6264172374549,0.9032566437710274,995,1101.5695338214741,0.9189118306186047,2647,2880.5810435785324,0.8541296919753028,2431,2846.17198399689,0.9191232018385165,358,389.50164600773303,0.9311992668058748,348,373.71163445358127,0.8368033136934647,20,23.9004789688564,0.807437535459505,18,22.292746137639455
6,Accrington,1.0056777257727283,162,161.0854012656239,127,0.9915797061071593,1.0583430789121084,0.9678456069238293,42,36,49,42.356655487522744,34.01543480305565,50.62790970942162,-27,-16.389497162486236,6.8034958710722435,-17.413998708586007,1.0441222445963085,1.1020833982668805,161,154.19650412892776,188,170.586001291414,88,86.49176073668681,-107,-95.89070095250773,73,67.70474339224094,81,74.69530033890626,1.2012117588843214,1666,1386.9328098714013,1.115125142758785,1639,1469.7901940809666,0.9607667915155096,566,589.1127847031369,0.9327417150559912,589,631.4717037874125,0.9254132783991793,1541,1665.2019545966423,1.0225065325827238,1688,1650.8451987454032,0.9536914111738876,214,224.39124175040007,0.8957119656697247,194,216.58748284661579,1.2366815810799705,17,13.74646494302456,0.6959049549298238,9,12.932800573186856
7,Oxford,1.01178628694061,319,315.28397263079796,219,1.041095428352586,0.884002959307424,1.0443194799630482,89,52,78,85.48688004598415,58.82333249284553,74.68978746117033,47,21.29954495280805,30.405195694996223,-4.704740647804272,1.1042720763405403,1.0174059310513988,322,291.5948043050038,275,270.2952593521957,185,163.92307353876257,-151,-151.68384551772314,137,127.67173076624121,124,118.61141383447259,1.140841453970126,2875,2520.069716957607,0.9807119460524495,2368,2414.572402764794,1.0025997378759743,1080,1077.1995634947996,0.8383007009826122,858,1023.4990845102448,0.9874376386681518,2817,2852.8383866342665,0.9522004867982897,2735,2872.2942677715428,0.9888344693049177,373,377.21176959192496,1.0540711718408053,408,387.07063706853717,0.48560198624312517,11,22.65229614298294,1.1342605555400558,27,23.804054428344713
8,Hull,1.1119635681651403,89,80.03859348275195,46,1.1893710460450375,0.6702765634264424,0.9680069906354224,27,8,11,22.701073890929074,11.935371809964735,11.363554299106191,42,23.79184517550641,7.723434143618249,10.484720680875341,1.1068594509452099,0.7837520659367022,80,72.27656585638175,38,48.48472068087534,41,40.80226813290285,-22,-27.187414268653427,39,31.4742977234789,16,21.297306412221914,0.9841303873573337,573,582.2399220276754,0.8957411782943404,418,466.65265606740394,0.7617650043278317,192,252.04623329922788,0.6466967854390492,125,193.28996651055905,1.0367978306401435,611,589.3145046636084,0.9883233420671665,603,610.1242117167562,0.8247305135941044,62,75.17607142945317,0.8543009308291002,73,85.44998298100109,0.23568348763408525,1,4.242978623740363,0.9600046842398747,5,5.208307919829544
9,Bristol Rvs,0.9117009719872808,261,286.2780758378321,218,0.9100336027038611,0.9181495562948025,1.13957139020302,69,54,95,75.82137604038964,58.813947716663165,83.36467624294718,-52,-16.558788455806166,-18.44435350126406,-16.996858042929773,0.931799820323563,1.0592218535554296,252,270.44435350126406,304,287.0031419570702,149,152.04954497173432,-167,-161.50129991787122,103,118.39480852952974,137,125.501842039199,1.107981049938487,2671,2410.691049407649,1.0150379325029506,2529,2491.5325024000012,0.8914000233419455,913,1024.2315190626473,0.8597562593747612,916,1065.4182391950724,0.876127900254116,2507,2861.4543598861064,0.9324959233483012,2654,2846.1250430675514,0.9191802897442037,353,384.0378258091625,0.9499054470463439,358,376.87961587458284,0.596517929797305,14,23.469537629417374,1.093520468124483,25,22.86194061175458
10,Portsmouth,0.9637869366306805,327,339.2866074146688,218,0.9896479068671143,0.8367010345781466,1.1551324372396918,93,48,77,93.97281533632106,57.36816140570563,66.6590232579733,45,56.39096563945816,-5.469537434262747,-5.9214282051954115,0.9824957738947163,1.0231234818426753,307,312.46953743426275,262,256.0785717948046,178,175.6939530767536,-153,-143.80401964847692,129,136.77558435750916,109,112.27455214632766,0.9779684754700528,2561,2618.6938170671356,0.9567875249517637,2237,2338.032156212298,0.8518042817323702,957,1123.4975222872633,0.8588458279505127,843,981.5498574542464,0.9620150465731726,2708,2814.9247869316196,0.9657165032875861,2766,2864.194606371242,0.9459337604304892,347,366.8332969129701,0.8972988265132927,352,392.2884880701283,0.697875209827151,15,21.493814064143624,1.0807306366536078,26,24.057798602348157
11,Swindon,0.9682280322825272,365,376.9773109538453,276,1.006878989274703,0.8074681162745714,1.1315671929210438,102,59,115,101.30313680840123,73.06790052864162,101.62896266295715,-7,-0.4386611146903192,16.750828099375724,-23.312166984685405,1.046888360889008,1.0651746154968802,374,357.2491719006243,381,357.6878330153146,225,200.6890982175453,-201,-200.88921564726448,149,156.56007368307897,180,156.79861736805012,0.9904087384853851,3090,3119.924007057413,0.9114732681349486,2846,3122.417408711798,0.9538964773103241,1267,1328.2363758932472,0.8950326012907476,1190,1329.5605079456022,0.8073064768030686,2908,3602.101659726145,0.9367906773035041,3373,3600.5909129123474,0.9968198228154502,478,479.5249743829545,1.038965675685174,499,480.28535655994693,0.8947503877729726,26,29.05838360653167,0.6597271053208319,19,28.799786831193043
12,Blackpool,1.0008598730033276,293,292.7482736627067,219,0.9782005957195902,1.0893748955136429,0.9554248023794829,76,65,78,77.69367584988271,59.66724611305858,81.63907803705871,4,-8.94915837587996,-22.055511213632485,35.004669589512446,0.9201047966161984,0.8771786103016168,254,276.0555112136325,250,285.00466958951245,136,155.2306826459639,-144,-160.28421169870202,118,120.82482856766859,106,124.72045789081042,0.9888516499386064,2416,2443.238073324749,1.0180856037238313,2533,2488.002964323527,0.8176766730911348,849,1038.3077173896265,0.8038374680915596,853,1061.159791450329,0.9048696925091899,2599,2872.2367668133656,0.8950371323562645,2562,2862.4510731250984,0.7631960611881735,293,383.9118345865755,0.8236942264124711,313,379.99537930870827,0.6435377240098127,15,23.308656882671386,0.6075635535932329,14,23.042856861972133
13,Port Vale,1.045580823788282,229,219.0170236388821,184,1.1148271356545492,0.8083418684960809,1.0383952001136725,63,40,81,56.51100335211231,49.48401358254516,78.00498306534254,-51,-44.65319047338858,1.220567066014155,-7.567376592625578,1.0057094690974835,1.0292818162538904,215,213.77943293398585,266,258.4326234073744,127,119.93499634940082,-155,-145.09487291119245,88,93.84443658458503,111,113.33775049618195,0.8592334888040993,1686,1962.2140221124448,1.0046342697464041,2191,2180.893152841646,0.8570544747761691,709,827.251966901129,0.9628966743082233,904,938.8338584194024,0.793801376544748,1922,2421.260603459855,0.8492558003311889,2023,2382.085585062922,0.9490747319686417,314,330.8485511448374,1.0262563447391526,318,309.86410133311017,0.7368394217033388,15,20.35721699759869,1.081669113597613,20,18.48994276399401
14,Bradford,0.9982548443569518,387,387.67655592925746,276,0.9884882500361694,1.0389195304940482,0.9821915065199218,103,78,95,104.19951880685599,75.07799950868943,96.72248168445459,-1,15.128455370149823,-26.65022872277575,10.521773352625928,0.9263093823640173,0.969636039747728,335,361.65022872277575,336,346.5217733526259,181,202.98459375215612,-197,-194.33288715203747,154,158.66563497061964,139,152.18888620058846,0.995346327767397,3134,3148.6527980966102,0.988817962261082,3037,3071.3438832112633,0.8868858708386755,1193,1345.1561685968122,0.8942322703590223,1168,1306.1483450279238,0.8616741793913008,3098,3595.3264866175664,0.908338661170034,3278,3608.7861720843166,0.8067400947387918,384,475.9897301550785,0.9850250186540964,476,483.2364569281597,0.7693456713692877,22,28.595728576524284,0.9178015167840315,27,29.418125276811224
15,Bolton,1.0849651065866766,112,103.22912628255335,78,1.0802759264899235,1.1045796903793852,0.8577393399499683,30,22,26,27.77068271573654,19.91707813534373,30.31223914891973,3,-5.359611397398808,-5.60264229014318,13.962253687541988,0.944309193450557,0.868233703968647,95,100.60264229014318,92,105.96225368754199,48,56.571278858029075,-53,-59.51086191290883,47,44.031363432114105,39,46.45139177463316,0.9835059395879894,864,878.4898649030499,1.0278155064617303,934,908.7233984388,0.8268796591451181,307,371.2753078451543,0.826109195490931,319,386.14749931506117,0.9272536079141923,948,1022.3740214206075,0.7975951359578343,811,1016.806602043865,0.8618000452324458,118,136.922712702078,0.7674002815575428,104,135.5224939309612,0.6121744861692862,5,8.167605989736295,0.874132970691609,7,8.007934987810424
