,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Alfreton Town,1.0720246923605767,175,163.24250854208734,138,1.1470851017532584,0.7979117913034173,1.013433279600958,49,28,61,42.71697010544912,35.09159822573997,60.19143166881091,-51,-36.39063006370651,26.209271552614837,-40.81864148890833,1.1630023808318724,1.2070106514993517,187,160.79072844738516,238,197.18135851109167,102,90.24229920050503,-132,-110.80004461008957,85,70.54842924688013,106,86.3813139010021,0.8607890216946246,1267,1471.9053892040502,0.9486808993938536,1566,1650.7131122810356,1.001118731612763,622,621.3049265375171,1.132969492257881,807,712.2874936303356,0.8445922759914996,1537,1819.8129957980686,0.7790761598951839,1393,1788.0151796551095,0.8318654152790524,206,247.63621159908,0.8579094711148685,199,231.95920630342965,0.7839003966821653,12,15.308067263123782,0.5797080050037575,8,13.800050941073595
1,Dover Athletic,1.0930499476324538,148,135.4009488043689,92,1.128134372732725,0.9277953378883755,0.9015313240718361,42,22,28,37.229607585009326,23.71212604934091,31.058266365649757,33,12.80388404512341,18.54055478070505,1.6555611741715381,1.1477812591016752,0.9853042214967803,144,125.45944521929495,111,112.65556117417154,75,70.68316012469248,-59,-63.141929957435536,69,54.77628509460247,52,49.513631216736,0.893217434875835,957,1071.407658016697,0.8086857646132004,816,1009.0445952023133,0.8636998232881231,396,458.49262593619596,0.7858317077469663,336,427.57246454630234,0.8148966262944606,972,1192.78932889921,0.7817946454187739,941,1203.640886406873,0.7324496693140756,115,157.0073751384108,0.7858639714006124,128,162.8780611635255,0.6413574204366312,6,9.355157995857047,0.8001926571105538,8,9.997592365927858
2,Macclesfield,1.0366479717452028,268,258.5255624904378,184,1.0687461201652413,0.8958616568575372,1.0026460099550287,75,43,66,70.175693352135,47.99848243403278,65.82582421383223,20,8.961617408251698,6.197772173541466,4.840610418206836,1.025738018412388,0.9791209555156231,247,240.80222782645853,227,231.84061041820684,137,135.22224639902953,-115,-130.1929423121726,110,105.57998142742902,112,101.64766810603425,0.9244178319071598,1934,2092.1275350238307,0.8594132748871877,1762,2050.235959214491,1.0191104381120633,914,896.8606009896396,0.8984618377388935,786,874.828475718101,0.7401058959887027,1773,2395.603128700199,0.765591355828901,1839,2402.0647385822767,0.8420006490846631,267,317.1018933183188,0.6796306744883668,218,320.7624496409211,0.6806314257818327,13,19.099911505066146,0.46098934379451895,9,19.52322786014692
3,Dartford,0.98819320137021,149,150.78023183462446,138,1.0092437401454395,0.9181723712564569,1.0386733715710692,39,32,67,38.642796034959616,34.8518437297456,64.50536023529477,-51,-54.45111180745141,6.447894214746498,-2.996782407295086,1.0419915714068033,1.0144073848567243,160,153.5521057852535,211,208.0032175927049,90,86.07988021792553,-119,-116.78037199577885,70,67.47222556732797,92,91.22284559692606,0.7398872276442393,1065,1439.4085479633188,0.918946521448931,1564,1701.9488767790247,0.9163258057616894,549,599.1318770550695,1.0346249932415241,759,733.5991349116946,0.6965150593430066,1268,1820.4918658844952,0.7358083494924663,1306,1774.9187011819463,0.72910240642882,184,252.36509765650231,0.847364902942001,193,227.7649207914033,0.7693087558105434,12,15.598418592489313,1.2182362719951092,16,13.133741268265435
4,Chester,0.9523714343908033,168,176.40176293975404,138,0.9608187612156938,0.9193072116281057,1.085612328241935,45,33,60,46.83505549273717,35.89659646154254,55.26834804572029,-37,-17.357772868088603,11.224570819370513,-30.86679795128191,1.0665059533479697,1.1658317678497945,180,168.7754291806295,217,186.1332020487181,100,94.61938643990418,-123,-104.50725368050232,80,74.15604274072531,94,81.62594836821577,0.8533386534270087,1293,1515.2249283532524,0.8441644315952928,1350,1599.21450072089,0.9097793466916196,585,643.0130581962887,0.9211513830102381,631,685.0122701199774,0.7793902127445357,1410,1809.1066284176732,0.7521815238102697,1351,1796.108993951806,0.9081374682270618,221,243.3552272999525,0.8917700299911504,210,235.48672072113027,1.2756458311856036,19,14.894416252151373,0.858342268362688,12,13.980436991516608
5,Lincoln,0.9864455027401936,240,243.29777907985488,184,0.9822452995262605,1.0036117784947642,1.0138574417787423,64,48,72,65.15684018123311,47.82725853615558,71.01590128261131,-14,-12.43583371290859,26.571338369652466,-28.135504656743876,1.115312644623515,1.1158485706895038,257,230.42866163034753,271,242.86449534325612,122,129.2483414186562,-154,-136.25951618037567,135,101.18032021169134,117,106.60497916288047,0.8507834621763374,1738,2042.8229711401864,0.8676693065904557,1826,2104.488410654223,0.8917952196925368,776,870.1549221889086,0.9498948824499368,856,901.1523441333147,0.8350111733841763,2012,2409.548595434553,0.7122831018620158,1708,2397.922954419429,0.9431616479635105,304,322.32014592238943,0.9108796281010977,288,316.1778912548422,1.420838488604802,28,19.70667336545388,0.8353838562770027,16,19.1528719160388
6,Eastleigh,1.0712866745042948,157,146.55274235782588,92,1.0945841960602332,0.9475310144906323,0.9034970802473083,45,22,25,41.111501666084465,23.21823735957247,27.670260974343066,37,28.526820265428867,16.379126919322857,-7.905947184751724,1.1216685536536892,1.0745182880186424,151,134.62087308067714,114,106.09405281524828,95,75.67038141567451,-53,-59.54476225624134,56,58.95049166500263,61,46.549290559006934,0.7564248343330893,844,1115.775106384658,0.7053721133066528,689,976.7893952740726,0.7821128506432686,375,479.47044942628384,0.7464289634474621,305,408.61222559120006,0.7134384078617805,849,1190.0116262937204,0.7112771474994153,862,1211.9045340209086,0.9069783002746962,140,154.35870952766814,0.6677478201576165,111,166.2304191031269,1.328487907222061,12,9.032825917920954,1.1708142672365132,12,10.249277221675598
7,Telford United,0.8020709152029116,74,92.26116867893052,92,0.6909466456494021,1.1407881521424443,1.085726737671786,16,26,50,23.156636045265163,22.791260543135017,46.052103411599816,-53,-48.00856354025041,12.327954898163512,-17.319391357913105,1.1262178434505996,1.1188860447478222,110,97.67204510183649,163,145.6806086420869,61,54.710103774211504,-97,-82.0238967632294,49,42.961941327624984,66,63.6567118788575,0.8677537751945821,812,935.7493141622115,0.9167264066565788,1075,1172.6508500182358,0.9350049884203587,361,386.09419679128166,1.0762725655581011,545,506.3773038917798,0.8003138000725945,974,1217.0226227657838,0.7676509908222288,904,1177.6184891414368,0.8759572669841518,149,170.0996219975372,0.6658366243168101,100,150.18699234606723,1.2427662728254205,13,10.460534924595748,1.065986739201352,9,8.44288176299725
8,Bristol Rvs,1.1399952165791531,91,79.82489634743271,46,1.1013197081629287,1.3646311210815785,0.43195868595458886,25,16,5,22.700038703294968,11.724780237547808,11.575181059157222,39,24.185295334751586,-0.0005103172153724245,14.815214982463786,0.9999930094020829,0.6965041537195739,73,73.00051031721537,34,48.815214982463786,45,41.161415848268554,-15,-27.478637097606423,28,31.83909446894682,19,21.336577884857363,0.8541090035180244,498,583.0637517562366,0.7730384419362735,361,466.98841922502936,0.7989071025922838,202,252.84541762684663,0.6631654346872422,128,193.01367849542177,0.7959643956165541,468,587.9659976970291,0.752714830586627,458,608.4641638362014,0.7978156708678089,60,75.20534152298129,0.8926324225350446,76,85.14142897046321,1.1540223537868413,5,4.332671705702112,1.1355734639693753,6,5.283674011743032
9,Boreham Wood,0.9329171240082538,50,53.59532879531284,46,0.8644639470044028,1.1714477247428356,0.9916925421859611,12,14,20,13.881434895675161,11.951024108287356,20.16754099603748,-5,-13.162651269306984,-8.984382172441109,17.147033441748093,0.8304333880274218,0.7407739614377642,44,52.98438217244111,49,66.14703344174809,23,29.75822597070892,-23,-37.15186334369668,21,23.226156201732188,26,28.99517009805141,0.8029312793153258,393,489.45658255475894,0.7860803907160452,435,553.3785159094937,0.6315022178784583,130,205.8583427255997,0.7202018279235244,172,238.82194314322686,0.732996079345413,444,605.7331171491463,0.787709925182977,468,594.1273367747503,0.5432017447416644,45,82.8421492302111,0.5718453696100921,44,76.9438773807,0.19595904186769708,1,5.103107212961145,0.6565869325658684,3,4.56908270817443
