,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Dunkerque,0.9862550321898825,41,41.57139752074423,38,0.9904840515469109,0.9749027791236016,1.022817868542628,10,11,17,10.096073717070228,11.283176369533543,16.62074991339623,-13,-13.725157589881796,-8.114443183952922,8.839600773834718,0.807323982689036,0.8416965620933169,34,42.11444318395292,47,55.83960077383472,20,23.58869940257943,-27,-31.35086602558247,14,18.525743781373492,20,24.48873474825225,0.906441103287453,358,394.95119837529046,0.9430692111761382,435,461.2598893537142,0.6836491272156437,113,165.28946721577012,0.7535982246604238,150,199.04505489989836,1.1361062313195267,570,501.7136463884856,1.2305838129635598,602,489.1986987462726,0.9803149703322289,68,69.36546116087035,1.2085383584474723,76,62.88588150204192,0.45943722485827315,2,4.353151838353887,2.717129297552818,10,3.680354854296591
1,Clermont,0.9883821622386061,164,165.927721346724,102,0.9694908741226776,1.0747710232403844,0.9686467524652981,44,32,26,45.3846458738634,29.773783725133836,26.84157040100277,49,40.420382124347825,-16.758608441121225,25.3382263167734,0.8902935251103665,0.7744469790245379,136,152.75860844112123,87,112.3382263167734,72,86.07924711807637,-53,-63.1965933294253,64,66.67936132304486,34,49.1416329873481,1.0937005285009274,1374,1256.2853945798702,0.9278096861557625,982,1058.4067127696917,0.8964129550368031,485,541.0452819483046,0.7490955713900103,330,440.5312387412157,0.9123815904721202,1200,1315.2391636695004,1.019743474705323,1377,1350.3396041812518,0.9188474931175641,156,169.77790239238342,1.0618406792036432,199,187.41041278362547,1.2139375448483545,12,9.88518729890593,1.6263979381423772,19,11.682257800757684
2,Guingamp,0.8791076200330696,86,97.82647543967929,66,0.7669729991325508,1.3267429169829248,0.9839324273333006,20,26,20,26.07653727395889,19.59686361780262,20.32659910823849,5,11.797971941721755,-9.192153180694874,2.3941812389731183,0.8980825619909648,0.9694597073260475,81,90.19215318069487,76,78.39418123897312,53,50.73014349744808,-45,-44.0183042960997,28,39.46200968324679,31,34.37587694287342,1.0343442360185588,799,772.4701044166343,1.044805299825516,748,715.9228615368979,0.7986673803655153,263,329.29853712021685,0.7883909031177615,237,300.61229659393905,1.0677653265496796,918,859.73947380964,1.0605276467707503,922,869.3785615183541,0.9931280065403972,112,112.77498898672354,1.1130309934062947,132,118.5950802645937,0.598928719158797,4,6.678591077779759,0.8173438935992233,6,7.340851319728635
3,Beziers,0.9586098124893987,38,39.64073756069573,38,0.9502472421012299,0.9797739281427146,1.04036013574997,9,11,18,9.471219279835836,11.227079721188225,17.30170099897594,-17,-16.706436184548636,-8.040700090000385,7.747136274549021,0.8040798506758535,0.8658438015399315,33,41.040700090000385,50,57.74713627454902,17,22.94596967280009,-33,-32.5160835480421,16,18.094730417200296,17,25.231052726506924,0.9045915449691018,353,390.23137233949876,1.0243338213727562,485,473.47845973691415,0.7889901080737607,128,162.2327056957647,0.9062506858911056,185,204.13777653375422,1.034639208060573,521,503.55717813614694,1.1994494712217132,587,489.3911866100573,1.0987342889759848,77,70.08063803284381,1.385674407955211,87,62.7853119755475,1.348802629178505,6,4.448389905389146,1.6438050925827776,6,3.6500677769361856
4,Orleans,0.9005243295136565,71,78.84295590141886,66,0.9595853962960796,0.7200793398495063,1.2332999958020685,19,14,33,19.800217962193287,19.442302014839008,26.757480022967705,-24,-15.549759900370375,-4.891768625271297,-3.5584714743583277,0.936381114484294,1.0384942950545357,72,76.8917686252713,96,92.44152852564167,42,43.00588598439056,-55,-51.7742251626604,30,33.88588264088074,41,40.66730336298127,1.022256158953577,723,707.2591284165919,0.9124578120265044,713,781.4059900659706,0.8072449525842988,241,298.5463076956593,0.8036723326061209,270,335.9578139569062,1.1270813695397903,981,870.3896865942888,0.9314239199404981,798,856.7527448199725,1.1878612630083256,141,118.70073079318165,0.8619688095485784,96,111.37293941097029,1.4971716733646918,11,7.347186829469583,0.5988180506727976,4,6.679825358480476
5,Caen,0.8767607688337005,75,85.54214862940066,66,0.779877838282924,1.1912271327284933,1.039309903705384,17,24,25,21.798285789771015,20.147291260087613,24.054422950141365,-16,-4.438877409712418,-14.529004917578575,2.9678823272909938,0.8217934226933518,0.9654768473184918,67,81.52900491757858,83,85.967882327291,37,45.77613370034541,-44,-48.27083328702277,30,35.752871217233164,39,37.697049040268226,0.8998014911428052,655,727.9383357857168,1.0112295344581437,759,750.5714322383808,0.7654717381453126,237,309.61299835084094,0.7930867912212747,255,321.52849199181014,1.2046535248752983,1043,865.8091131289953,1.0334966219137045,890,861.1542419480822,1.2306074315747926,143,116.2027762314134,1.1396513989137576,130,114.06996922384128,1.533435172786757,11,7.173436605089327,1.4453698956986871,10,6.918644168360814
6,Paris FC,1.0787669240720683,157,145.5365348126964,104,1.0830751128614622,1.0634636278459173,0.848602844193861,41,34,29,37.855176906132435,31.971004094299104,34.17381899956846,12,7.767117192934222,-25.531974693411144,29.76485750047692,0.8129963713573735,0.768843315806359,111,136.53197469341114,99,128.76485750047692,60,76.66908214513435,-50,-72.29088097788001,51,59.86289254827678,49,56.473976522596914,0.8915059594283508,1057,1185.6342504740708,0.851100382917367,979,1150.2755957460904,0.7180374223392001,364,506.93736659876595,0.718553443017178,351,488.48141138418964,1.08651434130634,1477,1359.3930092300213,1.1673714345966628,1595,1366.3174827908022,1.1021266668659306,198,179.65267146928215,1.1876252239251117,218,183.55959069268343,1.9367524265694689,21,10.842893346568246,1.515985247813509,17,11.213829438326618
7,Valenciennes,1.0926649403628244,129,118.05997907937356,103,1.126051595313918,0.9952836697564246,0.9184444295754782,33,30,40,29.30593956558477,30.14216038261925,43.55190005179598,-17,-29.8765753020579,5.3242383206282256,7.552336981429676,1.0452449871124272,0.9488158768886176,123,117.67576167937177,140,147.55233698142968,63,66.04502343995779,-78,-83.08150847252517,60,51.630738239413986,62,64.4708285089045,0.9146175682749743,998,1091.1664444433209,1.1179723075082193,1381,1235.272099966436,0.7802284047097034,357,457.5583224669033,0.8919457527357137,473,530.3013087390656,1.1018973577247757,1499,1360.3807918145583,1.1813912904204364,1576,1334.0203307569072,1.1144683967093256,208,186.63606847368533,1.2386704079043078,215,173.5732109429788,1.6383085909714339,19,11.597326721416973,1.9530182377279988,20,10.240559772379067
8,Brest,1.1866423828762382,74,62.36082670554494,38,1.223340858957507,1.0126576771246525,0.6017216966724172,21,11,6,17.166106932695396,10.862505907458756,9.97138715984585,29,14.983215969441837,7.190306738564701,6.826477291993463,1.1265683077265578,0.8367905275804758,64,56.8096932614353,35,41.82647729199346,36,32.01247171106782,-11,-23.502975603120333,28,24.79722155036748,24,18.32350168887313,0.9075733685801783,425,468.28170009536143,1.0722225228652944,423,394.5076614037349,0.8121072883917325,164,201.94376081118492,0.8670239564120712,143,164.93200556045105,1.0276759658739973,504,490.42696018619847,0.9977857684771856,501,502.1117917572858,1.0826288709808578,68,62.810074461059074,0.8201463283604293,57,69.49979293810877,0.5491057776944951,2,3.642285478031768,2.109822864496105,9,4.265760956263737
9,Amiens,0.9150145145106113,47,51.365305418283555,37,0.8236064464327322,1.2391985192787534,0.9719368132468037,11,14,12,13.355893518857275,11.297624861711725,12.346481619430998,-3,2.0295071884753852,-13.893374274764739,8.863867086289353,0.7099103062762226,0.8067352875061174,34,47.89337427476474,37,45.86386708628935,22,26.900074167007325,-14,-25.78474572694946,12,20.993300107757413,23,20.079121359339894,0.8542981361116099,359,420.2280033455421,0.8513078035359617,349,409.9574778363432,0.7165923441190464,128,178.62317543645926,0.6432512461561739,112,174.11548080049533,1.2267525533598032,594,484.2052281637122,1.26742175504226,616,486.02605845238986,1.214814621046741,78,64.20732731450957,1.1923708565371558,78,65.41588933708513,1.5244320285163875,6,3.9358921144154513,1.743999019886102,7,4.013763723592666
