,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Volos NFC,1.1085161277087758,72,64.9516937104189,63,1.1149471172327303,1.0896607133384413,0.8900072008430029,18,18,27,16.144263455898724,16.51890334272272,30.336833201378553,-28,-33.48124810203723,-6.33741363337387,11.818661735411098,0.9058856987308923,0.8827730746275125,61,67.33741363337387,89,100.8186617354111,34,37.80278133432614,-51,-56.42481891455925,27,29.53463229904773,38,44.393842820851845,0.7003047387383998,449,641.1494527494906,0.6793353288600319,548,806.6708394506422,0.7169871074629506,191,266.3925167020799,0.7735426262441457,271,350.3362204043128,1.3501761655849351,1121,830.2620269662001,1.2333376265000406,989,801.8891005592518,1.4754858579249817,171,115.89402845275808,1.7062510030741964,175,102.56404226851618,1.8215291110433829,13,7.1368609599401465,2.3720612903354046,14,5.902039739462394
1,Panetolikos,0.8273006476226661,57,68.89877357620279,65,0.6956521909535172,1.224577276873278,1.0457097516472524,12,21,32,17.249999577449515,17.14877484385424,30.601225578696244,-40,-32.35816045761561,-21.87404630400016,14.232206761615771,0.6913673277496282,0.8621340451000835,49,70.87404630400016,89,103.23220676161577,33,39.68903475067546,-50,-57.92736258240073,16,31.1850115533247,39,45.30484417921504,0.5590836841979894,374,668.9517340083111,0.6493323944157459,536,825.4632059167175,0.6402904267152147,179,279.5606376910813,0.7726218100816681,277,358.51951936319324,1.257704554355541,1077,856.3219368732146,1.5003950189258362,1241,827.1155158116011,1.2993595541176544,154,118.51992738420702,1.5999784726035884,170,106.25142957290232,1.3960133210075012,10,7.1632554285248595,0.9973822737963565,6,6.015747580074867
2,Olympiakos,1.160121990357118,166,143.08840051286379,65,1.1972824225709142,0.7816574355079671,0.3418810772682785,52,10,3,43.43169081889705,12.7933280561726,8.774981124930354,108,85.0641588948867,0.2439365394797619,22.691904565633536,1.0017580243586917,0.5773682317807386,139,138.75606346052024,31,53.691904565633536,70,77.52529117984638,-19,-29.876504895612534,69,61.23077228067386,12,23.815399670021,0.6595642000874685,649,983.9830601993444,0.7033328261243462,405,575.8297991460415,0.7847530777946617,340,433.2573004434451,0.7612256682495674,173,227.26506371995072,1.3645918436997537,1065,780.4531478896397,1.138681184163708,974,855.3755112018855,1.410814671297739,136,96.39820365271669,1.1011944284175916,139,126.2265739936062,1.0603139102988848,5,4.715584650389603,0.9236557330050359,7,7.578581228772425
3,PAOK,0.9417065830169478,128,135.9234418749905,67,0.9142737351349743,1.1711536991129368,1.0819701773288606,37,17,13,40.469280236446565,14.515601165650807,12.015118597902632,51,69.30071530889475,-18.776832742059895,0.4761174331651503,0.856420802153125,0.9922552455645435,112,130.7768327420599,61,61.47611743316515,75,72.87701926101359,-39,-34.28653805250764,37,57.89981348104631,22,27.189579380657516,0.7172623381885607,692,964.7794999910905,0.576976936114095,363,629.1412659313269,0.8326807813802805,351,421.5300843357646,0.7018278755643707,176,250.7737383022449,1.3908425004948146,1144,822.5230388005857,1.200049214639393,1061,884.130406534055,1.5865798637830455,164,103.36699950858946,1.4330403502313824,183,127.70052146155713,0.7548330588610831,4,5.299184969502172,1.1758112099258893,9,7.654290011886572
4,Atromitos,0.9131630594397346,79,86.51247899632509,66,0.8337732229463919,1.2122169814997295,0.9974679100146581,19,22,25,22.787970969921183,18.14856608656155,25.06346294351727,-12,-6.7144464979968745,-12.504762988673463,7.219209486670337,0.8502509013723013,0.9199814592951299,71,83.50476298867346,83,90.21920948667034,38,46.82879785182664,-51,-50.72110168618669,33,36.67596513684682,32,39.498107800483645,0.6562356492073004,485,739.0637808016916,0.6783375925507408,522,769.5283377073836,0.6884987259880756,215,312.27363520745814,0.8080589177363239,265,327.9463838384018,1.241882988613077,1068,859.9844025504626,1.3588415340006081,1161,854.4042634477497,1.4951726147185453,172,115.03688491002603,1.4752155697100429,169,114.55952843096507,1.0336156352057924,7,6.772343375597549,1.321579407243412,9,6.8100334725799465
5,Lamia,1.0507136536955985,67,63.76618383547771,64,0.8304096804525506,1.6665264590315598,0.7291480357614283,13,28,23,15.654923474537718,16.80141341186456,31.543663113597724,-29,-36.87287092678527,-25.62984337502148,33.50271430180675,0.6210276100611576,0.6794081902499682,42,67.62984337502148,71,104.50271430180675,19,37.81036360759711,-35,-58.49442968198233,23,29.819479767424365,36,46.008284619824416,0.5898275179104415,381,645.9515509716358,0.6400053729894446,528,824.9930739389404,0.6781852835665548,182,268.3632399731056,0.6960285483338092,250,359.18066952636286,1.4114657095009608,1193,845.2206751957142,1.3439582984645222,1091,811.7811402678728,1.3075644958855115,154,117.77621714614375,1.6206093472637628,169,104.2817630821022,1.2430505388002515,9,7.240252684083531,0.8553811533885075,5,5.84534739886774
6,Aris,0.9984681600019172,101,101.15495320332104,69,0.973483376499053,1.114292930756705,0.9435601844145662,27,20,22,27.73545049849782,17.94860170782758,23.315947793674596,14,9.274657440204535,-11.550909492356737,16.276252052152202,0.8815909605305959,0.8156213967655033,86,97.55090949235674,72,88.2762520521522,43,54.89372213903317,-32,-49.59426056552927,43,42.657187353323565,40,38.681991486622934,0.6828328425144334,561,821.5773540332337,0.6037720641904762,467,773.470698128677,0.8825395007827028,308,348.9928776296611,0.6688754496051711,218,325.9201696349936,1.244367912843862,1111,892.8227644997171,1.4569944156242929,1311,899.7975461959905,1.3582728252134169,160,117.79665839582722,1.7168821527880727,210,122.31474341962121,1.0283657659883123,7,6.806916596715606,1.249583398054834,9,7.202400427222276
7,AEK,0.9978344430935154,129,129.2799631169981,71,0.9909348559712989,1.042600237004139,0.9757885957025625,37,18,16,37.33847868711125,17.26452705566433,16.39699425722442,38,48.6124552368278,-10.663441678677628,0.05098644184982959,0.9130674834103303,0.9993114684314183,112,122.66344167867763,74,74.05098644184983,64,68.65700163924869,-41,-41.522228831348144,48,54.00644003942894,33,32.528757610501685,0.6764935483534233,645,953.4458999201422,0.5972729713179943,425,711.5674413696609,0.8314691580376179,344,413.72550824601547,0.7384421999639751,214,289.7992557988154,1.5305467592493573,1368,893.7982402255539,1.174407691289264,1106,941.7513255433757,1.6698282990437534,192,114.98188173595514,1.3272907058252676,176,132.60094358196287,1.7516368460406448,11,6.2798404959704515,0.6412860778087178,5,7.796832292204221
8,OFI Crete,0.8222230477960638,68,82.70261966296286,68,0.8240075595853781,0.8154117337238785,1.2419660359936486,18,14,36,21.844459787549997,17.169240300312868,28.986299912137135,-29,-17.846401912447618,-12.31480071020161,1.1612026226492276,0.8521895196864618,0.988521265143706,71,83.31480071020161,100,101.16120262264923,42,46.65739688884048,-59,-56.51904468199034,29,36.65740382136113,41,44.64215794065889,0.7143186921153027,530,741.9657442121777,0.6768542671932922,561,828.834251612678,0.7924082607868471,248,312.96998311670865,0.8277702814380191,296,357.58713091968326,1.228176571158995,1088,885.8661087902741,1.5564687215282376,1355,870.5603789259427,1.5287710067684606,183,119.70399699483325,1.5990624660259005,183,114.44205832359015,1.1161856853810241,8,7.167266257557404,1.5070838536272757,10,6.635330858287563
9,Panathinaikos,1.0436539711666768,108,103.4825746691399,71,0.9895847867625458,1.290427423398622,0.7881588376634161,28,24,19,28.294695284880824,18.598488814497422,24.106815900621754,17,9.449135427649509,-19.024396374944445,26.575260947294936,0.8098024375610233,0.7065947073256694,81,100.02439637494444,64,90.57526094729494,42,56.33406769612647,-37,-50.80353643103926,39,43.69032867881798,27,39.771724516255674,0.5984234496824244,504,842.212985248934,0.6833833352040015,546,798.965927135185,0.7379932349641724,264,357.7268564159894,0.7591990226433634,254,334.56312827646707,1.3477898872144196,1239,919.282754495759,1.2563442697425893,1162,924.9057189062363,1.7750174629875335,217,122.25231837143005,1.643163384352158,206,125.36793477857262,1.4139181091272186,10,7.072545386785368,0.8123459738001512,6,7.3860155568101415
