,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Ternana,0.8159747007956968,37,45.344543113799354,42,0.624574150853813,1.3649974226212305,0.9962911893305696,7,16,19,11.207636419840263,11.721633854278565,19.070729725881172,-15,-16.890820432093577,15.800099875938244,-13.909279443844667,1.3419942431371028,1.2204647422193315,62,46.199900124061756,77,63.09072055615533,31,25.978333985191547,-36,-35.44991588956529,31,20.22156613887021,41,27.640804666590043,0.9765631734901671,426,436.223699156611,0.837753109589439,433,516.8587201212563,0.9361918365244719,170,181.5867147817799,0.8595919452929834,192,223.36179515334882,1.1728356964269204,654,557.6228639633248,1.0917152123097071,592,542.265962152826,1.0500116886800055,81,77.14199839225316,1.0129701289474653,70,69.10371589410445,1.049311144106668,5,4.765030875810201,1.4997614980554432,6,4.000636106327216
1,Juve Stabia,0.9739856129205964,41,42.09507764396773,38,1.055421120942052,0.7388295259755303,1.134349867566623,11,8,19,10.422380016596195,10.827937594179142,16.749682389224667,-16,-13.283693080558159,4.67219188544577,-7.388498804887611,1.1103811440649405,1.132859186429173,47,42.32780811455423,63,55.61150119511239,30,23.766470675478665,-37,-31.285861408043875,17,18.561337439075565,26,24.325639787068514,1.0662061870448294,424,397.6716747209915,1.1984481583187265,552,460.5956429307608,0.8884705272665082,148,166.578401261481,0.9769811789695498,194,198.57086725520892,1.1423128521218973,575,503.36472966395485,1.371444739624918,675,492.18169751747234,1.7292006277053515,120,69.3962274112981,1.7552163127563425,111,63.24006858487357,2.3227601559442985,10,4.305222807618975,2.9900913280772228,11,3.6788173982209256
2,Padova,0.7730540084278126,31,40.100691105716926,36,0.5077434735815616,1.5154078301077887,0.9618903095981193,5,16,15,9.847492405427882,10.558213889433278,15.594293705138838,-13,-11.991876152834365,-4.399300088226141,3.3911762410605064,0.8911045468951513,0.9352719964625886,36,40.39930008822614,49,52.391176241060506,19,22.643729038379536,-29,-29.41241977331785,17,17.755571049846605,20,22.978756467742656,1.1091730420559827,419,377.7589105693862,1.1236171106462964,489,435.2016317362155,0.8369629837839089,133,158.90786399979976,0.9794494093595554,185,188.88162903785732,1.1828624121776576,565,477.6548770028386,1.229183184296701,573,466.1632271904632,1.452844287218813,95,65.38897584259286,1.4658111078367688,88,60.03502056269012,1.0011658647253654,4,3.995341971729389,0.563663427231372,2,3.548216725402413
3,Pro Vercelli,0.8576298060852825,40,46.640170054936746,42,0.7812066289078284,1.0763147431853604,1.0868910081060492,9,13,20,11.520639568282357,12.078251350089674,18.40110908162797,-23,-14.547362385713193,-0.11033691649006983,-8.342300697796738,0.9976579043218124,1.135300226771495,47,47.11033691649007,70,61.65769930220326,29,26.365139575150152,-37,-34.61200491312197,18,20.745197341339917,33,27.04569438908129,0.9583653048670723,422,440.33313586882457,0.9186563572800861,470,511.61677190321046,0.83201778146168,154,185.09219806511157,0.941776840392082,208,220.85911553463677,1.1557172521448775,641,554.633928679682,1.1429953229565377,621,543.3093097823756,1.1793145836094938,90,76.3155151736864,1.0468847884104704,73,69.73069129301133,0.632805533593445,3,4.7407929304350755,1.4560987015245512,6,4.120599787444309
4,Lecce,1.0977745997886255,125,113.86672639726638,73,1.09598970278697,1.1057608003360666,0.7555134010686798,34,23,16,31.022189271981375,20.800158581322254,21.177652146696367,40,20.373237187458813,27.08249269491924,-7.455729882378051,1.2606153034003262,1.0892428633571294,131,103.91750730508076,91,83.54427011762195,70,58.46833141617772,-53,-46.836273854453225,61,45.44917588890304,38,36.707996263168724,1.1726139100765476,1022,871.5571180059466,1.0866322789249179,840,773.0305976471373,1.0257955703728003,386,376.293299706605,0.8987945224095887,293,325.9921958741948,0.9921342211359245,937,944.4286670478923,1.079197764341321,1038,961.8255655241596,1.2968271705866332,158,121.83581866851776,1.3527319227280727,178,131.58556917990447,0.8410883217957171,6,7.133614680548703,1.3402659158887529,11,8.20732652348748
5,Chievo,0.9627328120910058,112,116.3354968204956,76,0.8945207563834381,1.248302247466677,0.8981555526092623,28,28,20,31.3016772391112,22.430465103162007,22.267857657726793,23,18.790403243304027,-8.547776102384063,12.757372859080036,0.9197751805333757,0.8546290477545891,98,106.54777610238406,75,87.75737285908004,56,59.8167226795277,-35,-49.16463679318609,42,46.73105342285636,40,38.592736065893945,1.0668596221890032,961,900.774553664522,1.0164417366368408,822,808.7035098733732,0.8164395224802621,317,388.2712574190254,0.8113658035975101,277,341.3996483112935,1.136210356275942,1122,987.493199478908,1.2246874953511249,1229,1003.5213102650638,1.2470892363516728,160,128.29875788846982,1.468846744490787,201,136.84205023695768,0.9161330360957098,7,7.640811677124914,1.8911631015728234,16,8.460401954063762
6,Livorno,0.7584988335631214,60,79.1036153848045,67,0.7050309172697328,0.921575946155033,1.2676127999663749,14,18,35,19.85728520135783,19.531759780731008,27.610955017911166,-38,-16.250233896368883,-13.770421426811396,-7.979344676819721,0.8229349774094957,1.0848679968182742,64,77.7704214268114,102,94.02065532318028,34,43.46495898723764,-53,-52.78811905747337,30,34.30546243957376,49,41.23253626570691,1.1372927916690805,815,716.6140557383762,1.1008075623467704,875,794.8709928324079,0.9544438364875357,289,302.79413932154836,0.9387367959396513,321,341.9488842755836,1.295207784401983,1145,884.0280407430255,1.1920502585573438,1038,870.7686547178134,1.4122105397256886,170,120.3786512123194,1.6795515840901951,189,112.53003586810368,1.3485549033067643,10,7.415345104214298,2.0819850863461924,14,6.724351721735667
7,Carpi,0.9155029372848952,81,88.4759586246894,78,0.8667547399954266,1.056644471456608,1.048980184819119,19,24,35,21.92084925904213,22.71341084756301,33.36573989339487,-42,-24.675526467010528,-17.407546517300645,0.0830729843111726,0.8030988619971019,0.9992653809087528,71,88.40754651730064,113,113.08307298431117,38,49.64157082646297,-63,-63.524909725988316,33,38.76597569083768,50,49.55816325832286,0.8658926497733149,712,822.2728304558273,1.0349184017237616,977,944.0357794128574,0.765253664060915,264,344.98364712042115,0.9149428270292622,372,406.5827820169385,1.317902185181662,1358,1030.4254862532237,1.0447053846784555,1055,1009.8540846754734,1.1578932782549762,164,141.63654205434125,1.174829388000615,153,130.2316758183784,1.031782782090657,9,8.722766221940326,0.9179190606545601,7,7.62594470476336
8,Venezia,1.0467754408210335,213,203.48203797457688,153,0.9876669686267894,1.2518101665174044,0.802676362352586,52,57,44,52.64932578670583,45.53406061445939,54.816613598834785,14,-4.644479697664565,-11.981428556903722,30.625908254568287,0.9375906896465644,0.8442427626835552,180,191.98142855690372,166,196.6259082545683,100,107.73318047229353,-102,-110.38044063908993,80,84.2482480846102,64,86.24546761547836,1.0081143419663539,1719,1705.1637184796368,1.0594237780502902,1829,1726.4101843796625,0.8473802460298324,618,729.3065927551054,0.8382863389531297,620,739.604084177573,1.0633901874498117,2131,2003.9680873024568,1.2846683812509663,2571,2001.2946823649913,1.2928446583738922,345,266.85340560089594,1.4160468758515505,375,264.82174170575456,1.0989647388147614,18,16.379051451107596,1.3653609771733262,22,16.112955011755258
9,Verona,0.939779257397052,49,52.13990372134565,35,0.8616376725371463,1.254947298906957,0.9333554701660005,12,13,10,13.926967659927456,10.359000741563278,10.714031598509264,0,6.752282436569686,-1.8693877828015388,-4.8828946537681475,0.9609481576977015,1.1187557979252456,46,47.86938778280154,46,41.11710534623185,24,26.916583472087346,-23,-22.943281469424633,22,20.952804310714193,23,18.17382387680722,1.004893119195352,411,408.99872050979906,1.1177249727055256,420,375.76327831645636,0.8820324907778274,156,176.86423304251542,0.9358986767068854,150,160.27376011236586,1.1260438109748043,513,455.5773008120362,1.228898730410624,567,461.3887100449219,1.5260658414032688,90,58.97517496181028,1.5908572744140381,99,62.23059830207883,1.4082128560964178,5,3.5505995974643048,1.0277277822239408,4,3.892081219546524
