,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Sparta Rotterdam,0.9510630555214934,107,112.50568443259425,94,0.9593686145465744,0.9165465250732913,1.0726865770041227,29,20,45,30.228214223691534,21.821041761519645,41.95074401478881,-44,-29.986976479088383,12.915727212235822,-26.92875073314744,1.116269629247269,1.1908875895910485,124,111.08427278776418,168,141.07124926685256,73,62.349467804245634,-99,-79.30468763235298,51,48.73480498351854,69,61.76656163449958,1.1767884511657174,1189,1010.377012811594,1.1028566701462352,1271,1152.46163386895,0.9878467576448329,418,423.14255400966385,0.9415027678481306,466,494.95340418921455,0.9416425737302521,1161,1232.9518995735066,0.795982227691765,960,1206.0570784147571,0.8438515362426642,142,168.27604608302264,0.7980360471971762,127,159.140680983075,1.0093377781623478,10,9.907486092719637,0.6599685570046322,6,9.091342210653055
1,Utrecht,0.9413969318847074,201,213.51248680786694,127,0.8760594458250918,1.3639449844585074,0.9247468579198095,54,39,34,61.63965271687885,28.593528657230397,36.76681862589075,41,53.64136727968685,19.76427490383736,-32.40564218352421,1.0987050382460255,1.2210565445096695,220,200.23572509616264,179,146.5943578164758,126,112.40355308929362,-99,-82.27089381247646,94,87.83217200686902,80,64.32346400399933,1.1592200196958007,1868,1611.4283468725766,1.10918056863025,1494,1346.9402929091802,0.9506235108780778,656,690.0734018182044,0.9317937112944369,518,555.9170379894499,0.8846837495499947,1435,1622.048557724645,0.8516256145935592,1418,1665.0509046475129,0.8653846499508487,182,210.31110271061203,0.8851821948332081,205,231.590740523907,1.1147234594789068,13,11.662085236886494,0.49935881108552543,7,14.0179763420678
2,Vitesse,0.9801932945872729,204,208.1222154104795,128,0.9578835774644705,1.114727325189102,0.9771109174954183,57,33,38,59.506187746614984,29.60365217063455,38.89016008275046,59,44.11223167726661,34.83443480624442,-19.946666483511024,1.1784865827722306,1.1320504885205571,230,195.16556519375558,171,151.05333351648898,123,109.64557508679835,-95,-84.65821308203064,107,85.51999010695724,76,66.39512043445833,1.2354458982866017,1968,1592.9471316626273,1.0913289410586002,1502,1376.303645482951,0.9853166198097109,671,680.9993726986831,0.9731222646583421,555,570.3291561157091,0.9102877009742607,1498,1645.6335710091698,0.9557979506259822,1606,1680.271441205937,1.0256543316566522,219,213.52222989812554,0.9116061621252152,212,232.5565675266688,1.3337835247623806,16,11.995949644715001,0.7926644209049822,11,13.877247054234298
3,VVV Venlo,1.0127218053050857,126,124.41718874814006,126,1.0048846792426287,1.0386431144951884,0.9805166529885115,32,30,64,31.844450075722193,28.883838520973487,65.27171140330431,-94,-77.5942222924572,15.454845690321719,-31.860623397864515,1.1166006088326175,1.1516166266077175,148,132.54515430967828,242,210.13937660213548,91,74.24819814888332,-148,-117.50454970882544,57,58.29695616079497,94,92.63482689331005,1.078154655766834,1371,1271.617195795422,1.2403883044122335,2043,1647.064868906588,0.8940101477678157,469,524.6025463704294,1.0463316211550102,747,713.9227993276279,0.8815949927853047,1464,1660.6264917347694,0.9044558783394268,1442,1594.3287390065943,0.7922514757232225,184,232.24948849988817,0.8682238416907434,177,203.86447768506042,0.775081208947595,11,14.192061261471938,1.218282817503665,14,11.491584547409808
4,Ajax,0.9749909579154451,235,241.0278763019873,100,0.993096429670492,0.6913824319173327,1.4977746310324798,75,10,15,75.52136706894102,14.463775095164236,10.014857835894752,182,176.74277773571384,18.97091508720837,-13.713692822922198,1.0755725779496783,1.184605930003124,270,251.02908491279163,88,74.2863071770778,162,140.9655151505635,-49,-41.24050517481331,108,110.06356976222813,39,33.045802002264494,1.2327726749847285,2038,1653.1839497701767,1.169714214249343,982,839.5213019020997,1.0831712371785172,784,723.800607964989,1.1264281055804017,363,322.2575841295802,0.9360288809593345,1073,1146.3321504570288,0.9115201481753705,1188,1303.3173236796479,0.9018385657394777,127,140.82342985173207,0.871157267185474,173,198.58641661674548,1.4028437507479306,9,6.415539859803789,1.0800278479217567,12,11.110824617245747
5,NAC Breda,0.8928468274147899,57,63.840737570901965,64,0.8595066063639657,1.001636432405293,1.0691563393341756,14,15,35,16.288414651314007,14.975493616959948,32.73609173172605,-43,-38.59225214815389,2.4368411590650823,-6.844589010911193,1.0360676025347213,1.0644770619522608,70,67.56315884093492,113,106.15541098908881,42,37.872627746371094,-65,-59.77631278714242,28,29.690531094563823,48,46.379098201946384,1.1685008064075542,755,646.1270680002151,1.2787373336827321,1061,829.7247386563322,0.951330703945403,254,266.9944310076395,0.9737126814059746,351,360.4759460390102,0.8237793669972452,697,846.1003369635632,0.9675433319174589,784,810.299626008774,0.8961145648988723,106,118.28844675899475,0.8319449071152768,86,103.3722296566491,0.8186288509937978,6,7.329328782776382,1.0181131136670278,6,5.893254805833186
6,Twente,0.797523875447075,91,114.10316706692615,92,0.7152488328013397,1.1453395419506234,1.1417296088005584,22,25,45,30.758526251395505,21.82758831273964,39.41388543586485,-37,-20.35191721005704,2.205411967771923,-18.853494757714884,1.0197273589588804,1.1426711567070789,114,111.79458803222808,151,132.14650524228512,55,62.79632026990665,-96,-73.98461223207963,59,48.998267762321426,55,58.16189301020549,1.0784143651574507,1084,1005.1794885370743,1.0608829157478517,1171,1103.7975846510103,0.922069760770814,389,421.87697346761627,0.986403146186534,466,472.4234728990584,0.9611135628910337,1160,1206.9333373162638,0.8352660074176373,992,1187.6456017489945,0.9388976989378865,153,162.9570507767554,0.8978659072050984,140,155.92528781474266,0.9136992352005969,9,9.850068439669982,0.7643078468837636,7,9.158613284608295
7,PSV Eindhoven,1.0276775125656745,273,265.64753695780973,122,1.021368018405299,1.0980533947972473,0.7945091745194414,83,24,15,81.26355878030242,21.856860616902456,18.87958060279511,176,154.36871550642468,38.843272056228784,-17.211987562653462,1.1498833249069904,1.1642553109111085,298,259.1567279437712,122,104.78801243734654,177,144.66058224136341,-68,-58.1892912564315,121,114.4961457024078,54,46.598721180915035,1.1439951934273531,2102,1837.4203074249917,1.1155141939511188,1235,1107.1127617172363,1.0752635950017584,864,803.5239024330467,0.9774656383261928,425,434.79789297531505,0.8503884459064381,1248,1467.564624152135,0.8718934232575097,1397,1602.2600500650897,0.8528926666426067,157,184.07943477580488,0.9353530387091997,220,235.20530847219257,0.7578428250834767,7,9.236743778934567,1.5338260101149184,21,13.691253024472198
8,Zwolle,0.9699635328504922,147,151.55208935329966,125,0.9586097895774512,1.0169373684327934,1.0216043353334059,39,30,56,40.68391583731994,29.500341841339875,54.8157423213402,-45,-35.41778787893168,14.474604371613566,-24.05681649268189,1.0968036520537763,1.1300767945942165,164,149.52539562838643,209,184.9431835073181,102,83.96795941907021,-107,-103.65591338410744,62,65.55743620931622,102,81.28727012321067,1.2857456276143135,1734,1348.6337909757603,1.0594065849275727,1613,1522.5504758499064,1.0815985946520787,613,566.753694976079,0.9747468808136895,639,655.5548035881704,0.874545089170113,1432,1637.4227215189967,0.8843353934151623,1419,1604.5948297060104,0.8800448260261614,196,222.71592787498923,0.9338234919838638,197,210.96063837661956,0.8171122066127211,11,13.462043414575454,1.217409790835089,15,12.32124146932535
9,Excelsior,1.138427249472702,73,64.12355294008663,66,1.2246854685914446,0.8591416251810595,0.9554722581360688,20,13,33,16.330723694307185,15.131381857165074,34.537894448527744,-40,-44.43277891263364,17.553680608611558,-13.12090169597792,1.2564590874234804,1.1162385409975444,86,68.44631939138844,126,112.87909830402208,45,38.24687440684721,-74,-63.14104400827745,41,30.19944498454123,52,49.73805429574463,1.0753961866072754,712,662.0815740906246,1.264240838092598,1101,870.8783697108813,0.9428152378854094,257,272.58787265298315,1.038066372595934,392,377.6251792259776,0.867505130487457,756,871.4645866995604,0.8814945595473355,733,831.542284703844,0.8892508796649338,109,122.57508256957898,0.8030236501622945,85,105.84993353909456,0.9437260397751317,7,7.417406858528498,0.8317818332297074,5,6.011191637337894
