,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Portimonense,0.8674939292099065,145,167.14814377094564,136,0.8448535439010894,0.9506653478573939,1.1516450450114706,37,34,65,43.79457276009456,35.764425490661964,56.44100174924348,-45,-31.77822380754344,-3.680515913336137,-9.541260279120422,0.9775140254611315,1.048814702748752,160,163.68051591333614,205,195.45873972087958,76,91.66671791271693,-113,-109.52488942245532,84,72.0137980006192,92,85.93385029842426,1.0454564615392188,1541,1473.9972984921778,0.926382921311519,1508,1627.8365730934045,0.908674688391738,565,621.7846796194935,0.8165249621992892,571,699.3050138504352,1.2742806566599207,2272,1782.966717830631,1.148239798927098,2015,1754.8599185316452,1.3003858874973997,313,240.69778287302884,1.271989474508535,294,231.1339880493856,0.9542715358515598,14,14.670876657247113,1.248449321600849,17,13.616892336648004
1,Benfica,1.0219279397194512,303,296.4984009373325,130,1.0332147900661528,0.8911950839412747,0.9703740382535706,94,21,15,90.97817888764594,23.563864274394714,15.45795683795934,206,186.10827085164266,19.05353218403411,0.838196964323231,1.0659413915942713,0.9918493615303853,308,288.9464678159659,102,102.83819696432323,181,160.84479748140564,-59,-56.85492304430774,127,128.10167033456025,43,45.98327392001549,0.9140444840152017,1845,2018.5013227094923,0.9743793841731748,1098,1126.8711323687594,0.8730395911389353,777,889.9940024327585,0.9337525712142711,411,440.1594305282899,1.2811668068800908,1979,1544.6856641714587,1.0578015220924812,1813,1713.932114990371,1.426293192896477,275,192.80748261971127,1.2586667502483304,322,255.82625419831783,1.0790801279136215,10,9.267152402606827,1.221287837446747,18,14.738540291722893
2,Farense,0.7980732442089534,31,38.843552549775126,34,0.7049877764318087,1.104264421953412,1.1322050688582703,7,10,17,9.929250171441929,9.055802035449343,15.014947793108727,-17,-12.003454486686003,-7.574568444857007,2.5780229315430105,0.8036382842316181,0.9490287919116106,31,38.57456844485701,48,50.57802293154301,18,21.697026535236308,-29,-28.312852358808506,13,16.8775419096207,19,22.265170572734505,0.9979108604806367,357,357.7473841982775,0.9324335486209853,389,417.18790639323123,0.7720315272837802,116,150.2529312606183,0.7433352857491857,134,180.2685848081937,1.2369139644473415,555,448.697335427025,1.298308211859946,567,436.72218570328556,1.3520745796184768,83,61.387146279623586,1.7190507440265097,98,57.008206616667934,1.920247873208057,7,3.645362714713215,1.2094348824743213,4,3.3073297768761254
3,Famalicao,1.0898567670822341,94,86.24986588986084,68,1.0524060691586314,1.2335151131272166,0.8040963508029506,24,22,22,22.804885588684712,17.83520912380671,27.359905287508578,-6,-11.673639368652175,9.375109531326302,-3.701470162674127,1.1121090799495668,1.0388407897686618,93,83.6248904686737,99,95.29852983732587,58,46.94673992066724,-53,-53.33376347388671,35,36.67815054800646,46,41.96476636343916,1.092898866930867,815,745.7231631035756,0.9913919944801336,797,803.9201490808196,0.9570798663589323,301,314.4983094724473,0.8063266962387181,279,346.01359635176993,1.2238607039896692,1091,891.4413188064982,1.2037908631622185,1057,878.0594971649678,1.6345631072634652,196,119.9097172382271,1.7056471068259225,199,116.67126171856476,2.056727981338358,15,7.293137515559627,2.0360996572170422,14,6.875891339786047
4,Estoril,0.808136559509843,30,37.12243883409485,33,0.8478476618708227,0.6806219220122689,1.288233777329951,8,6,19,9.435657323566309,8.815466863395923,14.74887581303777,-30,-12.89413279151168,-9.108359497794396,-7.997507710693924,0.7545469640517046,1.1599421817700941,28,37.108359497794396,58,50.002492289306076,14,20.789603023947876,-33,-28.14110564500516,14,16.31875647384652,25,21.861386644300914,0.9896798149403464,342,345.5663082515372,0.6868659813911097,280,407.64866449334994,0.9457872240627448,137,144.85287653971443,0.8239992943283726,145,175.97102448757187,1.1498638936128636,502,436.573409069068,1.3146818571663847,560,425.9585670460249,1.226070252790802,73,59.53981823948192,1.5120148624628982,83,54.89364030774311,1.8613050308621124,7,3.760802170484526,0.9291289295987245,3,3.2288306869270023
5,Setubal,0.9272387210520379,102,110.0040342192263,99,0.7899264063251534,1.360958420314429,0.9172801819078563,22,36,41,27.850695740565293,26.45194699753042,44.69735726190428,-42,-40.36886146061468,-17.931353604233664,16.300215064848345,0.8383563075574937,0.8922657508592308,93,110.93135360423366,135,151.30021506484835,56,62.23808304712721,-73,-84.95782903860407,37,48.69327055710645,62,66.34238602624427,0.8644179842803188,893,1033.0650405700171,0.9317984681527393,1146,1229.8796780294224,0.748155688925577,324,433.06494195786297,0.7839246350454532,417,531.9388897324571,1.2839440591436988,1677,1306.1316714362479,1.3651509862067184,1733,1269.456651689061,1.502619841267902,269,179.0206628531002,1.5250868219504041,251,164.58079395047224,1.644306346031018,18,10.946865250169417,1.9916305176054845,19,9.53992210505164
6,Tondela,1.0270891681213226,145,141.17566857921747,135,1.0765586672969467,0.8786177250337068,1.0245321417639761,38,31,66,35.29765832029521,35.282693618331834,64.41964806137295,-57,-67.89184268051767,1.2790859434281856,9.612756737089484,1.0087776415054026,0.9549991447892755,147,145.72091405657181,204,213.61275673708948,79,81.63260030086049,-95,-119.74501342470461,68,64.08831375571133,109,93.86774331238487,0.9303426773077447,1289,1385.5109858338965,0.9820862492268142,1679,1709.6258106880719,0.8061832699197875,465,576.7919248017463,0.8527819584278983,632,741.1038586757753,1.2247787931421898,2182,1781.54619611109,1.2186088683657923,2095,1719.173439800653,1.3362239042178183,330,246.96459849157628,1.4238852111230933,315,221.22569820887662,1.8576382497135926,28,15.07290238253707,1.8856541542151637,24,12.727678586420925
7,Boavista,1.06180146853354,164,154.45448594688924,135,1.1223873818627472,0.8684317265524597,1.0008512880984934,44,32,59,39.20215133475244,36.84803194263189,58.949816722615665,-35,-47.05582098319988,-17.982345492762107,30.038166475961987,0.8832181349412724,0.8505847571010671,136,153.9823454927621,171,201.038166475962,73,86.40595580505037,-92,-112.41044471310661,63,67.57638968771174,79,88.62772176285537,0.9843267288865004,1402,1424.3238132789343,0.955933964320381,1581,1653.8799320976195,0.8236219706418766,493,598.5755814840495,0.8389042766051062,600,715.2186688427569,1.3183176985114646,2348,1781.0577849718375,1.2780707873921915,2219,1736.210561957765,1.5832791440453886,384,242.53461649147556,1.3910121944533858,315,226.4538019551891,1.6413106670771465,24,14.622460257776373,1.2850897745307355,17,13.228647785488555
8,Belenenses,1.0531465370376218,152,144.32939259104268,133,0.9919965667359929,1.240903050758663,0.865284878550766,36,44,53,36.29044818013058,35.45804805065093,61.25150376921849,-58,-59.283866302280046,-23.590524174730973,24.87439047701102,0.8390719706642712,0.8791768591548611,123,146.59052417473097,181,205.87439047701102,66,82.13447428765772,-99,-115.09873515372027,57,64.45604988707325,82,90.77565532329075,0.8759675475640104,1207,1377.9049273646747,1.020973291020387,1698,1663.1189228299745,0.7537651843734556,435,577.102802063723,0.8410948034013517,607,721.6784571077098,1.1696368981346412,2056,1757.810482277831,1.2317490523914059,2098,1703.2690189018554,1.3525560265968886,327,241.7644767165405,1.2761198002620078,280,219.41513637082625,1.5711074454321958,23,14.639355231158575,1.019481259781247,13,12.751583097063937
9,Maritimo,1.0675712663893364,159,148.93619283868372,134,1.1672733581490704,0.7530930828287973,1.0421288957136887,44,27,63,37.69468367698395,35.85214180773187,60.453174515284175,-58,-53.384860087114134,-28.07840042381042,23.463260510924556,0.8129084508862097,0.8846806030140034,122,150.07840042381042,180,203.46326051092456,68,83.95060612316854,-93,-114.02792820695585,54,66.12779430064188,87,89.4353323039687,0.8882124785351679,1241,1397.1882066402018,1.018876531745441,1690,1658.6896913847404,0.7296478851577621,429,587.9548323603282,0.7911711593070571,569,719.1869841392545,1.2455624127229339,2201,1767.0732333583962,1.3083222558337206,2249,1718.9954462456485,1.475755620833306,358,242.58759034768258,1.4013696429149356,312,222.63933115535505,1.136436445877994,17,14.959041538716273,1.159711824801803,15,12.9342476977533
