,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Partick,0.7774433589567272,66,84.89364432743658,62,0.743913137615091,0.918146997100814,1.3151770857109286,17,15,30,22.85213036363392,16.33725323653482,22.810616399831268,-25,-0.02442151598332032,-6.233070830960244,-18.742507653056435,0.9213324592169577,1.2364761626700547,73,79.23307083096024,98,79.25749234694356,40,44.49056122885195,-53,-44.411764680149034,33,34.74250960210829,45,34.84572766679453,0.9326006759854132,650,696.9756903866609,0.8963433465792814,625,697.2774466226474,0.8907071035222578,264,296.39372915745804,0.8859938366756159,263,296.841794054478,0.8625587457919567,697,808.060904141724,0.6851631234569524,554,808.566574927185,0.8424703240918826,91,108.01567414032169,0.8057810828777107,87,107.96977224793393,0.7641674343559449,5,6.543068672134788,0.1525041607692785,1,6.557198144337101
1,Arbroath,1.093588891334307,66,60.351746916039204,52,1.0859666706796482,1.1203243546463624,0.871202905135874,17,15,20,15.65425575110939,13.388979662711026,22.95676458617958,-7,-15.60912635477571,-7.646156549598075,16.255282904373786,0.8718080595312122,0.7839981157863797,52,59.646156549598075,59,75.25528290437379,24,33.443287610933886,-30,-42.28381971747096,28,26.20286893866419,29,32.971463186902824,0.8108241283805084,446,550.0576319686165,0.7077355718228648,443,625.9399945928901,0.7486816522241556,173,231.07284582981035,0.7522420388122435,203,269.8599513535935,0.9515503357489425,651,684.1466767888988,0.8092738947485761,543,670.9718471379808,0.9192775916236652,86,93.55172015898194,0.884440292974467,77,87.0607101594623,0.3425288134527055,2,5.838924847927133,0.5819929105953362,3,5.154701965237376
2,Queen of Sth,0.9228414835654739,150,162.54145773818345,127,0.9021559176750519,1.0045012651572145,1.0801660309251089,39,33,55,43.22977795291416,32.85212387944098,50.91809816764486,-26,-16.4656804714366,10.225865935764318,-19.76018546432772,1.0656454680181213,1.1147248417422977,166,155.77413406423568,192,172.23981453567228,87,87.4852948704947,-102,-96.76508546673416,79,68.28883919374098,90,75.47472906893812,0.9154748267609345,1277,1394.9045486244413,0.8732120213625559,1287,1473.86885259753,0.9776059392454954,579,592.2631775814141,0.8852134226416125,560,632.6158027844564,0.7936137678449378,1321,1664.5376548685417,0.8216905720122192,1356,1650.256247530409,0.8659024281033778,195,225.19858320193956,0.8693728989066888,189,217.39808111994722,0.5106794886542405,7,13.707227635961317,0.7756822173843197,10,12.89187733827524
3,Dumbarton,0.9420324611502381,30,31.8460363492883,36,0.899045464857167,1.0603292550941161,1.013888505266187,7,9,20,7.786035605120485,8.487929533926845,19.72603486095267,-36,-25.986518102121202,-9.420095611243347,-0.5933862866354502,0.7413489598765566,1.0095083878346756,27,36.42009561124335,63,62.40661371336455,15,20.504069696399508,-33,-35.43530904770644,12,15.91602591484384,30,26.97130466565811,0.8182526505414388,291,355.6358782430401,1.0547401057548094,511,484.47953880952537,0.8117079651859651,117,144.14050991010652,1.072886777934255,225,209.71457997946143,0.7828515261821326,373,476.4632724407827,0.7193293953282246,327,454.59006975627955,0.8552765440700583,58,67.81432321760136,0.7430254370364808,43,57.87150460353459,1.2296702053308242,5,4.066130884788597,0.9689620704157988,3,3.0960964227553784
4,Dundee United,1.0469768660325418,182,173.83383139082954,99,1.0863107567848962,0.8095450696859323,1.0168705391660682,54,20,25,49.70953262013285,24.705233530431006,24.585233849436143,44,53.06260293198511,-9.321807474350578,0.25920454236546675,0.9407468829401138,0.9975138450029115,148,157.32180747435058,104,104.25920454236547,75,88.38843878883415,-57,-58.431404272454,73,68.93336868551643,47,45.827800269911464,0.8554500382874909,1078,1260.1554173263323,0.8466207149904396,847,1000.4479987352597,0.8075269819665879,441,546.1117830713509,0.817957570582737,339,414.44692511188134,0.8223389048688878,1038,1262.2533043909636,0.8995439251746933,1179,1310.6641788182114,1.0295383861375496,166,161.23731007521837,1.1492955792558053,211,183.59071748681677,0.657354351997819,6,9.1274971889437,0.6134741836259479,7,11.410423106358609
5,St Mirren,1.249661523700766,71,56.81538452887591,35,1.3784933317943404,0.5594703231440562,0.7918030850868992,22,5,8,15.959453333998582,8.937024526880162,10.103522139121258,26,12.662753621619878,10.167708569705717,3.1695378086744057,1.1961655232506858,0.9190815622038694,62,51.83229143029428,36,39.169537808674406,37,29.123154810179358,-19,-21.980191848796505,25,22.709136620114926,17,17.1893459598779,1.0117404447287175,433,427.97537872087565,0.9046695966312164,331,365.87943403046665,0.930664017023156,172,184.81427975496814,0.9845911111313731,151,153.36315582464385,0.8310032513789949,375,451.2617722947682,0.9452162659725021,438,463.38601626724665,0.6503861315255361,38,58.42683009071513,1.2767127874816475,81,63.44418321349691,1.4579175669827984,5,3.4295491825012037,1.2589044506986644,5,3.9717073025082317
6,Falkirk,0.9453438055120027,85,89.91437771569635,72,0.8831662310320425,1.1840607005880248,0.9783485260199268,21,22,29,23.778083063094485,18.580128526412896,29.641788410492616,-16,-12.17721230783377,-5.514410140218928,1.6916224480526978,0.9369885470131887,0.9830314483151865,82,87.51441014021893,98,99.6916224480527,47,49.19019261670547,-53,-56.03021141090426,35,38.32421752351346,45,43.66141103714844,0.8294468669401285,654,788.4772684869365,0.8870390946390972,750,845.5095209813122,0.7928466485711878,264,332.9773802736786,0.8387861971410006,304,362.42847228075857,0.8349407571880547,791,947.372604810861,0.8086632968339832,758,937.3493306394191,0.9013395170518197,116,128.69734190665795,1.0593111471145107,130,122.72126122160697,1.0339126835204875,8,7.737597311177076,1.234710284934662,9,7.289159335443827
7,Brechin,0.21707343256476846,4,18.42694406560561,34,0.0,0.6223196155611458,1.2726617715591377,0,4,30,3.999792903919647,6.427565353846671,23.572641742233685,-64,-45.37104362965383,-7.484757636270878,-11.144198734075289,0.7276760546582572,1.1529624071170228,20,27.484757636270878,84,72.85580126592471,11,15.196751618591655,-43,-40.43203620893395,9,12.288006017679223,41,32.42376505699076,0.8208457934351543,245,298.4726265998154,0.9683958209429359,505,521.4809782102084,0.8367827257519185,98,117.11522834310291,0.8981423421828799,207,230.4757166852853,0.8144507232727637,371,455.52172697346873,0.9165360780693365,376,410.2402611275662,0.8842184724775803,59,66.72559083128176,0.7527150905708261,38,50.48390882024495,1.2105463211435183,5,4.130366523502256,1.6239694011118047,4,2.4631005961451695
8,Alloa,1.147461774548214,91,79.30547406324634,89,1.1416390068083924,1.1631231643890008,0.8707260830967245,22,25,42,19.270539871884722,21.493854447592167,48.23560568052311,-52,-61.570966611722014,8.126764239341867,1.444202372380147,1.0914422004531017,0.9904004119161371,97,88.87323576065813,149,150.44420237238015,49,49.96693375508624,-80,-84.74188690147085,48,38.906302005571895,69,65.7023154709093,0.7583847295037197,665,876.8636473405393,0.9644526984149645,1135,1176.8332463223157,0.8209815573146915,292,355.67181430370806,0.9423820280370098,479,508.2864334730166,0.7606436842233057,901,1184.5230805012366,0.9554329825003366,1080,1130.377556334381,0.8979598221610882,151,168.1589713408264,0.6723010215614679,96,142.79317883086514,0.8618054117395401,9,10.443192717754751,0.6302878102334059,5,7.932883864830606
9,Morton,1.0461707034277143,160,152.9387120818522,126,0.9962882645184641,1.2310857362000742,0.8620797411706125,40,40,46,40.149022551553585,32.49164442719143,53.35933302125497,-20,-27.443039564964806,-3.634961696040534,11.07800126100534,0.9757078048148642,0.9374399915172024,146,149.63496169604053,166,177.07800126100534,96,83.90412321098219,-91,-99.39297523065767,50,65.73083848505834,75,77.68502603034767,0.8198064177647933,1116,1361.296979160983,0.9072494037161775,1355,1493.5253684927152,0.8055152551479903,463,574.7873762054786,0.8042009516202069,516,641.6306757165925,0.8550056785753922,1416,1656.1293515141733,0.8124768304073933,1327,1633.2773444562274,0.8066475825196283,182,225.62517255863884,0.9523613524276708,203,213.15438670682227,0.5760667342897531,8,13.887279934439189,0.959406150056764,12,12.50773720732352
