,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Akhisar Belediyespor,0.8652837978084056,69,79.74262337369946,68,0.8193004775160145,1.0289007389107068,1.109012839664714,17,18,33,20.749408143323958,17.494398943727585,29.75619291294845,-29,-20.819690750848807,-0.9680932563378946,-7.212215992813299,0.9877407036637522,1.0722755401832942,78,78.9680932563379,107,99.7877840071867,50,44.14972606337653,-66,-55.85895364450302,28,34.81836719296137,41,43.928830362683684,0.8899511006349708,647,727.006236116088,0.9720695084633353,805,828.1300801961768,0.8773251813353821,268,305.47396302027437,0.8518445486438866,304,356.8726248045606,1.0909465679035117,977,895.5525675996354,1.1113032236420795,975,877.3483053568655,1.346294574661716,164,121.81583665759652,1.43058726763885,163,113.93922180576065,1.346141105344446,10,7.428641737703444,1.0431843277449588,7,6.710223508755955
1,Rizespor,0.9710161076585822,124,127.70128015589984,108,0.9333994124550717,1.1045598780250363,0.9845344928849011,31,31,46,33.21193434058665,28.06547713413989,46.72258852527345,-37,-29.84602735161289,13.500515513419288,-20.6544881618064,1.1075742706725051,1.1329583836533361,139,125.49948448658071,176,155.3455118381936,80,70.53614184804427,-108,-87.23415075074375,59,54.963342638536446,68,68.11136108744985,1.0618082193540797,1224,1152.750541660513,1.18488902540106,1539,1298.8558143485893,0.9050525588594274,439,485.0547028486833,0.9607807552572013,538,559.9612576086386,1.0580805403861322,1509,1426.1674252598114,1.0369152462491087,1452,1400.3073107974838,1.2661802589694449,246,194.28513298747964,1.1887127434329223,216,181.7091649713509,1.5907198818123671,19,11.94427769291007,1.3996591811837622,15,10.716894656679024
2,Bursaspor,0.8681748190301951,69,79.47708052288047,65,0.7679720113719727,1.2371277797466862,1.0297485273275122,16,21,28,20.834092601130337,16.974802719489453,27.19110467938021,-19,-14.53891858508942,-12.451761304033568,7.990679889122987,0.8392320446380204,0.9131359840067036,65,77.45176130403357,84,91.99067988912299,29,43.40242294023611,-46,-51.671371867764734,36,34.04933836379746,38,40.31930802135825,0.940611843198401,661,702.7340818422769,0.7625427442713463,590,773.7271181614601,0.7468479941661471,222,297.249241792317,0.7345891884093294,245,333.519746636239,1.0984885061425267,942,857.5419722031914,1.0947816974999593,926,845.8307278196294,1.2036221707769934,139,115.48474544156088,1.3060735954917153,144,110.25412388479253,0.7037166685500836,5,7.1051322548630935,1.0796938718920748,7,6.483319190960189
3,Gaziantep,1.1943571813138218,104,87.07612900656525,74,1.145503798887291,1.3695874499241445,0.68071951343189,26,26,22,22.697436730681858,18.983818814519676,32.31874445479846,7,-20.346648509015466,21.624581112115834,5.722067396899632,1.2503557307222402,0.9463834656086707,108,86.37541888788417,101,106.72206739689963,68,48.49070609204634,-64,-60.020289144825846,40,37.88471279583783,37,46.70177825207379,1.0414502201936067,825,792.1646027849815,0.9943647731791777,886,891.0211060346452,0.8810870224706681,293,332.54376982922156,0.8952425632974914,342,382.0193699686199,1.0701742472712714,1042,973.6732150459516,0.9909387595556715,950,958.6868924432545,1.333969361781195,177,132.68670561043405,1.4635738432235978,182,124.35313793196488,1.1049514255793087,9,8.145154430912147,2.5707157050212706,19,7.3909378477317045
4,Genclerbirligi,0.885464688183314,107,120.84050490994649,108,0.8675180455655964,0.9464633292451792,1.1132242386161717,27,26,55,31.123271888133218,27.47068924554684,49.40603886631994,-66,-39.58097690750924,-1.8839569018876148,-24.535066190603146,0.9845430280590239,1.1519529077413542,120,121.88395690188761,186,161.46493380939685,75,68.46802047849303,-111,-90.52897642762312,45,53.415936423394584,75,70.93595738177373,0.9838635641334171,1116,1134.303617578285,0.9895694262962798,1316,1329.871320828364,0.9228157984110748,436,472.4669871828319,0.978367265474888,561,573.4043030637347,1.0518916815904946,1505,1430.7556817298819,1.0035925337823128,1398,1392.9956161902228,1.4237830283987538,280,196.6591779892894,1.1120664363169883,200,179.84537026616198,1.3203709030793462,16,12.117807172730842,0.761097664836574,8,10.511134601520283
5,Kasimpasa,1.0129118417670053,174,171.78197827805067,141,1.0551457091600998,0.8496673354745485,1.04649917252828,48,30,63,45.49134738765909,35.3079361150734,60.20071649726749,-24,-31.654116825021788,41.109761879888765,-33.45564505486698,1.2448609421262373,1.167660192963444,209,167.89023812011123,233,199.54435494513302,115,94.13921416327861,-125,-111.99959399321723,94,73.75102395683263,108,87.54476095191579,1.0869233057485246,1657,1524.4865863455605,1.0904177998926137,1834,1681.9241213602857,1.0068955567375415,649,644.5554314519327,0.9836258179446948,712,723.8524924932713,1.0572175237330816,1963,1856.7607478436043,1.0153925380469555,1857,1828.8493665433314,1.2894369421947691,323,250.49693352993057,1.250743233560621,298,238.25833472762622,1.1063132317322684,17,15.366353318744414,1.0624361342130082,15,14.118495707143039
6,Denizlispor,0.8167318215807997,63,77.13670305886004,72,0.7638838287031348,0.9875339248048698,1.1424793507086604,15,18,39,19.63649371327298,18.227221919041092,34.13628436768592,-52,-31.44485965560594,-13.191113100840028,-7.364027243554034,0.833426850762373,1.0665608758171738,66,79.19111310084003,118,110.63597275644597,42,44.393514745626504,-65,-62.152564372062706,24,34.79759835521352,53,48.48340838438326,1.026716609874435,765,745.0936243191369,1.0733009678603418,968,901.8905497958672,0.8535482761331007,265,310.4686722589976,0.8913755429811976,347,389.28597798349006,1.0564182215533058,1007,953.2209682254027,1.0684186297952407,989,925.6671237467461,1.1975089709138966,158,131.94055646983585,1.1336066361809385,134,118.20678860123738,0.9837104957615282,8,8.132473969190388,0.7242982050900519,5,6.903234006189965
7,Konyaspor,0.9065844534392788,163,179.79571498455815,140,0.7812153132411528,1.3789662804047413,0.9284799084836494,37,52,51,47.36210283243449,37.709406487254675,54.928490680310844,-17,-17.332728790172922,-11.76602734978843,12.098756139961353,0.9318961746688399,0.9363554165969735,161,172.76602734978843,178,190.09875613996135,92,96.9611815345557,-109,-106.84686562639025,69,75.80484581523272,69,83.2518905135711,0.973050249368306,1499,1540.5165365027501,0.9724897837972841,1584,1628.8088845673524,0.83207515592024,544,653.7870961888761,0.8544700133922516,597,698.6787021699054,0.9482932630028483,1742,1836.9844730139855,0.9855253969424441,1799,1825.4222626644942,1.3567645419018823,334,246.17388624543963,1.2280937219765344,295,240.20968002769143,1.0526583328672208,16,15.199613683216047,1.6784553214898161,24,14.298861395188837
8,Besiktas,1.028032720507798,279,271.3921399916022,141,1.051588947460077,0.8502657135269635,1.0215860961038967,84,27,30,79.87912026166384,31.754779206610667,29.36610053172548,127,113.38046040165432,35.04047465772058,-21.420935059374898,1.139625999889542,1.1556990888738743,286,250.95952534227942,159,137.5790649406251,176,140.94390025752426,-88,-77.25638539068886,110,110.01562508475517,71,60.32267954993624,0.9712422608694427,1872,1927.428485581148,0.9950832116624517,1365,1371.7445777419366,0.9222565082452793,773,838.16161023438,0.9626178673939914,533,553.6984280615349,1.1035352108091652,1953,1769.7668192825186,1.1149042161728289,2086,1871.0127468713733,1.5196634927346924,340,223.73374212481542,1.4069470231432082,374,265.82379709255895,1.5780988124493245,19,12.039803750001315,1.726903474829187,28,16.213992506309342
9,Karagumruk,1.1841546423610623,60,50.66905778485756,39,1.1847397496590535,1.1818199811122627,0.7170284127539054,16,12,11,13.50507569667052,10.15383069484599,15.34109360848349,14,-4.219022580870416,15.608328620579513,2.6106939602909023,1.3225416311455873,0.9503771236649837,64,48.39167137942049,50,52.6106939602909,38,27.297935273435158,-33,-29.4923710567286,26,21.09373610598533,17,23.1183229035623,1.077181540042725,463,429.82541269843495,1.052158260420607,474,450.50256965194137,0.9580277248845266,175,182.6669473694962,0.8522639222864625,165,193.60200013786374,0.9915136186696939,506,510.3308623021197,1.1139941363086792,564,506.2863273848687,1.463698178891553,100,68.3200959338005,1.2183078051194076,82,67.30647185828633,1.4309627745430185,6,4.192981191922421,1.7207834341663506,7,4.067914567873101
