,Club,rPoints,Points,xPoints,Matches,rWins,rDraws,rLosses,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,rGoalsF,rGoalsA,GoalsF,xGoalsF,GoalsA,xGoalsA,SHGoalsF,xSHGoalsF,SHGoalsA,xSHGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,rShotsF,ShotsF,xShotsF,rShotsA,ShotsA,xShotsA,rShotsTF,ShotsTF,xShotsTF,rShotsTA,ShotsTA,xShotsTA,rFouls,Fouls,xFouls,rFoulsA,FoulsA,xFoulsA,rYCard,YCard,xYCard,rYCardA,YCardA,xYCardA,rRCard,RCard,xRCard,rRCardA,RCardA,xRCardA
0,Necaxa,1.030398836130823,233,226.12603181397375,181,1.003091983193613,1.1274042074800186,0.9102162822693407,59,56,66,58.818135314129066,49.671625871586535,72.5102388142844,-5,-28.62433216708763,9.106489075257315,14.517843091830315,1.041793300941406,0.9411083477376432,227,217.89351092474269,232,246.51784309183031,223.0,122.3365139000559,-221.0,-138.52005876512152,4.0,95.55699702468678,11.0,107.9977843267088,0.126029180109641,248.0,1967.798249454996,0.09487281455848992,200.0,2108.085450302502,0.09465533516938295,79.0,834.6069437991193,0.07612948394499036,69.0,906.3505546662843,0.10350464121185135,246.0,2376.705016507345,0.07905052738141648,186.0,2352.9254789478564,0.08405935527421646,27.0,321.20160703018996,0.10082042592709697,31.0,307.4773758882553,0.05077559651073625,1.0,19.694500285950454,0.10780447012178254,2.0,18.552106399119417
1,Club Tijuana,0.9662164303385657,417,431.580323938273,317,0.9640191522334323,0.9750265284653697,1.0544005218917616,111,84,122,115.14294061776266,86.15150208498501,115.70555729725234,-44,-1.9272174943362188,-22.07682080391021,-19.995961701753572,0.9456338808991739,1.0490092249703096,384,406.0768208039102,428,408.0040382982464,376.0,228.05662953550592,-417.0,-229.2766462642719,8.0,178.0201912684043,11.0,178.72739203397452,0.05634198587786047,201.0,3567.4993855511716,0.0654403477771271,234.0,3575.7756177724405,0.04119623600771137,63.0,1529.265925853208,0.04500002064494593,69.0,1533.332629876239,0.06076175274717195,252.0,4147.34579906813,0.05229372854536818,217.0,4149.637175167927,0.06204656755622527,34.0,547.975518052468,0.0639202392735929,35.0,547.5573996241187,0.08982865778930489,3.0,33.39691445726114,0.02999000420768379,1.0,33.34444347106121
2,Cruz Azul,0.9876241468647724,501,507.2779980020051,317,0.9566215623562115,1.1372888442649596,0.9346357661801288,134,99,84,140.07629063885057,87.04912608545337,89.87458327569608,97,107.59172458292778,-24.470902228926775,13.879177645998993,0.94720077978738,0.9610003098866186,439,463.4709022289268,342,355.879177645999,424.0,260.66984567274335,-332.0,-199.73220035748614,15.0,202.80105655618343,10.0,156.14697728851286,0.04399195652203346,169.0,3841.6113617350943,0.05717468372495246,190.0,3323.149121629146,0.03376729939757503,56.0,1658.4092005895382,0.04375127119665165,61.0,1394.2452032037968,0.05279005303089517,216.0,4091.6799207151175,0.0509369818956323,213.0,4181.637625025132,0.07411699587978189,39.0,526.1950992085294,0.05912077394207752,34.0,575.0939599219535,0.06456276531979024,2.0,30.977607450574077,0.056203148660664407,2.0,35.585194916308396
3,U.A.N.L.- Tigres,0.9686712671802103,520,536.8178221221667,317,0.9225849652528336,1.2142370120160888,0.9201388409774799,139,103,75,150.6636301643038,84.8269316292553,81.50943820644085,166,149.87608437498886,-23.381548951626712,39.50546457663785,0.9523196804577712,0.8839799395708484,467,490.3815489516267,301,340.50546457663785,453.0,276.21946417833385,-294.0,-191.06134748142483,14.0,214.16208477329286,7.0,149.44411709521302,0.057054142403363525,227.0,3978.676927525207,0.06186048919757794,201.0,3249.2468554204365,0.04423151196392102,76.0,1718.232016621816,0.04816913602540341,65.0,1349.4117886133631,0.0523172399849622,213.0,4071.3156898418883,0.04939284570856917,207.0,4190.890341110424,0.05409255513853241,28.0,517.631306716632,0.05650786502416077,33.0,583.9895028044391,0.10136767792696769,3.0,29.59523253715458,0.08330095515352254,3.0,36.01399281041905
4,Atlante,0.8313867350874111,63,75.77700887105956,68,0.8885656990258004,0.6528430634232941,1.2792378229739563,17,12,39,19.131956161078854,18.381140387822995,30.486903451098158,-52,-24.047625353463502,1.8742192347935855,-29.826593881330083,1.0246200330026725,1.2977496227491372,78,76.12578076520641,130,100.17340611866992,78.0,42.68355724187561,-130.0,-56.33100183127732,0.0,33.4422235233308,0.0,43.8424042873926,0.0,0.0,711.8015509278628,0.0,0.0,828.086736532516,0.0,0.0,298.49138339266597,0.0,0.0,357.7913428642663,0.0,0.0,897.6786012886989,0.0,0.0,877.8359865926404,0.0,0.0,123.2288515702572,0.0,0.0,112.41661756971659,0.0,0.0,7.587240627639124,0.0,0.0,6.636964177982184
5,Guadalajara Chivas,0.9405049816845072,401,426.3666942856403,317,0.8815343437095221,1.1626070808828797,0.9892253853520167,99,104,114,112.30418951507338,89.4541257404202,115.24168474450644,-30,-5.152682660755261,-49.79523544527808,24.94791810603334,0.876068128607613,0.938695059008674,352,401.7952354452781,382,406.94791810603334,349.0,225.74465055363953,-376.0,-228.79018504654857,3.0,176.05058489163855,6.0,178.15773305948477,0.05804593925248217,206.0,3548.913199663506,0.05207845570342496,186.0,3571.5344759688724,0.04679308772288779,71.0,1517.3181222933476,0.034663314884530325,53.0,1528.9939861941202,0.05667097891614531,235.0,4146.743262503439,0.05454517382295894,226.0,4143.35465743576,0.07071322601270559,39.0,551.5234164679825,0.06386113450158822,35.0,548.0641750755235,0.05945035495524818,2.0,33.641514865731565,0.05985921631610935,2.0,33.41173044161219
6,Club Leon,1.0270720800099367,502,488.76803271211816,317,1.071008741272055,0.811050795049283,1.0605553472487268,145,67,105,135.38638333407164,82.60888270990326,99.00473395602509,98,77.96977862983044,52.86876812188211,-32.838546751712556,1.1177134083969231,1.0884751001601056,502,449.1312318781179,404,371.16145324828744,491.0,252.60427870007118,-400.0,-208.33399928044923,11.0,196.5269531780467,4.0,162.8274539678382,0.05009167151389814,189.0,3773.0823166394275,0.05561343800996681,189.0,3398.459199126085,0.03379232800755835,55.0,1627.588368214765,0.04595368140511248,66.0,1436.2287847662474,0.04844709709859877,199.0,4107.573248300065,0.056564572052675774,236.0,4172.222849670372,0.06776901905262168,36.0,531.2161885071187,0.0849115047935776,48.0,565.2944217239988,0.06352800137091563,2.0,31.482180406129373,0.08614807653379983,3.0,34.82376067703569
7,Monarcas,1.0413504049916718,355,340.90350212408964,266,1.0488080295072084,1.0135110451967668,0.9487520140677016,94,73,99,89.62555334760998,72.02684208125972,104.34760457113032,-10,-30.988550222249103,40.9422578240476,-19.9537076017985,1.125953799930985,1.0560424529838448,366,325.0577421759524,376,356.0462923982015,366.0,182.56853539610964,-376.0,-200.06737318937687,0.0,142.48920677984276,0.0,155.97891920882464,0.0,0.0,2918.3073820491436,0.0,0.0,3068.6051128100835,0.0,0.0,1242.4563684328264,0.0,0.0,1317.3899468226307,0.0,0.0,3493.4933707495225,0.0,0.0,3467.6210340197995,0.0,0.0,469.01980337745454,0.0,0.0,454.41190866570275,0.0,0.0,28.76074917484468,0.0,0.0,27.421035709847192
8,Lobos BUAP,0.9631541904965529,71,73.71613050180059,68,1.065392492000046,0.6322254264818371,1.162472195091487,20,11,37,18.772424388362538,17.39885733671297,31.82871827492449,-41,-27.69750880216408,7.213577999869798,-20.51606919770572,1.0964557175881102,1.2001881566904773,82,74.7864220001302,123,102.48393080229428,82.0,41.99295103286903,-123.0,-57.87548755742695,0.0,32.79347096726117,0.0,44.60844324486733,0.0,0.0,705.5230182801595,0.0,0.0,838.1528549666737,0.0,0.0,294.9776319483898,0.0,0.0,362.440935058013,0.0,0.0,899.3644788532549,0.0,0.0,876.6489815010152,0.0,0.0,124.1008334865214,0.0,0.0,111.9953492873943,0.0,0.0,7.6420991454952,0.0,0.0,6.5244938787908895
9,Leones Negros,0.944980660342419,35,37.03779502462786,34,0.8774763511365259,1.1355857890878218,0.9870814320400381,8,11,15,9.117054823914321,9.686630552884898,15.196314623200783,-12,-12.894397282196195,-14.59350025637481,15.487897538571005,0.6118078881494905,0.6932354426773508,23,37.59350025637481,35,50.487897538571005,23.0,21.065553164164754,-35.0,-28.406130507812165,0.0,16.527947092210056,0.0,22.08176703075884,0.0,0.0,352.11795386980236,0.0,0.0,414.2421580048445,0.0,0.0,148.46429279358517,0.0,0.0,180.2985828149059,0.0,0.0,448.36460580852145,0.0,0.0,437.1131916167078,0.0,0.0,61.64257578460746,0.0,0.0,55.8217613596764,0.0,0.0,3.8159230121442054,0.0,0.0,3.2649999486230845
10,Dorados de Sinaloa,0.8608456415663461,29,33.68780487432478,34,0.8436794601200526,0.90941798642163,1.1238497161840266,7,8,19,8.296989948059094,8.796835030147502,16.906175021793405,-30,-18.61610260924686,-4.709980484809954,-6.673916905943187,0.8681046469119901,1.1228492194879647,31,35.709980484809954,61,54.32608309405681,31.0,19.943098302068314,-61.0,-30.6062097140858,0.0,15.76688218274164,0.0,23.719873379971013,0.0,0.0,343.6296569450169,0.0,0.0,434.30234038724683,0.0,0.0,142.49270519114606,0.0,0.0,188.37821321244004,0.0,0.0,449.9730025411368,0.0,0.0,435.08731269592283,0.0,0.0,62.92659050015736,0.0,0.0,54.7752558503789,0.0,0.0,3.8557588106446516,0.0,0.0,3.0806142495163926
11,Santos Laguna,1.0161473621971349,472,464.499557406154,317,0.971723843738563,1.215166600142319,0.8612629592045296,123,103,91,126.57917245992009,84.7620400263937,105.65878751368624,58,43.696501336655274,28.299267098141627,-13.9957684347969,1.066011706830042,1.036352245734802,457,428.7007329018584,399,385.0042315652031,447.0,240.96739453888833,-395.0,-216.31034936306497,10.0,187.73333836297004,4.0,168.69388220213813,0.06795706596519714,250.0,3678.793315297522,0.06468431073786449,224.0,3462.9726659339094,0.046826825837563285,74.0,1580.2907559162186,0.0421341688728276,62.0,1471.489806459287,0.05546690079151719,229.0,4128.588342455615,0.06483387220511463,270.0,4164.4898078245615,0.05930405306140096,32.0,539.592124788984,0.08754684068256334,49.0,559.7003800247849,0.061441257750428815,2.0,32.55141696681887,0.14584290467570427,5.0,34.28346419126787
12,Pachuca,0.9446424861152144,437,462.60887735119377,317,0.9238102166988397,1.0359904362406394,1.0613603208585836,116,89,112,125.56691612971821,85.90812896203911,105.52495490824266,39,42.781661247991735,8.009155190145805,-11.79081643813754,1.018713379707232,1.0306088664063326,436,427.9908448098542,397,385.20918356186246,428.0,240.34759282832073,-386.0,-216.21958231536252,8.0,187.64325198153347,11.0,168.98960124649994,0.07373309333832422,271.0,3675.4188347492327,0.0648875669698148,225.0,3467.536394216603,0.04618621174007318,73.0,1580.5582932592413,0.044753824858398475,66.0,1474.7342871547767,0.04413582428587545,182.0,4123.634325285378,0.04735574087298328,197.0,4160.002491110631,0.06117589056868771,33.0,539.4281912896374,0.04469366361255525,25.0,559.3634081269868,0.09217178970964054,3.0,32.54791959069685,0.029136381485313466,1.0,34.3213518296382
13,Veracruz,0.929116061849049,207,222.79240290825015,222,0.889595558386366,1.042593921445905,1.0331899222703094,49,60,113,55.08121026242635,57.548772120971066,109.3700176166026,-165,-121.25853928185981,-26.11095380065305,-17.63050691748714,0.8884676117167645,1.0496117625757861,208,234.11095380065305,373,355.36949308251286,208.0,131.1602139035434,-373.0,-199.2567477644306,0.0,102.95073989710966,0.0,156.11274531808226,0.0,0.0,2253.3090656112063,0.0,0.0,2842.512009067299,0.0,0.0,930.321514606383,0.0,0.0,1229.89987339646,0.0,0.0,2937.9267371199576,0.0,0.0,2834.4991608581963,0.0,0.0,409.86769162695975,0.0,0.0,359.9956597318979,0.0,0.0,25.13700257112376,0.0,0.0,20.524584494948844
14,Atl. San Luis,0.8494363592845269,107,125.96588176437986,112,0.8165788202348034,0.952524759354071,1.1465482228944546,26,29,57,31.840159646222297,30.44540282571297,49.714437528064735,-63,-37.458753155170456,-5.157313276568033,-20.38393356826151,0.9591199816909391,1.1245839361183139,121,126.15731327656803,184,163.6160664317385,110.0,70.82663302205296,-172.0,-91.94307622665826,11.0,55.330680254515066,12.0,71.67299020508023,0.16698505655911738,196.0,1173.7577244261406,0.16030526568636536,218.0,1359.9054221120437,0.13415968827324506,66.0,491.95105362481763,0.116204015175451,68.0,585.1777143615045,0.15822002258121098,234.0,1478.9531450097775,0.1360639035502236,197.0,1447.8490978122188,0.14241471925422988,29.0,203.6306370005969,0.15047916376751147,28.0,186.072272725144,0.157402853052538,2.0,12.706249989842554,0.4615801142316377,5.0,10.832355740288278
15,U.N.A.M.- Pumas,1.0549525579222692,429,406.65335780114725,317,1.048985066458303,1.0770901762012297,0.9040541550631406,112,93,112,106.76987078390596,86.34374544942936,123.88638376666466,3,-36.56713111892992,21.484807392786706,18.082323726143215,1.0554424905207878,0.9573612888005676,409,387.5151926072133,406,424.0823237261432,403.0,217.636021945965,-395.0,-238.5170226694973,6.0,169.87917066124828,11.0,185.56530105664592,0.06461532855239141,225.0,3482.145878397345,0.06345397187432315,232.0,3656.193507626266,0.04730956893812266,70.0,1479.6161024327807,0.047154388664382436,74.0,1569.3131031066703,0.050430766767491836,210.0,4164.124669533441,0.03846562875171828,159.0,4133.560406000055,0.06446349172632651,36.0,558.4556317990732,0.04057944178652461,22.0,542.1464424211383,0.11671022065391513,4.0,34.2729195231439,0.0,0.0,32.6405141762756
16,Juarez,0.9994263312722736,82,82.04706783701974,79,1.0303708890281786,0.9089153853673911,1.0340726037007684,21,19,39,20.38101058911583,20.90403606967225,37.71495334121192,-38,-38.08529729876088,-5.161581471866441,5.246878770627319,0.9393907278063924,0.9574278973799232,80,85.16158147186644,118,123.24687877062732,72.0,47.77847362384164,-109.0,-69.4019777727082,8.0,37.3831078480248,9.0,53.844900997919126,0.19408523729102786,157.0,808.9229360839067,0.23776259338232375,236.0,992.5867506858428,0.12201704904876255,41.0,336.0186164116694,0.16280181792753146,70.0,429.9706286520667,0.17583316576682323,184.0,1046.4464948780312,0.20728960493601245,210.0,1013.0754027189362,0.21350340767929676,31.0,145.19674574264906,0.255900927135595,33.0,128.95615646798416,0.33412186193591814,3.0,8.978759972837024,0.26593645101480123,2.0,7.520593707136018
