,team,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF_Diff,GoalsA_Diff,GoalsF,xGoalsF,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF100,ShotsF,xShotsF,ShotsA100,ShotsA,xShotsA,ShotsTF100,ShotsTF,xShotsTF,ShotsTA100,ShotsTA,xShotsTA,Fouls100,Fouls,xFouls,FoulsA100,FoulsA,xFoulsA,YCard100,YCard,xYCard,YCardA100,YCardA,xYCardA,RCard100,RCard,xRCard,RCardA100,RCardA,xRCardA
0,Monterrey,29,35.41802825519669,8,5,6,10.236207408710293,4.709406029065807,4.054386562223901,8,13.55711544752442,-8.385509526262837,2.828394078738416,24,32.38550952626284,16,18.828394078738416,0.0,14.182161012022533,0.0,8.2678290681225,0.0,0.0,253.21589454376607,0.0,0.0,186.30501434759066,0.0,0.0,109.37067943008864,0.0,0.0,75.9736188737939,0.0,0.0,242.26852736745252,0.0,0.0,252.74556971755715,0.0,0.0,29.97546405225661,0.0,0.0,35.87135623945723,0.0,0.0,1.6811363341827774,0.0,0.0,2.223996730481937
1,U.A.N.L.- Tigres,23,28.705889395780837,6,5,7,7.889142058023408,5.0384632217106144,5.072394720265978,-2,5.965312626781131,-7.21653517716959,-0.7487774496115414,19,26.21653517716959,21,20.25122255038846,0.0,11.38867917164156,0.0,8.873821694060616,0.0,0.0,215.5617915347878,0.0,0.0,189.9291281184687,0.0,0.0,93.07242819600975,0.0,0.0,79.56566175679056,0.0,0.0,234.8955425148585,0.0,0.0,239.15759490963654,0.0,0.0,30.38030234708455,0.0,0.0,32.97436207753647,0.0,0.0,1.796853863414508,0.0,0.0,2.019831994925108
2,Pachuca,30,32.17986798639784,8,6,8,8.64814274067039,6.235439764386664,7.1164174949429455,2,3.0957251937804138,-0.6604191317833212,-0.43530606199709254,29,29.66041913178332,27,26.564693938002907,0.0,13.013352848253092,0.0,11.61217654931048,0.0,0.0,256.3168236394887,0.0,0.0,240.60992902067827,0.0,0.0,109.26978791858205,0.0,0.0,101.10434216729062,0.0,0.0,286.2842057966968,0.0,0.0,289.1239957675599,0.0,0.0,37.71176925387887,0.0,0.0,39.205147497159395,0.0,0.0,2.253888540665197,0.0,0.0,2.4110579998708577
3,Juarez,15,18.110474323444205,4,3,10,4.500824516419875,4.608000774184583,7.891174709395543,-16,-7.12705238565043,-5.56515153208532,-3.3077960822642503,13,18.56515153208532,29,25.69220391773575,0.0,8.20491667763757,0.0,11.261344037481472,0.0,0.0,175.38153583512454,0.0,0.0,209.84719828009293,0.0,0.0,73.69509880738966,0.0,0.0,91.4624948802225,0.0,0.0,225.533159433059,0.0,0.0,218.38918353652434,0.0,0.0,31.040766038156725,0.0,0.0,27.745918519311793,0.0,0.0,1.9482508563408407,0.0,0.0,1.6479752974066404
4,Club Leon,27,29.773772953343116,8,3,7,8.397741993087351,4.580546974081064,5.021711032831584,2,7.41052231887722,-0.5108657621579269,-4.899656556719293,27,27.510865762157927,25,20.100343443280707,0.0,11.976595671620945,0.0,8.817111986543537,0.0,0.0,224.42800408728414,0.0,0.0,187.33676194506077,0.0,0.0,96.92123099979767,0.0,0.0,78.19829769021243,0.0,0.0,231.95887710721988,0.0,0.0,238.36911606470818,0.0,0.0,29.327549473195145,0.0,0.0,32.849014980107526,0.0,0.0,1.6803875556603463,0.0,0.0,2.024741961953492
5,Toluca,26,23.250112285122025,7,5,8,6.027790445333581,5.16674094912128,8.805468605545139,1,-6.430520567865862,8.105669479633868,-0.6751489117680052,31,22.894330520366132,30,29.324851088231995,0.0,10.08758763192916,0.0,12.82814742933915,0.0,0.0,211.85847608808578,0.0,0.0,242.18466173885415,0.0,0.0,89.01924621865618,0.0,0.0,104.71184604195217,0.0,0.0,262.2978562534182,0.0,0.0,257.7661911616566,0.0,0.0,35.78559943352812,0.0,0.0,33.220016631449695,0.0,0.0,2.1866994863215052,0.0,0.0,1.9591138326926925
6,Club America,44,28.402274104896478,14,2,3,7.674732075999612,5.378077876897644,5.947190047102746,17,3.5034145064833524,6.919536371991597,6.57704912152505,33,26.080463628008403,16,22.57704912152505,0.0,11.47426082321575,0.0,9.921356248517554,0.0,0.0,221.8683683521257,0.0,0.0,205.11326124333274,0.0,0.0,95.84240921695485,0.0,0.0,86.90080864053131,0.0,0.0,246.2918537549682,0.0,0.0,249.16252090053803,0.0,0.0,32.244587612023174,0.0,0.0,33.718331213857255,0.0,0.0,1.9053126147837771,0.0,0.0,2.0732071657925637
7,Atl. San Luis,12,18.632991602909044,3,3,11,4.675638484008772,4.606076150882727,7.7182853651085015,-13,-6.504584332124281,1.2198162209478127,-7.715231888823531,20,18.780183779052187,33,25.28476811117647,0.0,8.184457987439284,0.0,11.037473864883736,0.0,0.0,175.85172036598368,0.0,0.0,209.0939200361316,0.0,0.0,73.07065163283622,0.0,0.0,89.80680982658527,0.0,0.0,225.5182031838373,0.0,0.0,219.71701941084515,0.0,0.0,31.23506735070674,0.0,0.0,27.951820385039838,0.0,0.0,1.9617991453489518,0.0,0.0,1.5865258916801126
8,Mazatlan FC,21,18.1070735787362,6,3,8,4.529033527190663,4.519972997164212,7.950993475645125,-7,-7.441733783101384,0.5441924081773948,-0.10245862507601089,19,18.455807591822605,26,25.89754137492399,0.0,8.163381189576832,0.0,11.415269736748424,0.0,0.0,176.32730949013927,0.0,0.0,212.55150413006004,0.0,0.0,72.36682959132457,0.0,0.0,90.68033090013455,0.0,0.0,225.2080439182366,0.0,0.0,219.70198691836657,0.0,0.0,31.21907352232622,0.0,0.0,28.228624393084836,0.0,0.0,1.8910674492753083,0.0,0.0,1.6642532193070876
9,Club Tijuana,20,21.43095937502315,5,5,7,5.623910285799999,4.559228517623156,6.816861196576845,-2,-2.6026627152361925,-1.425938525824371,2.0286012410605636,19,20.42593852582437,21,23.028601241060564,0.0,8.970520241377933,0.0,10.012191208625962,0.0,0.0,184.7104849470132,0.0,0.0,196.76418335865196,0.0,0.0,79.16081179691878,0.0,0.0,85.44317284639749,0.0,0.0,223.42491459670066,0.0,0.0,221.34045584517554,0.0,0.0,29.70398615081859,0.0,0.0,28.56710407018902,0.0,0.0,1.8580853588526596,0.0,0.0,1.7263523118854978
