,team,Points,xPoints,Wins,Draws,Losses,xWins,xDraws,xLosses,GoalDiff,xGoalDiff,GoalsF,xGoalsF,GoalsA,xGoalsA,HTGoalsF,xHTGoalsF,HTGoalsA,xHTGoalsA,ShotsF,xShotsF,ShotsA,xShotsA,ShotsTF,xShotsTF,ShotsTA,xShotsTA,Fouls,xFouls,FoulsA,xFoulsA,YCard,xYCard,YCardA,xYCardA,RCard,xRCard,RCardA,xRCardA
0,Chile,16,18.118313072488103,4,4,5,4.900938997851876,3.4154960789324766,4.683564923215647,1,1.1340350566786057,15,17.98184264259598,14,16.847807585917373,8,7.920248222678417,7,7.417361065004764,148,151.5467421780996,130,147.52688193058611,47,64.96849557897607,47,62.77160290122417,196,168.15882271901205,196,168.33843573383007,37,22.412104794199696,28,22.293396746869025,1,1.2958633326879687,2,1.3463210683738915
1,Ecuador,19,19.683527987955788,6,1,6,5.566047141730679,2.9853865627637495,4.448566295505572,8,2.241739330621506,20,19.484127259390455,12,17.24238792876895,12,8.59044994898342,4,7.684952256505528,145,160.77168306716555,130,147.54433208908358,53,68.76913748840455,37,62.28582944546004,170,164.11477691080069,166,167.06808814685053,26,21.367928710447906,28,22.938090521218605,2,1.2462275205717779,0,1.3064295701676416
2,Brasil,34,27.242751633750082,11,1,0,8.268852207537487,2.4361950111376216,1.2949527813248927,23,17.335267460977157,27,26.995462791247057,4,9.6601953302699,10,11.873628056780282,2,4.24020988719122,158,187.24636110627935,87,105.3794882606054,72,82.0490733715244,27,40.628048161779,157,143.2946847815016,194,161.81821617073211,23,17.85906046957795,40,23.719306093132385,0,0.9003618950744787,3,1.481852342227394
3,Perú,14,13.523508870573405,4,2,7,3.467512380274018,3.120971729751349,6.411515889974632,-6,-6.627663139320557,13,14.617788936711282,19,21.24545207603184,7,6.496764589274725,10,9.397492183920432,134,135.91732907214055,146,169.0443660995116,51,55.920860031629715,52,72.83978349646128,207,169.98267512855048,187,163.88423886840712,29,23.673242114285458,28,21.372643176036256,3,1.4249487772480316,3,1.173240912677386
4,Uruguay,16,19.125009798603962,4,4,5,5.233029722612812,3.4259206307655257,4.341049646621663,-4,2.1187411076390923,14,18.684707420127385,18,16.565966312488293,5,8.236899580076189,10,7.261273787365391,121,155.8968028058305,145,145.1349248972149,42,66.65750677641383,62,60.908363027355634,166,167.97370445369938,167,169.52295878324367,20,22.178257942994605,22,23.023432755619737,1,1.3212912525347404,1,1.4057606665520024
5,Venezuela,7,9.365568401822582,2,1,10,2.0976006123312363,3.072766564828874,7.829632822839889,-15,-13.446245609273085,8,11.615551362476886,23,25.06179697174997,4,5.156719463369086,12,11.054669592316214,136,120.116251538331,153,185.7439146744824,38,48.25277635683193,59,81.45326818673371,182,173.37539535645794,166,159.48830843365877,30,25.201634059870777,20,19.854017358421086,2,1.5247594371768884,0,1.0226492117468564
6,Argentina,28,26.27452338887705,8,4,0,7.913243666571381,2.5347923891629103,1.5519639442657096,14,15.950840687125549,20,25.964283327011717,6,10.013442639886168,14,11.319124751041226,3,4.402714426466565,175,181.85852912356378,98,106.74227039658865,68,79.78503677835923,34,41.66285557588847,147,144.04229498642275,196,159.08531216384844,18,18.136258815228523,29,23.869870393085257,0,0.9346532930641442,1,1.4583327101863328
7,Bolivia,12,8.978471328152995,3,3,7,2.17778994837037,2.445101483041885,8.377108568587746,-11,-17.161661264008004,16,11.533988696094957,27,28.69564996010296,6,5.089712461749826,15,12.573938824505383,154,119.09546338231209,214,198.91729216468303,45,46.98551235635175,81,87.05613618971077,155,170.2406041672157,149,155.30822132669113,34,24.803452968585166,20,19.442274853603173,3,1.5101455346249124,0,1.0212744526051192
8,Colombia,18,19.444860760775548,4,6,3,5.285494129111239,3.58837837344183,4.12612749744693,-1,2.36565173396356,16,18.352853172753765,17,15.987201438790205,8,8.018266620887577,10,7.020981859796715,138,154.7169926640054,150,144.16049211905857,50,65.61179899876618,56,60.03475848315708,209,168.6859049189536,197,169.87543849936077,32,22.253527277535692,36,23.239105207685746,2,1.2975758239748618,3,1.4210011216479028
9,Paraguay,12,15.01983608967015,2,6,5,3.8658625262785673,3.4222485108344474,5.711888962886986,-9,-3.910705364403821,9,15.568894055166151,18,19.479599419569972,4,6.936740663095259,5,8.584960474863795,116,141.79293804710102,172,158.76513035301457,41,59.35513464620653,52,68.7146869156941,183,171.4513708158193,154,166.931016111811,32,23.534115211256534,30,21.667445258311037,1,1.4175284898945018,2,1.23649330066778
