,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,HO,AO,OddH,OddD,OddA,Margin,ProbH,ProbD,ProbA
0,2000-2001,E0,2000-08-19,Charlton,Man City,4.0,0.0,H,2.0,0.0,H,Rob Harris,17.0,8.0,14.0,4.0,13.0,12.0,1.0,2.0,0.0,0.0,8.0,6.0,2.0,3.0,3.2,0.048611111111111084,0.4513888888888889,0.2847222222222222,0.2638888888888889
1,2000-2001,E0,2000-08-19,Chelsea,West Ham,4.0,2.0,H,1.0,0.0,H,Graham Barber,17.0,12.0,10.0,5.0,19.0,14.0,1.0,2.0,0.0,0.0,2.0,3.0,1.47,3.4,5.2,0.055565816070017725,0.6247062927735196,0.2385518309888058,0.13674187623767456
2,2000-2001,E0,2000-08-19,Coventry,Middlesbrough,1.0,3.0,A,1.0,1.0,D,Barry Knight,6.0,16.0,3.0,9.0,15.0,21.0,5.0,3.0,1.0,0.0,1.0,3.0,2.15,3.0,3.0,0.043927648578811374,0.42118863049095606,0.28940568475452194,0.28940568475452194
3,2000-2001,E0,2000-08-19,Derby,Southampton,2.0,2.0,D,1.0,2.0,A,Andy D'Urso,6.0,13.0,4.0,6.0,11.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,3.1,3.2,0.04502688172043009,0.45497311827956993,0.27755376344086025,0.26747311827956993
4,2000-2001,E0,2000-08-19,Leeds,Everton,2.0,0.0,H,2.0,0.0,H,Dermot Gallagher,17.0,12.0,8.0,6.0,21.0,20.0,1.0,3.0,0.0,0.0,6.0,1.0,1.65,3.3,4.3,0.047216349541930956,0.5588442565186751,0.2558139534883721,0.18534178999295275
5,2000-2001,E0,2000-08-19,Leicester,Aston Villa,0.0,0.0,D,0.0,0.0,D,Mike Riley,5.0,5.0,4.0,3.0,12.0,12.0,2.0,3.0,0.0,0.0,1.0,4.0,2.15,3.1,2.9,0.04417483681265141,0.42094144225711605,0.27840580834863893,0.3006527493942452
6,2000-2001,E0,2000-08-19,Liverpool,Bradford,1.0,0.0,H,0.0,0.0,D,Paul Durkin,16.0,3.0,10.0,2.0,8.0,8.0,1.0,1.0,0.0,0.0,5.0,0.0,1.25,4.1,7.2,0.06093044263775971,0.7390695573622403,0.18297199638663056,0.07795844625112919
7,2000-2001,E0,2000-08-19,Sunderland,Arsenal,1.0,0.0,H,0.0,0.0,D,Steve Dunn,8.0,14.0,2.0,7.0,10.0,21.0,3.0,1.0,0.0,1.0,2.0,3.0,2.85,3.25,2.1,0.04491999228841337,0.30595720069404275,0.26277231540389434,0.4312704839020628
8,2000-2001,E0,2000-08-19,Tottenham,Ipswich,3.0,1.0,H,2.0,1.0,H,Alan Wiley,20.0,15.0,6.0,5.0,14.0,13.0,0.0,0.0,0.0,0.0,2.0,3.0,1.45,3.6,7.0,0.03676336434957128,0.6528918080642219,0.2410144134282065,0.10609377850757157
9,2000-2001,E0,2000-08-20,Man United,Newcastle,2.0,0.0,H,1.0,0.0,H,Steve Lodge,19.0,9.0,9.0,6.0,7.0,13.0,0.0,1.0,0.0,0.0,5.0,9.0,1.38,3.5,7.0,0.05106970324361626,0.6735679779158041,0.23464458247066944,0.09178743961352659
