Category: All categories

Time,Liga MX: (Mexico),Mexico national football team: (Mexico),Ultimate Fighting Championship: (Mexico),2022 Formula One World Championship: (Mexico),2022 FIFA World Cup: (Mexico)
2022-06-17T12,20,20,2,6,13
2022-06-17T13,19,22,2,8,13
2022-06-17T14,21,26,2,8,12
2022-06-17T15,22,26,2,9,12
2022-06-17T16,24,27,2,8,12
2022-06-17T17,23,28,2,7,11
2022-06-17T18,24,34,3,6,11
2022-06-17T19,30,41,3,7,11
2022-06-17T20,33,44,3,6,11
2022-06-17T21,32,36,3,7,11
2022-06-17T22,27,27,3,7,12
2022-06-17T23,27,24,3,6,12
2022-06-18T00,24,23,4,6,12
2022-06-18T01,23,21,3,6,13
2022-06-18T02,23,20,3,7,12
2022-06-18T03,24,22,4,6,12
2022-06-18T04,31,18,3,5,9
2022-06-18T05,27,19,2,6,15
2022-06-18T06,24,19,3,8,6
2022-06-18T07,24,20,4,14,9
2022-06-18T08,26,22,4,12,9
2022-06-18T09,24,20,3,12,11
2022-06-18T10,25,22,3,12,11
2022-06-18T11,27,21,3,13,11
2022-06-18T12,27,24,4,14,11
2022-06-18T13,26,23,5,19,10
2022-06-18T14,30,29,5,19,11
2022-06-18T15,35,32,8,24,10
2022-06-18T16,47,40,11,32,12
2022-06-18T17,48,45,12,18,12
2022-06-18T18,52,54,15,14,12
2022-06-18T19,53,59,18,12,12
2022-06-18T20,45,50,18,10,11
2022-06-18T21,38,37,14,10,11
2022-06-18T22,33,26,9,10,10
2022-06-18T23,31,18,7,9,14
2022-06-19T00,27,19,8,9,11
2022-06-19T01,29,17,6,11,10
2022-06-19T02,25,18,5,8,10
2022-06-19T03,29,17,6,10,8
2022-06-19T04,27,17,7,9,6
2022-06-19T05,19,12,2,9,4
2022-06-19T06,25,14,2,13,6
2022-06-19T07,26,16,2,21,6
2022-06-19T08,26,18,3,19,8
2022-06-19T09,26,19,3,22,8
2022-06-19T10,30,25,3,23,10
2022-06-19T11,33,25,3,27,12
2022-06-19T12,31,25,3,36,12
2022-06-19T13,32,27,2,65,10
2022-06-19T14,30,30,2,100,14
2022-06-19T15,33,35,5,78,15
2022-06-19T16,40,42,5,45,16
2022-06-19T17,48,44,4,28,14
2022-06-19T18,49,43,4,24,13
2022-06-19T19,47,45,4,19,13
2022-06-19T20,38,39,3,16,11
2022-06-19T21,32,44,4,13,11
2022-06-19T22,29,45,3,14,10
2022-06-19T23,28,43,2,12,11
2022-06-20T00,26,31,3,10,9
2022-06-20T01,25,25,4,8,9
2022-06-20T02,20,19,3,7,9
2022-06-20T03,28,19,2,10,7
2022-06-20T04,27,13,3,9,7
2022-06-20T05,25,16,4,8,4
2022-06-20T06,25,21,2,13,5
2022-06-20T07,22,18,2,12,7
2022-06-20T08,24,14,1,10,7
2022-06-20T09,23,13,1,8,8
2022-06-20T10,21,13,1,7,8
2022-06-20T11,22,14,2,6,10
2022-06-20T12,20,13,2,6,9
2022-06-20T13,22,15,2,6,9
2022-06-20T14,25,13,2,6,9
2022-06-20T15,24,14,2,6,10
2022-06-20T16,22,14,1,5,9
2022-06-20T17,24,15,2,4,10
2022-06-20T18,24,16,2,4,8
2022-06-20T19,24,20,2,4,8
2022-06-20T20,26,19,3,4,8
2022-06-20T21,28,19,2,4,9
2022-06-20T22,26,15,2,5,8
2022-06-20T23,28,14,3,3,8
2022-06-21T00,25,15,4,4,8
2022-06-21T01,23,15,4,4,7
2022-06-21T02,24,16,4,4,9
2022-06-21T03,26,17,3,2,9
2022-06-21T04,22,13,2,3,6
2022-06-21T05,25,12,2,3,7
2022-06-21T06,23,13,1,4,6
2022-06-21T07,22,11,2,4,7
2022-06-21T08,20,11,1,4,8
2022-06-21T09,19,10,1,4,9
2022-06-21T10,20,12,1,4,8
2022-06-21T11,21,13,2,4,9
2022-06-21T12,22,13,1,4,10
2022-06-21T13,22,14,2,3,9
2022-06-21T14,22,16,3,4,10
2022-06-21T15,23,19,2,4,11
2022-06-21T16,21,21,2,3,8
2022-06-21T17,23,23,2,3,9
2022-06-21T18,25,33,2,3,8
2022-06-21T19,27,47,2,3,8
2022-06-21T20,27,62,2,4,8
2022-06-21T21,29,75,3,3,9
2022-06-21T22,29,62,2,4,8
2022-06-21T23,29,49,2,4,10
2022-06-22T00,24,30,3,3,8
2022-06-22T01,22,20,3,4,8
2022-06-22T02,24,23,3,3,11
2022-06-22T03,26,20,4,4,6
2022-06-22T04,25,24,3,2,9
2022-06-22T05,31,29,1,3,5
2022-06-22T06,26,25,1,3,6
2022-06-22T07,22,20,1,4,7
2022-06-22T08,22,16,1,3,8
2022-06-22T09,20,13,1,3,9
2022-06-22T10,20,13,2,3,9
2022-06-22T11,20,14,2,3,8
2022-06-22T12,20,13,2,3,9
2022-06-22T13,20,14,1,3,10
2022-06-22T14,25,15,1,3,9
2022-06-22T15,23,14,2,3,9
2022-06-22T16,23,15,2,3,8
2022-06-22T17,26,14,1,3,7
2022-06-22T18,28,16,2,3,6
2022-06-22T19,34,22,2,3,7
2022-06-22T20,37,22,2,3,8
2022-06-22T21,49,21,2,3,9
2022-06-22T22,45,15,2,3,9
2022-06-22T23,46,14,2,3,8
2022-06-23T00,32,14,3,3,8
2022-06-23T01,30,12,4,3,8
2022-06-23T02,33,12,3,3,8
2022-06-23T03,29,13,4,3,8
2022-06-23T04,31,10,3,3,6
2022-06-23T05,34,8,1,3,5
2022-06-23T06,35,8,1,2,5
2022-06-23T07,29,9,1,3,7
2022-06-23T08,25,9,1,3,7
2022-06-23T09,21,9,1,3,9
2022-06-23T10,23,10,2,3,8
2022-06-23T11,23,9,2,3,8
2022-06-23T12,21,10,2,3,8
2022-06-23T13,21,13,2,3,9
2022-06-23T14,21,13,2,3,11
2022-06-23T15,23,14,2,4,10
2022-06-23T16,23,16,2,3,10
2022-06-23T17,23,17,2,3,8
2022-06-23T18,26,21,2,3,8
2022-06-23T19,28,28,2,3,8
2022-06-23T20,29,36,3,4,8
2022-06-23T21,30,57,3,3,9
2022-06-23T22,28,52,3,3,10
2022-06-23T23,27,48,3,4,9
2022-06-24T00,22,25,2,3,8
2022-06-24T01,24,19,2,3,7
2022-06-24T02,27,18,3,4,6
2022-06-24T03,23,19,3,3,8
2022-06-24T04,29,19,4,4,9
2022-06-24T05,28,27,2,4,3
2022-06-24T06,24,24,2,5,8
2022-06-24T07,27,20,2,6,7
2022-06-24T08,23,18,1,5,8
2022-06-24T09,22,13,1,4,8
2022-06-24T10,22,12,2,3,8
2022-06-24T11,21,12,2,3,8
