Teams,LIV,MNU,LEI,TOT,MNC,EVE,AVIL,CHE,SOU,WHM,ARS,LEE,WLV,CRP,NWC,BUR,BRI,FUL,WBR,SHE,TOTAL,,,
Liverpool,,,3,3,1,1,0,3,0,3,3,3,3,3,1,,1,1,1,3,33,,17,2
Man United,,,1,0,1,3,3,1,3,3,0,3,3,0,3,,3,,3,3,33,,16,3
Leicester City,0,1,,3,3,0,0,,,0,3,3,3,1,3,3,3,0,3,3,32,,17,2
Tottenham,0,3,0,,3,0,,1,3,1,3,3,1,1,1,3,3,,3,,29,,16,3
Man City,1,1,0,0,,,,3,3,1,3,1,3,,3,3,,3,1,3,29,,15,4
Everton,1,0,3,3,,,,3,0,0,3,0,,3,0,1,3,3,3,3,29,,16,3
Aston Villa,3,0,3,,,,,1,0,0,3,0,3,3,,1,0,3,3,3,26,,15,4
Chelsea,0,1,,1,0,0,1,,1,3,0,3,0,3,3,3,3,,1,3,26,,17,2
Southampton,3,0,,0,0,3,3,1,,1,1,,1,0,3,3,3,1,3,3,29,,17,2
West Ham,0,0,3,1,1,3,3,0,1,,0,3,3,1,0,,1,3,,3,26,,17,2
Arsenal,0,3,0,0,0,0,0,3,1,3,,1,0,,,0,3,3,3,3,23,,17,2
Leeds United,0,0,0,0,1,3,3,0,,0,1,,0,0,3,3,,3,3,3,23,,17,2
Wolves,0,0,0,1,0,,0,3,1,0,3,3,,3,1,0,1,3,,3,22,,17,2
Crystal Palace,0,3,1,1,,0,0,0,3,1,,3,0,,0,0,1,3,3,3,22,,17,2
Newcastle,1,0,0,1,0,3,,0,0,3,,0,1,3,,3,0,1,3,,19,,16,3
Burnley,,,0,0,0,1,1,0,0,,3,0,3,3,0,,1,,1,3,16,,15,4
Brighton,1,0,,0,0,0,3,0,0,1,0,,1,1,3,1,,1,1,1,14,,17,2
Fulham,1,,3,,0,0,0,,1,0,0,0,0,0,1,,1,,3,1,11,,15,4
West Brom,1,0,0,0,1,0,0,1,0,,0,0,,0,0,1,1,0,,3,8,,17,2
Sheffield United,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,,2,,17,2
,17,16,14,13,12,12,12,11,10,8,7,7,6,6,4,3,3,2,1,0,164,,,26
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,MATCHES,,380,,REMAINING,,216,,FIRST,26,SECOND,190,,,,,,,,,,,,
