Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
M'gladbach,0,56,201,517,701,695,651,533,457,350,300,218,145,94,50,22,10,0,0,0
Augsburg,0,0,0,1,12,11,42,53,95,138,201,356,482,668,827,919,793,402,0,0
Bielefeld,0,0,0,0,1,7,17,24,38,96,112,182,339,506,741,984,1181,772,0,0
Stuttgart,0,0,7,40,91,158,229,338,345,474,548,566,597,556,478,330,183,60,0,0
Union Berlin,0,7,47,145,294,387,431,536,547,503,531,501,394,306,208,105,46,12,0,0
Wolfsburg,0,14,108,322,481,561,566,558,539,498,437,306,253,182,94,55,23,3,0,0
Dortmund,162,1742,1800,733,317,117,66,24,20,14,3,1,0,0,0,1,0,0,0,0
Mainz,0,11,54,218,396,441,508,545,510,550,476,431,337,244,145,86,39,9,0,0
FC Koln,0,9,37,135,281,358,442,466,491,572,517,487,452,317,235,122,65,14,0,0
RB Leipzig,365,2226,1502,539,203,88,42,21,8,5,1,0,0,0,0,0,0,0,0,0
Bochum,0,0,0,2,6,17,25,58,94,124,203,293,425,631,807,903,907,505,0,0
Ein Frankfurt,0,7,28,171,258,350,401,491,500,477,541,521,448,318,229,164,79,17,0,0
Freiburg,0,23,91,299,452,538,533,509,557,458,426,373,280,227,138,62,29,5,0,0
Greuther Furth,0,0,0,0,0,1,0,3,1,11,10,29,62,123,245,505,1051,2959,0,0
Hertha,0,0,1,6,30,51,85,120,157,232,284,453,579,711,745,722,584,240,0,0
Leverkusen,30,404,859,1424,803,523,350,241,151,82,65,39,15,9,4,0,1,0,0,0
Hoffenheim,0,46,174,439,672,697,612,480,490,416,345,244,192,108,54,20,9,2,0,0
Bayern Munich,4443,455,91,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
