Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Brentford,0,0,0,1,7,41,65,127,184,215,305,346,413,485,522,577,565,521,411,215
Man United,19,128,674,1893,1139,604,299,121,65,31,9,8,7,2,0,1,0,0,0,0
Burnley,0,0,0,0,4,7,29,36,50,93,108,169,257,303,445,551,638,812,847,651
Chelsea,308,1171,2375,783,252,73,28,6,2,1,0,0,1,0,0,0,0,0,0,0
Everton,0,0,0,8,73,141,291,332,411,476,526,456,532,401,397,331,274,189,108,54
Leicester,0,0,2,42,109,284,409,565,523,506,512,438,362,374,301,217,172,110,52,22
Watford,0,0,0,0,1,3,6,17,29,50,78,99,166,221,320,380,587,863,1139,1041
Norwich,0,0,0,0,0,1,0,3,2,12,23,25,53,83,110,226,326,599,1174,2363
Newcastle,0,0,0,0,4,15,37,71,98,178,239,285,319,400,540,634,675,660,523,322
Tottenham,3,23,193,753,1190,1112,688,386,250,158,88,59,48,22,14,5,5,2,1,0
Liverpool,1150,2497,1102,209,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aston Villa,0,1,8,33,157,301,454,576,619,572,432,428,361,336,227,204,147,78,47,19
Crystal Palace,0,0,1,5,20,90,170,255,308,392,430,477,494,469,478,430,394,308,188,91
Leeds,0,0,0,4,30,89,153,249,350,380,418,472,476,484,467,437,394,286,214,97
Man City,3516,1140,314,25,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton,0,0,7,41,149,253,533,547,528,523,511,456,347,330,247,214,171,96,34,13
Southampton,0,0,0,16,50,126,212,295,371,391,437,494,470,480,474,379,329,256,144,76
Wolves,0,0,3,17,76,155,286,373,441,475,477,470,480,427,354,348,279,199,106,34
Arsenal,4,39,296,974,1297,1045,544,330,172,106,82,44,21,23,14,5,3,1,0,0
West Ham,0,1,25,196,400,655,796,711,597,441,325,274,193,160,90,61,41,20,12,2
