Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Monaco,149,1367,1057,781,551,385,339,156,104,52,31,10,10,7,0,1,0,0,0,0
Lyon,158,1367,1107,829,565,404,267,144,85,38,25,5,4,2,0,0,0,0,0,0
Troyes,0,0,0,4,5,4,20,44,89,137,188,255,317,352,448,454,540,623,694,826
Rennes,60,732,861,854,744,563,461,332,179,100,56,23,18,8,5,1,3,0,0,0
Bordeaux,0,0,0,4,5,7,19,50,94,154,215,274,325,368,432,490,573,579,663,748
Nice,12,225,422,544,628,689,656,589,469,320,169,119,71,32,19,21,9,4,1,1
St Etienne,0,0,3,7,18,37,94,142,225,336,411,433,492,474,471,408,410,364,388,287
Strasbourg,3,82,158,293,412,544,647,696,638,472,337,256,161,111,74,48,35,22,9,2
Metz,0,0,1,1,3,6,10,24,49,90,153,190,232,305,377,434,533,660,814,1118
Montpellier,0,2,1,21,41,71,114,197,313,364,475,466,459,462,421,447,346,348,247,205
Lorient,0,0,2,6,19,28,37,87,155,208,276,316,411,434,503,494,469,533,505,517
Lille,12,210,407,526,654,690,711,596,433,291,198,113,67,33,26,11,8,10,3,1
Paris SG,4571,334,70,14,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angers,0,0,7,14,29,48,101,189,286,391,478,459,459,443,422,421,410,350,274,219
Brest,0,0,2,5,23,35,63,112,181,286,306,434,426,466,482,474,470,445,437,353
Clermont,0,1,9,16,34,68,98,197,289,384,443,516,467,462,472,388,350,333,295,178
Nantes,0,2,10,30,41,110,165,239,374,482,514,492,485,448,352,370,318,219,204,145
Reims,0,1,2,4,17,40,66,104,167,259,340,381,406,479,427,482,487,484,460,394
Lens,6,136,215,340,478,570,580,676,597,461,301,209,147,96,62,54,37,24,5,6
Marseille,29,541,666,707,725,698,552,426,273,175,84,49,43,18,7,2,2,2,1,0
