Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Inter,2637,1087,579,336,188,102,54,12,4,1,0,0,0,0,0,0,0,0,0,0
Verona,0,0,12,29,58,147,272,477,675,721,676,603,458,353,217,146,85,41,26,4
Empoli,0,0,0,0,5,7,14,45,84,180,257,379,482,554,652,677,590,489,362,223
Torino,0,4,8,30,55,136,257,458,637,735,716,593,470,332,245,156,93,41,27,7
Bologna,0,0,0,5,12,40,101,184,353,455,576,655,612,580,515,371,240,179,93,29
Udinese,0,1,2,7,20,47,132,252,405,524,619,655,597,548,436,323,211,122,76,23
Napoli,495,867,993,854,740,473,329,154,62,17,8,6,1,1,0,0,0,0,0,0
Roma,71,241,391,559,783,938,775,552,322,181,95,44,21,21,2,4,0,0,0,0
Cagliari,0,0,0,0,0,3,6,23,51,96,137,238,348,475,538,670,761,699,600,355
Sampdoria,0,0,0,2,8,24,62,116,209,353,465,525,605,639,564,512,433,256,151,76
Atalanta,483,737,830,833,792,594,389,210,79,33,14,3,3,0,0,0,0,0,0,0
Lazio,41,144,243,432,624,839,895,719,437,277,175,76,56,20,13,4,4,1,0,0
Fiorentina,9,44,111,210,338,580,800,933,752,488,301,190,123,70,29,15,6,0,1,0
Juventus,934,1225,971,745,512,328,164,80,28,8,2,3,0,0,0,0,0,0,0,0
Genoa,0,0,0,0,0,3,8,19,54,106,152,272,413,473,634,682,724,634,525,301
Sassuolo,0,5,21,39,76,162,292,521,697,716,652,534,421,327,233,143,95,41,20,5
Milan,330,645,839,919,788,576,450,240,124,45,29,8,3,2,0,1,1,0,0,0
Salernitana,0,0,0,0,0,0,0,0,6,8,21,29,64,92,205,329,494,800,1195,1757
Spezia,0,0,0,0,1,1,0,5,18,42,77,132,214,324,447,599,727,861,831,721
Venezia,0,0,0,0,0,0,0,0,3,14,28,55,109,189,270,368,536,836,1093,1499
