Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Querétaro Women,0,0,1,2,13,50,116,239,409,666,769,829,697,540,357,182,89,41,0,0
Pumas UNAM Women,0,2,27,117,358,627,894,963,823,531,365,169,74,34,12,4,0,0,0,0
Puebla Women,0,0,0,1,9,28,82,149,282,491,651,760,740,717,502,313,189,86,0,0
América Women,74,651,1400,1500,771,369,151,64,17,3,0,0,0,0,0,0,0,0,0,0
Toluca Women,0,0,1,7,34,106,222,439,638,818,843,668,563,349,176,92,35,9,0,0
Pachuca Women,3,44,190,541,1047,1219,853,561,301,126,66,28,14,5,2,0,0,0,0,0
Tigres UANL Women,4158,708,106,23,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadalajara Women,115,914,1680,1318,581,270,81,31,6,3,1,0,0,0,0,0,0,0,0,0
Juárez W,0,0,0,0,0,0,0,1,3,14,42,86,213,344,601,952,1244,1500,0,0
Mazatlán W,0,0,0,0,0,0,0,2,4,21,42,83,139,322,515,863,1263,1746,0,0
Atlas Women,9,93,398,777,1382,1016,647,383,169,81,24,14,5,1,1,0,0,0,0,0
Cruz Azul Women,0,0,4,2,14,50,151,261,499,769,792,833,670,419,277,165,75,19,0,0
Monterrey Women,641,2576,1133,478,121,40,7,3,1,0,0,0,0,0,0,0,0,0,0,0
Atlético San Luis W,0,0,0,0,0,2,5,25,55,126,223,418,603,821,935,788,619,380,0,0
Necaxa Women,0,0,0,0,0,0,1,5,15,37,96,154,344,476,760,1019,1094,999,0,0
León Women,0,0,0,1,0,5,19,56,117,255,404,558,721,854,814,596,380,220,0,0
Tijuana Women,0,3,8,61,207,405,744,892,979,668,441,271,160,96,37,17,11,0,0,0
Santos Laguna Women,0,9,52,172,460,812,1026,926,682,391,241,129,57,22,11,9,1,0,0,0
