Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Go Ahead Eagles,0,0,0,1,8,42,91,151,229,299,371,413,411,514,511,569,683,707,0,0
Waalwijk,0,0,0,0,4,19,61,91,147,157,271,330,400,453,562,645,815,1045,0,0
Heracles,0,0,0,18,110,286,470,534,560,497,457,444,390,354,304,240,205,131,0,0
For Sittard,0,0,0,1,5,20,58,113,138,229,239,308,408,461,539,696,804,981,0,0
Ajax,4420,506,66,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambuur,0,0,0,0,25,104,175,276,338,364,428,441,513,487,488,529,460,372,0,0
Utrecht,0,40,214,867,1956,994,467,233,101,49,41,15,12,7,1,3,0,0,0,0
Zwolle,0,0,0,1,21,86,146,268,319,373,372,420,502,497,540,537,474,444,0,0
Willem II,0,0,0,7,19,106,191,309,362,452,462,473,525,461,484,427,400,322,0,0
Nijmegen,0,0,0,1,16,71,120,204,294,356,428,419,452,502,482,538,549,568,0,0
Heerenveen,0,0,1,14,97,232,426,507,518,511,540,508,430,371,327,237,175,106,0,0
PSV Eindhoven,411,2764,1308,436,67,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Sparta Rotterdam,0,0,1,8,54,199,359,452,528,559,488,463,390,429,344,310,231,185,0,0
Groningen,0,0,0,9,105,283,435,554,581,553,506,447,363,334,315,216,171,128,0,0
Twente,0,2,16,126,561,1013,964,705,504,348,246,194,128,71,57,38,20,7,0,0
Feyenoord,146,1302,2199,1040,249,51,9,1,2,0,0,1,0,0,0,0,0,0,0,0
Vitesse,0,8,52,229,834,1232,961,581,365,251,151,123,76,59,46,15,13,4,0,0
AZ Alkmaar,23,378,1143,2234,869,251,65,21,13,2,0,1,0,0,0,0,0,0,0,0
