Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,OddH,OddD,OddA
2012/2013,Liga MX,21/07/2012,Chiapas,U.A.N.L.- Tigres,0,4,A,,,,,,,,,,,,,,,2.74,3.1,2.51
2012/2013,Liga MX,21/07/2012,Club Tijuana,Puebla,2,0,H,,,,,,,,,,,,,,,1.93,3.26,3.83
2012/2013,Liga MX,21/07/2012,Cruz Azul,Monarcas,0,0,D,,,,,,,,,,,,,,,2,3.26,3.56
2012/2013,Liga MX,21/07/2012,Queretaro,Club Leon,0,2,A,,,,,,,,,,,,,,,3.26,3.18,2.16
2012/2013,Liga MX,22/07/2012,Monterrey,Club America,0,0,D,,,,,,,,,,,,,,,1.92,3.37,3.79
2012/2013,Liga MX,22/07/2012,Santos Laguna,Atl. San Luis,2,1,H,,,,,,,,,,,,,,,1.63,3.63,5.06
2012/2013,Liga MX,22/07/2012,Atlas,U.N.A.M.- Pumas,1,1,D,,,,,,,,,,,,,,,2.53,3.04,2.76
2012/2013,Liga MX,22/07/2012,Toluca,Guadalajara Chivas,2,1,H,,,,,,,,,,,,,,,2.47,3.09,2.79
2012/2013,Liga MX,23/07/2012,Atlante,Pachuca,0,0,D,,,,,,,,,,,,,,,2.6,3.11,2.65
2012/2013,Liga MX,28/07/2012,Monarcas,Monterrey,1,0,H,,,,,,,,,,,,,,,2.6,3.13,2.6
2012/2013,Liga MX,28/07/2012,Club Leon,Club Tijuana,4,0,H,,,,,,,,,,,,,,,1.88,3.29,3.99
2012/2013,Liga MX,28/07/2012,Club America,Chiapas,4,2,H,,,,,,,,,,,,,,,1.66,3.59,4.79
2012/2013,Liga MX,29/07/2012,Pachuca,Atlas,0,3,A,,,,,,,,,,,,,,,1.81,3.38,4.2
2012/2013,Liga MX,29/07/2012,U.A.N.L.- Tigres,Atlante,2,1,H,,,,,,,,,,,,,,,1.43,4.04,7.19
2012/2013,Liga MX,29/07/2012,Atl. San Luis,Cruz Azul,1,2,A,,,,,,,,,,,,,,,2.9,3.14,2.34
2012/2013,Liga MX,29/07/2012,Puebla,Toluca,1,3,A,,,,,,,,,,,,,,,2.41,3.15,2.8
2012/2013,Liga MX,29/07/2012,U.N.A.M.- Pumas,Queretaro,3,0,H,,,,,,,,,,,,,,,1.57,3.69,5.6
2012/2013,Liga MX,29/07/2012,Guadalajara Chivas,Santos Laguna,0,1,A,,,,,,,,,,,,,,,2.39,3.13,2.87
2012/2013,Liga MX,04/08/2012,Santos Laguna,Puebla,2,2,D,,,,,,,,,,,,,,,1.44,4.15,6.64
2012/2013,Liga MX,04/08/2012,Club Tijuana,U.N.A.M.- Pumas,1,0,H,,,,,,,,,,,,,,,2.55,3.05,2.72
2012/2013,Liga MX,04/08/2012,Monarcas,Atl. San Luis,3,3,D,,,,,,,,,,,,,,,1.67,3.54,4.86
