Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Querétaro Women,0,0,0,0,2,5,10,27,47,58,88,66,60,75,29,17,11,5,0,0
Pumas UNAM Women,0,1,3,8,37,72,87,94,81,48,35,17,11,2,4,0,0,0,0,0
Puebla Women,0,0,0,2,2,3,7,20,24,51,50,72,79,73,68,32,12,5,0,0
América Women,7,58,131,174,82,31,9,6,1,1,0,0,0,0,0,0,0,0,0,0
Toluca Women,0,0,0,1,4,11,30,30,66,88,81,78,57,22,16,9,7,0,0,0
Pachuca Women,0,2,25,44,102,132,96,51,26,12,5,3,2,0,0,0,0,0,0,0
Tigres UANL Women,420,67,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadalajara Women,9,98,176,121,56,27,9,2,2,0,0,0,0,0,0,0,0,0,0,0
Juárez W,0,0,0,0,0,0,0,0,1,2,3,6,17,38,61,85,121,166,0,0
Mazatlán W,0,0,0,0,0,0,0,0,1,3,4,9,20,25,55,84,140,159,0,0
Atlas Women,1,10,28,85,126,105,80,39,14,8,3,1,0,0,0,0,0,0,0,0
Cruz Azul Women,0,0,0,0,1,9,18,29,50,77,78,84,68,44,19,17,4,2,0,0
Monterrey Women,63,259,119,39,15,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético San Luis W,0,0,0,0,0,0,2,2,2,16,24,36,66,78,95,79,58,42,0,0
Necaxa Women,0,0,0,0,0,0,0,0,0,7,8,14,28,46,72,105,118,102,0,0
León Women,0,0,0,0,0,0,0,3,8,29,45,68,69,84,76,70,29,19,0,0
Tijuana Women,0,1,2,7,20,35,53,95,110,60,56,33,13,9,5,1,0,0,0,0
Santos Laguna Women,0,4,4,18,53,68,96,102,67,40,20,13,10,4,0,1,0,0,0,0
