Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Valencia,0,7,13,31,64,128,226,343,446,538,503,509,459,412,341,310,246,210,137,77
Cadiz,0,0,0,1,0,4,5,18,35,61,90,160,197,273,373,449,606,702,841,1185
Mallorca,0,1,3,5,17,27,65,137,203,287,353,453,472,480,488,456,471,468,366,248
Alaves,0,0,0,0,1,6,17,39,94,125,190,231,314,362,468,521,553,637,735,707
Osasuna,0,1,7,15,54,80,190,241,396,477,544,528,499,477,400,319,292,212,174,94
Celta,1,16,44,86,168,297,446,590,676,616,535,420,300,274,190,139,90,55,40,17
Barcelona,1233,1316,1070,616,391,179,115,34,31,9,3,2,0,1,0,0,0,0,0,0
Sevilla,171,356,640,931,838,746,526,345,197,107,77,25,23,10,4,2,1,0,1,0
Villarreal,141,309,540,797,853,787,589,419,253,146,61,46,27,19,5,6,0,1,1,0
Elche,0,0,0,0,1,3,8,18,35,73,123,176,196,262,342,450,591,694,894,1134
Betis,24,92,167,325,469,664,738,764,546,411,247,175,155,85,51,34,25,18,6,4
Espanol,0,0,3,9,26,77,146,264,330,450,523,484,485,449,422,404,318,263,211,136
Granada,0,0,0,2,4,11,20,39,84,133,195,248,317,379,455,556,592,610,648,707
Ath Bilbao,40,128,267,470,682,752,779,658,444,293,177,133,76,44,25,17,11,2,2,0
Sociedad,70,196,358,621,754,802,681,508,380,253,156,89,63,34,18,11,5,0,1,0
Ath Madrid,1190,1339,1075,646,384,175,97,59,23,8,1,2,1,0,0,0,0,0,0,0
Levante,0,1,0,13,14,34,70,95,193,257,352,371,432,460,494,466,465,487,424,372
Getafe,0,0,1,13,27,67,128,197,348,369,440,504,498,515,446,398,363,313,223,150
Vallecano,0,2,4,10,26,63,102,206,278,381,430,444,486,464,478,462,371,328,296,169
Real Madrid,2130,1236,808,409,227,98,52,26,8,6,0,0,0,0,0,0,0,0,0,0
