Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,6,16,21,37,71,77,102,169,185,262,328,429,445,529,545,585,616,577,0,0
Necaxa,24,48,88,115,166,226,253,306,351,417,488,482,455,410,382,354,266,169,0,0
Juarez,0,2,5,8,18,25,34,54,86,105,145,159,253,353,484,661,1069,1539,0,0
Pachuca,740,661,626,571,525,444,333,294,224,185,120,107,57,45,41,15,5,7,0,0
Guadalajara Chivas,81,151,250,264,329,393,395,428,456,430,371,325,332,272,234,149,97,43,0,0
U.N.A.M.- Pumas,12,24,41,64,83,130,177,226,273,344,365,453,483,469,548,508,469,331,0,0
Monterrey,1263,893,695,581,441,336,266,172,106,94,57,39,23,17,8,8,1,0,0,0
Club Tijuana,9,34,67,96,113,199,236,307,346,413,423,409,502,462,427,423,303,231,0,0
Cruz Azul,280,334,412,465,475,462,468,435,382,353,226,201,154,152,110,52,26,13,0,0
Mazatlan FC,1,5,5,6,17,34,37,79,91,142,196,250,332,436,498,707,926,1238,0,0
Puebla,21,60,97,127,171,219,280,345,420,384,468,454,460,440,401,314,220,119,0,0
Club Leon,316,486,476,431,490,432,431,354,365,282,275,223,178,104,64,56,30,7,0,0
Club America,893,777,634,615,475,403,341,253,187,137,115,58,49,38,15,8,2,0,0,0
Atlas,420,562,533,521,506,460,421,360,321,268,198,147,108,81,47,28,14,5,0,0
Toluca,7,16,19,51,72,104,183,181,243,299,353,449,462,509,567,574,500,411,0,0
Santos Laguna,195,261,351,362,410,459,477,439,417,334,323,257,214,171,139,110,61,20,0,0
Atl. San Luis,12,34,49,100,131,164,221,295,288,375,416,455,430,463,468,433,382,284,0,0
U.A.N.L.- Tigres,720,636,631,586,507,433,345,303,259,176,133,103,63,49,22,15,13,6,0,0
