,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,80.17,75.1,15.3,9.7,444943,185000,138910,28213,17877
2,Liverpool,74.18,68.3,17.8,14.0,411695,185000,126272,32879,25849
3,Chelsea,68.78,61.6,21.6,16.8,381756,185000,113916,40008,31076
4,Man United,59.79,52.3,22.4,25.3,331861,185000,96787,41500,46713
5,Arsenal,55.33,47.3,24.2,28.6,307073,185000,87456,44705,52839
6,Tottenham,53.85,45.9,23.9,30.2,298865,185000,84855,44300,55845
7,West Ham,47.78,39.6,24.5,35.9,265193,185000,73315,45248,66437
8,Aston Villa,43.26,34.8,25.5,39.8,240085,185000,64319,47128,73553
9,Brighton,43.25,34.6,26.1,39.4,240057,185000,63928,48273,72799
10,Leicester,42.61,34.5,24.4,41.1,236459,185000,63751,45206,76043
11,Wolves,40.77,31.9,26.6,41.5,226277,185000,59026,49199,76775
12,Everton,40.41,32.0,25.3,42.7,224298,185000,59181,46755,79064
13,Southampton,39.46,31.3,24.6,44.1,218998,185000,57825,45523,81652
14,Crystal Palace,38.32,29.7,25.7,44.5,212701,185000,55035,47596,82369
15,Leeds,38.31,30.3,23.9,45.8,212607,185000,56138,44193,84669
16,Brentford,35.79,27.2,25.7,47.1,198650,185000,50355,47585,87060
17,Newcastle,33.49,25.6,23.8,50.6,185862,185000,47274,44040,93686
18,Burnley,31.69,23.6,24.4,52.1,175876,185000,43592,45100,96308
19,Watford,29.12,21.2,23.6,55.1,161629,185000,39310,43699,101991
20,Norwich,25.05,17.7,22.2,60.2,139049,185000,32689,40982,111329
