,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Ajax,85.0,81.0,12.1,6.9,433484,170000,137641,20561,11798
2,PSV Eindhoven,73.63,67.8,17.4,14.8,375533,170000,115341,29510,25149
3,Feyenoord,69.11,62.7,19.3,18.0,352469,170000,106570,32759,30671
4,AZ Alkmaar,62.84,55.7,21.5,22.8,320485,170000,94632,36589,38779
5,Utrecht,55.17,47.6,22.6,29.7,281375,170000,80973,38456,50571
6,Vitesse,48.7,40.6,24.4,35.0,248361,170000,68940,41541,59519
7,Twente,46.64,38.6,24.3,37.2,237884,170000,65540,41264,63196
8,Groningen,39.58,31.4,24.5,44.1,201858,170000,53417,41607,74976
9,Heracles,39.48,31.3,24.5,44.2,201327,170000,53215,41682,75103
10,Heerenveen,39.16,31.1,24.3,44.6,199710,170000,52806,41292,75902
11,Sparta Rotterdam,38.23,30.1,24.3,45.5,194984,170000,51203,41375,77422
12,Willem II,35.83,27.9,23.8,48.3,182757,170000,47426,40479,82095
13,Cambuur,35.24,27.6,22.8,49.6,179749,170000,47004,38737,84259
14,Zwolle,34.74,26.8,23.7,49.5,177174,170000,45624,40302,84074
15,Nijmegen,34.29,26.3,24.0,49.7,174871,170000,44693,40792,84515
16,Go Ahead Eagles,33.06,25.3,23.4,51.3,168625,170000,42934,39823,87243
17,For Sittard,31.35,23.8,22.6,53.6,159862,170000,40502,38356,91142
18,Waalwijk,30.9,23.3,22.7,53.9,157593,170000,39640,38673,91687
