,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,82.63,78.3,13.0,8.7,421392,170000,133093,22113,14794
2,Dortmund,68.08,61.7,19.1,19.2,347197,170000,104916,32449,32635
3,RB Leipzig,67.39,61.0,19.3,19.8,343672,170000,103632,32776,33592
4,Leverkusen,59.43,52.3,21.3,26.3,303085,170000,88938,36271,44791
5,M'gladbach,54.03,46.4,22.7,30.8,275531,170000,78958,38657,52385
6,Wolfsburg,48.07,40.0,24.3,35.7,245142,170000,67925,41367,60708
7,Ein Frankfurt,45.85,38.0,23.4,38.5,233821,170000,64653,39862,65485
8,Schalke 04,43.98,35.9,24.2,39.9,224284,170000,61026,41206,67768
9,Hoffenheim,43.85,36.0,23.6,40.4,223621,170000,61174,40099,68727
10,Werder Bremen,40.09,32.5,22.8,44.7,204444,170000,55213,38805,75982
11,Hertha,39.99,32.0,23.9,44.1,203967,170000,54442,40641,74917
12,FC Koln,39.16,31.5,23.1,45.5,199720,170000,53502,39214,77284
13,Freiburg,36.68,28.8,23.6,47.6,187062,170000,48958,40188,80854
14,Mainz,35.37,27.6,23.5,49.0,180395,170000,46839,39878,83283
15,Union Berlin,34.92,27.0,23.8,49.2,178067,170000,45867,40466,83667
16,Augsburg,34.3,26.7,22.9,50.4,174935,170000,45322,38969,85709
17,Fortuna Dusseldorf,32.49,24.8,23.0,52.2,165706,170000,42210,39076,88714
18,Paderborn,27.39,20.6,20.3,59.1,139694,170000,35067,34493,100440
