Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,4576,366,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dortmund,218,2117,1716,652,203,65,17,7,3,2,0,0,0,0,0,0,0,0,0,0
Freiburg,0,0,0,15,63,105,183,222,297,362,416,485,490,549,522,503,462,326,0,0
Leverkusen,15,408,897,1889,957,417,198,91,57,30,23,6,5,2,3,1,1,0,0,0
Werder Bremen,0,1,4,37,150,232,326,439,471,525,491,520,461,395,345,301,206,96,0,0
Wolfsburg,1,20,71,325,671,874,749,638,485,386,243,172,145,82,61,39,31,7,0,0
M'gladbach,1,110,352,883,1427,850,517,315,210,149,76,41,38,18,9,3,0,1,0,0
Ein Frankfurt,0,12,43,188,443,690,717,658,569,443,336,290,195,174,110,74,40,18,0,0
Union Berlin,0,0,1,3,22,75,120,162,228,302,389,468,473,568,631,591,555,412,0,0
FC Koln,0,0,4,38,67,185,321,392,417,463,508,447,483,446,425,371,270,163,0,0
Augsburg,0,0,0,2,11,42,88,141,215,300,362,463,495,561,606,611,627,476,0,0
Fortuna Dusseldorf,0,0,0,0,13,28,50,96,143,191,254,333,444,560,609,703,865,711,0,0
Hoffenheim,0,2,27,118,305,520,603,569,594,533,446,334,318,224,159,133,74,41,0,0
Mainz,0,1,1,7,24,60,127,202,244,321,410,454,486,532,569,611,588,363,0,0
Paderborn,0,0,0,0,1,1,7,16,27,61,79,117,181,261,401,627,996,2225,0,0
Schalke 04,0,5,19,92,308,553,600,602,584,458,453,387,311,241,192,111,59,25,0,0
RB Leipzig,189,1958,1808,715,226,73,20,5,4,0,1,1,0,0,0,0,0,0,0,0
Hertha,0,0,5,30,109,230,357,445,452,474,513,482,475,387,358,321,226,136,0,0
