,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,81.05,76.3,14.1,9.5,461986,190000,145050,26836,18114
2,Liverpool,74.53,68.4,18.2,13.3,424798,190000,130045,34663,25292
3,Chelsea,63.01,55.7,22.0,22.4,359138,190000,105810,41708,42482
4,Man United,58.54,50.8,23.2,26.0,333674,190000,96537,44063,49400
5,Tottenham,56.3,48.5,23.3,28.2,320906,190000,92234,44204,53562
6,Leicester,54.15,46.0,24.4,29.6,308651,190000,87435,46346,56219
7,Arsenal,53.71,46.0,23.3,30.8,306171,190000,87305,44256,58439
8,Wolves,48.43,39.7,26.1,34.2,276044,190000,75488,49580,64932
9,Everton,46.68,38.2,25.4,36.4,266095,190000,72625,48220,69155
10,Southampton,40.14,32.1,24.2,43.7,228807,190000,60920,46047,83033
11,Sheffield United,39.23,30.6,25.8,43.6,223618,190000,58225,48943,82832
12,Brighton,38.06,29.7,25.2,45.1,216954,190000,56343,47925,85732
13,Watford,37.66,29.4,24.7,45.9,214687,190000,55918,46933,87149
14,West Ham,36.35,28.4,23.8,47.8,207220,190000,54021,45157,90822
15,Burnley,34.95,26.7,24.7,48.6,199220,190000,50743,46991,92266
16,Bournemouth,33.88,26.0,23.6,50.4,193123,190000,49419,44866,95715
17,Crystal Palace,33.67,25.4,24.9,49.8,191917,190000,48226,47239,94535
18,Aston Villa,32.27,24.5,23.2,52.3,183924,190000,46614,44082,99304
19,Newcastle,30.56,22.5,24.2,53.3,174195,190000,42748,45951,101301
20,Norwich,29.12,21.8,22.0,56.2,165996,190000,41418,41742,106840
