Rank,Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,Liverpool,1167,3195,485,112,29,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Man City,3777,1126,85,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Man United,6,135,920,1220,1018,704,489,279,130,56,28,8,4,3,0,0,0,0,0,0
4,Chelsea,46,401,2104,1097,651,381,182,88,34,9,3,1,3,0,0,0,0,0,0,0
5,Leicester,0,34,379,661,857,944,842,573,335,174,85,52,27,19,12,3,2,0,0,1
6,Tottenham,1,68,633,957,984,873,633,404,234,107,54,23,18,5,3,1,0,2,0,0
7,Wolves,1,3,65,185,320,510,669,876,775,553,359,229,171,117,72,42,23,19,10,1
8,Arsenal,2,35,277,593,800,893,898,608,378,231,123,51,53,22,17,10,5,4,0,0
9,Sheffield United,0,0,2,11,36,61,124,266,337,526,561,575,507,457,418,347,300,223,153,96
10,Burnley,0,0,0,1,5,12,38,79,157,253,328,384,467,448,483,572,506,466,443,358
11,Southampton,0,0,4,8,31,83,166,304,463,598,649,542,452,412,385,280,234,206,114,69
12,Everton,0,3,45,131,228,398,598,839,800,595,404,330,202,155,93,78,53,33,8,7
13,Newcastle,0,0,0,0,2,1,6,22,48,98,124,195,260,317,411,457,607,666,835,951
14,Crystal Palace,0,0,0,0,0,6,19,49,128,208,323,340,395,488,465,549,531,507,535,457
15,Brighton,0,0,1,4,13,58,115,200,345,472,500,529,486,466,445,392,359,258,223,134
16,West Ham,0,0,0,3,9,21,63,123,261,328,427,499,508,516,493,424,411,377,323,214
17,Aston Villa,0,0,0,0,0,4,14,33,81,146,191,254,344,395,470,517,571,643,672,665
18,Bournemouth,0,0,0,1,2,6,28,52,96,189,264,342,424,423,476,511,544,606,545,491
19,Watford,0,0,0,5,14,36,111,189,367,416,497,523,513,505,443,397,340,308,203,133
20,Norwich,0,0,0,0,1,0,2,15,31,41,80,123,166,252,314,420,514,682,936,1423
