,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,82.39,77.7,14.2,8.2,333662,135000,104847,19121,11032
2,Lyon,59.87,51.9,23.9,24.2,251460,140000,72670,33450,33880
3,Marseille,55.84,47.3,25.7,27.0,234515,140000,66170,36005,37825
4,Monaco,54.25,45.8,25.5,28.8,227841,140000,64054,35679,40267
5,Lille,52.22,43.2,27.2,29.7,219309,140000,60426,38031,41543
6,Rennes,48.69,39.3,28.2,32.5,204507,140000,54989,39540,45471
7,Reims,45.38,35.6,29.4,35.0,190601,140000,49805,41186,49009
8,Angers,45.24,35.8,28.2,36.0,190025,140000,50188,39461,50351
9,Montpellier,44.91,35.6,28.0,36.4,188638,140000,49800,39238,50962
10,Strasbourg,44.32,35.0,28.1,36.9,179499,135000,47184,37947,49869
11,St Etienne,44.17,34.8,28.0,37.2,185502,140000,48762,39216,52022
12,Nantes,43.56,34.0,28.6,37.4,182957,140000,47660,39977,52363
13,Nice,41.84,32.5,28.0,39.5,175731,140000,45521,39168,55311
14,Bordeaux,40.93,31.7,27.7,40.6,171923,140000,44393,38744,56863
15,Metz,36.39,26.9,28.5,44.6,152846,140000,37664,39854,62482
16,Nimes,36.27,27.4,26.5,46.0,152317,140000,38390,37147,64463
17,Amiens,35.12,26.2,26.8,47.0,147521,140000,36652,37565,65783
18,Brest,33.85,25.0,26.6,48.4,142175,140000,34964,37283,67753
19,Toulouse,33.71,24.9,26.3,48.8,141565,140000,34928,36781,68291
20,Dijon,33.67,24.9,26.2,48.9,141395,140000,34922,36629,68449
