Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Monaco,38,824,751,712,565,487,393,304,236,164,136,110,91,68,42,36,21,12,5,5
Marseille,34,879,1045,752,632,445,344,222,192,135,98,73,55,35,26,16,8,7,2,0
Angers,1,92,178,252,318,391,367,395,430,419,356,355,316,272,236,206,158,130,81,47
Brest,0,1,2,7,30,44,60,76,117,142,157,237,272,311,391,456,541,605,725,826
Dijon,0,2,9,7,16,34,54,94,107,143,163,248,302,311,397,432,550,630,684,817
Montpellier,1,79,182,262,330,391,377,406,420,374,360,349,310,293,266,212,153,119,74,42
Nice,0,33,73,146,179,248,319,354,342,396,382,378,387,342,305,319,250,245,162,140
Lille,16,503,685,696,611,512,392,369,305,245,183,147,110,77,53,41,27,13,14,1
Strasbourg,0,30,84,161,232,252,328,356,398,422,416,394,370,360,294,251,240,192,127,93
Paris SG,4758,199,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,136,1908,1008,675,425,303,155,135,82,59,44,19,20,12,11,5,1,0,2,0
Nantes,0,56,112,221,248,274,388,364,367,390,394,374,354,330,285,261,212,162,131,77
Amiens,0,2,8,22,39,50,71,100,131,166,223,248,309,394,396,491,526,590,594,640
Bordeaux,1,23,77,99,146,188,257,307,317,324,397,366,345,409,388,354,298,288,250,166
Metz,0,5,15,29,56,83,92,122,157,201,265,297,320,386,424,469,548,503,534,494
Nimes,1,2,9,32,65,81,111,140,147,201,240,269,313,347,448,463,497,552,559,523
Toulouse,0,1,9,12,18,39,54,64,116,149,132,227,255,283,373,424,491,616,775,962
St Etienne,2,61,176,183,282,312,360,376,379,371,387,336,353,298,277,262,211,149,134,91
Reims,6,79,182,272,338,400,379,389,404,395,375,316,295,276,262,196,180,113,93,50
Rennes,6,221,357,455,470,466,499,427,353,304,292,257,223,196,126,106,88,74,54,26
