Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Ath Bilbao,1,8,74,256,443,555,615,546,528,441,392,323,242,198,134,99,66,32,27,20
Celta,0,0,12,74,168,278,338,443,519,503,442,473,389,367,285,255,179,120,101,54
Valencia,3,24,140,420,652,750,661,536,533,371,253,179,156,106,85,51,39,30,8,3
Mallorca,0,0,0,1,2,6,16,29,53,67,114,131,170,216,292,385,519,682,928,1389
Leganes,0,0,2,22,77,107,156,198,268,386,382,423,452,426,459,415,411,353,292,171
Villarreal,3,20,150,459,758,702,627,552,461,346,268,206,139,106,68,55,38,33,8,1
Alaves,0,0,0,2,12,22,32,74,119,174,203,269,308,388,447,520,568,633,619,610
Espanol,0,0,2,17,25,78,121,156,194,266,358,389,458,461,470,450,445,450,369,291
Betis,0,2,30,83,183,272,346,469,464,473,474,439,392,363,281,242,207,148,77,55
Ath Madrid,264,916,2027,1023,396,176,97,54,28,12,5,2,0,0,0,0,0,0,0,0
Granada,0,0,0,7,28,38,56,111,141,184,275,346,388,390,474,482,507,516,544,513
Levante,0,0,1,4,12,31,38,71,102,138,218,270,324,390,482,496,539,619,644,621
Osasuna,0,1,4,11,40,90,154,191,210,312,379,387,450,487,496,488,431,362,295,212
Real Madrid,1397,2339,919,253,68,18,4,1,0,1,0,0,0,0,0,0,0,0,0,0
Getafe,0,9,75,240,439,535,620,602,533,441,384,301,257,186,128,118,66,43,13,10
Barcelona,3254,1339,317,74,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sevilla,77,314,1058,1511,856,478,289,160,110,69,24,23,17,6,5,1,0,1,1,0
Sociedad,1,27,189,519,748,744,643,545,383,330,239,185,125,119,76,49,42,23,9,4
Eibar,0,1,0,22,75,106,153,208,256,353,405,388,409,439,424,426,410,372,324,229
Valladolid,0,0,0,2,4,13,33,54,98,133,185,266,324,352,394,468,533,583,741,817
