,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Cruz Azul,82.35,76.5,17.6,5.9,42,17,13,3,1
2,Monterrey,58.82,47.1,35.3,17.6,30,17,8,6,3
3,Atlas,58.82,52.9,17.6,29.4,30,17,9,3,5
4,U.A.N.L.- Tigres,56.86,47.1,29.4,23.5,29,17,8,5,4
5,Pachuca,56.86,52.9,11.8,35.3,29,17,9,2,6
6,Necaxa,52.94,41.2,35.3,23.5,27,17,7,6,4
7,Club America,52.94,47.1,17.6,35.3,27,17,8,3,6
8,Santos Laguna,50.98,47.1,11.8,41.2,26,17,8,2,7
9,Club Leon,47.06,35.3,35.3,29.4,24,17,6,6,5
10,U.N.A.M.- Pumas,47.06,41.2,17.6,41.2,24,17,7,3,7
11,Guadalajara Chivas,43.14,35.3,23.5,41.2,22,17,6,4,7
12,Mazatlan FC,37.25,29.4,23.5,47.1,19,17,5,4,8
13,Club Tijuana,37.25,23.5,41.2,35.3,19,17,4,7,6
14,Puebla,33.33,29.4,11.8,58.8,17,17,5,2,10
15,Atl. San Luis,33.33,17.6,47.1,35.3,17,17,3,8,6
16,Juarez,25.49,17.6,23.5,58.8,13,17,3,4,10
17,Queretaro,25.49,11.8,41.2,47.1,13,17,2,7,8
18,Toluca,21.57,11.8,29.4,58.8,11,17,2,5,10
