,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Club Leon,72.55,64.7,23.5,11.8,37,17,11,4,2
2,Puebla,66.67,58.8,23.5,17.6,34,17,10,4,3
3,Atlas,62.75,52.9,29.4,17.6,32,17,9,5,3
4,Club America,62.75,52.9,29.4,17.6,32,17,9,5,3
5,Monterrey,58.82,47.1,35.3,17.6,30,17,8,6,3
6,Cruz Azul,58.82,47.1,35.3,17.6,30,17,8,6,3
7,Pachuca,50.98,41.2,29.4,29.4,26,17,7,5,5
8,Santos Laguna,49.02,41.2,23.5,35.3,25,17,7,4,6
9,Guadalajara Chivas,45.1,35.3,29.4,35.3,23,17,6,5,6
10,U.A.N.L.- Tigres,43.14,35.3,23.5,41.2,22,17,6,4,7
11,Necaxa,39.22,35.3,11.8,52.9,20,17,6,2,9
12,Club Tijuana,37.25,29.4,23.5,47.1,19,17,5,4,8
13,Toluca,35.29,23.5,35.3,41.2,18,17,4,6,7
14,Queretaro,33.33,23.5,29.4,47.1,17,17,4,5,8
15,Atl. San Luis,27.45,11.8,47.1,41.2,14,17,2,8,7
16,Juarez,23.53,11.8,35.3,52.9,12,17,2,6,9
17,U.N.A.M.- Pumas,21.57,5.9,47.1,47.1,11,17,1,8,8
18,Mazatlan FC,21.57,11.8,29.4,58.8,11,17,2,5,10
