,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atlas,66.67,58.8,23.5,17.6,34,17,10,4,3
2,U.A.N.L.- Tigres,64.71,58.8,17.6,23.5,33,17,10,3,4
3,Cruz Azul,62.75,58.8,11.8,29.4,32,17,10,2,5
4,Santos Laguna,58.82,52.9,17.6,29.4,30,17,9,3,5
5,U.N.A.M.- Pumas,56.86,47.1,29.4,23.5,29,17,8,5,4
6,Club Leon,50.98,41.2,29.4,29.4,26,17,7,5,5
7,Monterrey,50.98,47.1,11.8,41.2,26,17,8,2,7
8,Club Tijuana,47.06,41.2,17.6,41.2,24,17,7,3,7
9,Pachuca,45.1,35.3,29.4,35.3,23,17,6,5,6
10,Toluca,45.1,35.3,29.4,35.3,23,17,6,5,6
11,Necaxa,45.1,35.3,29.4,35.3,23,17,6,5,6
12,Queretaro,41.18,35.3,17.6,47.1,21,17,6,3,8
13,Puebla,39.22,35.3,11.8,52.9,20,17,6,2,9
14,Juarez,37.25,35.3,5.9,58.8,19,17,6,1,10
15,Guadalajara Chivas,35.29,29.4,17.6,52.9,18,17,5,3,9
16,Club America,31.37,23.5,23.5,52.9,16,17,4,4,9
17,Mazatlan FC,31.37,29.4,5.9,64.7,16,17,5,1,11
18,Atl. San Luis,29.41,17.6,35.3,47.1,15,17,3,6,8
