,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Santos Laguna,56.86,52.9,11.8,35.3,29,17,9,2,6
2,Cruz Azul,56.86,41.2,47.1,11.8,29,17,7,8,2
3,U.A.N.L.- Tigres,54.9,41.2,41.2,17.6,28,17,7,7,3
4,Club Leon,54.9,47.1,23.5,29.4,28,17,8,4,5
5,Necaxa,50.98,41.2,29.4,29.4,26,17,7,5,5
6,Club America,50.98,41.2,29.4,29.4,26,17,7,5,5
7,Atl. San Luis,49.02,35.3,41.2,23.5,25,17,6,7,4
8,Monterrey,49.02,35.3,41.2,23.5,25,17,6,7,4
9,Puebla,49.02,29.4,58.8,11.8,25,17,5,10,2
10,Toluca,47.06,41.2,17.6,41.2,24,17,7,3,7
11,U.N.A.M.- Pumas,47.06,35.3,35.3,29.4,24,17,6,6,5
12,Atlas,47.06,35.3,35.3,29.4,24,17,6,6,5
13,Guadalajara Chivas,45.1,29.4,47.1,23.5,23,17,5,8,4
14,Pachuca,37.25,23.5,41.2,35.3,19,17,4,7,6
15,Queretaro,35.29,23.5,35.3,41.2,18,17,4,6,7
16,Juarez,25.49,11.8,41.2,47.1,13,17,2,7,8
17,Mazatlan FC,23.53,5.9,52.9,41.2,12,17,1,9,7
18,Club Tijuana,11.76,5.9,17.6,76.5,6,17,1,3,13
