,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,U.A.N.L.- Tigres,72.55,64.7,23.5,11.8,37,17,11,4,2
2,Cruz Azul,64.71,58.8,17.6,23.5,33,17,10,3,4
3,Club Leon,62.75,58.8,11.8,29.4,32,17,10,2,5
4,Pachuca,56.86,47.1,29.4,23.5,29,17,8,5,4
5,Monterrey,54.9,47.1,23.5,29.4,28,17,8,4,5
6,Atlas,52.94,41.2,35.3,23.5,27,17,7,6,4
7,Necaxa,47.06,35.3,35.3,29.4,24,17,6,6,5
8,Toluca,45.1,41.2,11.8,47.1,23,17,7,2,8
9,Club America,45.1,29.4,47.1,23.5,23,17,5,8,4
10,Atl. San Luis,41.18,29.4,35.3,35.3,21,17,5,6,6
11,Club Tijuana,41.18,29.4,35.3,35.3,21,17,5,6,6
12,Guadalajara Chivas,39.22,35.3,11.8,52.9,20,17,6,2,9
13,Santos Laguna,39.22,29.4,29.4,41.2,20,17,5,5,7
14,U.N.A.M.- Pumas,35.29,23.5,35.3,41.2,18,17,4,6,7
15,Queretaro,33.33,17.6,47.1,35.3,17,17,3,8,6
16,Puebla,31.37,17.6,41.2,41.2,16,17,3,7,7
17,Mazatlan FC,25.49,17.6,23.5,58.8,13,17,3,4,10
18,Juarez,23.53,11.8,35.3,52.9,12,17,2,6,9
