,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Atl. San Luis,43.14,33.3,29.4,37.3,198,153,51,45,57
2,Atlas,50.33,38.6,35.3,26.1,231,153,59,54,40
3,Club America,64.49,56.9,22.9,20.3,296,153,87,35,31
4,Club Leon,51.85,41.8,30.1,28.1,238,153,64,46,43
5,Club Tijuana,36.6,28.1,25.5,46.4,168,153,43,39,71
6,Cruz Azul,52.94,43.1,29.4,27.5,243,153,66,45,42
7,Guadalajara Chivas,46.41,35.3,33.3,31.4,213,153,54,51,48
8,Juarez,29.63,21.6,24.2,54.2,136,153,33,37,83
9,Mazatlan FC,34.86,24.8,30.1,45.1,160,153,38,46,69
10,Monterrey,54.9,47.1,23.5,29.4,252,153,72,36,45
11,Necaxa,43.79,34,29.4,36.6,201,153,52,45,56
12,Pachuca,50.33,41.2,27.5,31.4,231,153,63,42,48
13,Puebla,52.94,44.4,25.5,30.1,243,153,68,39,46
14,Queretaro,33.33,22.9,31.4,45.8,153,153,35,48,70
15,Santos Laguna,49.46,40.5,26.8,32.7,227,153,62,41,50
16,Toluca,40.31,33.3,20.9,45.8,185,153,51,32,70
17,U.A.N.L.- Tigres,47.71,39.9,23.5,36.6,219,153,61,36,56
18,U.N.A.M.- Pumas,33.99,24.2,29.4,46.4,156,153,37,45,71
