Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Queretaro,4,9,8,18,19,22,39,30,34,49,51,61,83,92,86,113,134,148,0,0
Necaxa,17,29,27,38,41,58,60,79,72,91,85,56,75,68,62,62,52,28,0,0
Juarez,1,0,2,5,10,9,21,26,28,35,47,59,69,79,97,135,168,209,0,0
Pachuca,79,86,92,94,78,84,70,83,68,45,52,43,33,26,25,19,16,7,0,0
Guadalajara Chivas,14,31,37,54,50,71,59,71,86,72,78,58,68,64,77,42,41,27,0,0
U.N.A.M.- Pumas,3,9,5,17,24,22,37,45,54,44,50,67,86,107,108,105,102,115,0,0
Monterrey,186,135,120,99,83,87,64,48,48,30,34,26,12,10,9,4,4,1,0,0
Club Tijuana,10,14,15,20,41,39,52,60,59,70,67,85,79,99,75,91,66,58,0,0
Cruz Azul,98,92,107,88,93,69,69,66,74,59,51,42,27,25,18,11,6,5,0,0
Mazatlan FC,2,6,5,11,13,25,15,22,30,47,64,48,70,72,95,113,158,204,0,0
Puebla,9,15,27,29,49,45,63,53,58,77,78,81,82,80,84,70,61,39,0,0
Club Leon,113,112,100,99,84,63,67,64,54,47,36,44,40,25,28,15,8,1,0,0
Club America,201,140,137,95,90,73,63,39,43,38,25,18,13,8,10,5,2,0,0,0
Atlas,119,111,102,105,90,87,70,66,52,51,37,36,27,23,9,9,4,2,0,0
Toluca,11,19,24,38,38,51,43,60,69,74,85,99,80,67,66,57,65,54,0,0
Santos Laguna,50,92,79,82,90,63,69,76,66,57,56,54,42,39,32,24,18,11,0,0
Atl. San Luis,6,11,21,19,26,39,65,60,45,53,57,77,76,86,94,96,84,85,0,0
U.A.N.L.- Tigres,77,89,92,89,81,93,74,52,60,61,47,46,38,30,25,29,11,6,0,0
