,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,76.44,70.9,16.5,12.5,16052,7000,4965,1157,878
2,Liverpool,71.68,65.3,19.2,15.5,17202,8000,5222,1536,1242
3,Chelsea,66.02,58.7,22.0,19.3,15845,8000,4696,1757,1547
4,Man United,61.23,53.6,23.0,23.4,13776,7500,4017,1725,1758
5,Tottenham,55.39,47.3,24.3,28.4,12463,7500,3547,1822,2131
6,Arsenal,50.29,42.2,24.3,33.5,12069,8000,3374,1947,2679
7,Everton,49.98,41.5,25.4,33.1,11246,7500,3114,1904,2482
8,Leicester,49.93,41.7,24.7,33.6,11983,8000,3336,1975,2689
9,Southampton,44.32,35.3,27.0,37.7,10638,8000,2826,2160,3014
10,Wolves,43.57,34.6,27.0,38.4,10456,8000,2766,2158,3076
11,Aston Villa,43.48,35.0,25.5,39.5,9130,7000,2449,1783,2768
12,Leeds,42.31,34.2,24.5,41.4,10155,8000,2732,1959,3309
13,Brighton,40.77,32.0,26.3,41.7,9784,8000,2561,2101,3338
14,West Ham,37.79,29.8,23.9,46.2,9070,8000,2385,1915,3700
15,Crystal Palace,35.58,26.5,27.3,46.2,8539,8000,2119,2182,3699
16,Burnley,31.88,23.6,24.8,51.6,7174,7500,1772,1858,3870
17,Fulham,31.34,23.1,24.9,52.1,7052,7500,1729,1865,3906
18,Sheffield United,31.33,23.1,24.6,52.3,7520,8000,1851,1967,4182
19,Newcastle,30.73,22.5,24.7,52.8,6915,7500,1688,1851,3961
20,West Brom,27.9,20.2,23.1,56.7,6695,8000,1615,1850,4535
