,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Barcelona,69.85,62.5,22.2,15.4,159248,76000,47470,16838,11692
2,Real Madrid,64.98,56.9,24.2,18.9,148146,76000,43255,18381,14364
3,Valencia,56.82,48.0,26.4,25.6,129561,76000,36494,20079,19427
4,Villarreal,50.29,41.3,27.0,31.7,114667,76000,31382,20521,24097
5,Sevilla,49.71,40.6,27.3,32.1,113348,76000,30856,20780,24364
6,La Coruna,49.39,40.3,27.2,32.5,112605,76000,30643,20676,24681
7,Ath Madrid,47.82,38.8,27.1,34.1,109030,76000,29470,20620,25910
8,Osasuna,45.92,36.9,27.0,36.1,104692,76000,28058,20518,27424
9,Celta,45.27,36.3,26.9,36.8,103223,76000,27583,20474,27943
10,Betis,44.13,35.0,27.5,37.5,100612,76000,26565,20917,28518
11,Zaragoza,42.77,33.8,27.0,39.3,97509,76000,25671,20496,29833
12,Ath Bilbao,42.3,33.3,27.1,39.7,96438,76000,25290,20568,30142
13,Espanol,41.67,32.7,26.9,40.4,95011,76000,24846,20473,30681
14,Getafe,40.17,31.2,27.0,41.8,91598,76000,23680,20558,31762
15,Sociedad,39.39,30.4,27.0,42.6,89813,76000,23086,20555,32359
16,Santander,37.28,28.5,26.4,45.1,84997,76000,21637,20086,34277
17,Mallorca,36.55,27.8,26.3,45.9,83339,76000,21126,19961,34913
18,Malaga,36.21,27.5,26.2,46.3,82558,76000,20885,19903,35212
19,Alaves,35.78,26.9,26.6,46.5,81575,76000,20461,20192,35347
20,Cadiz,35.4,26.6,26.4,47.0,80704,76000,20216,20056,35728
