,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Milan,64.64,56.0,26.0,18.0,147387,76000,42540,19767,13693
2,Inter,63.7,54.9,26.4,18.7,145237,76000,41725,20062,14213
3,Roma,58.22,49.6,25.8,24.6,132750,76000,37716,19602,18682
4,Juventus,56.65,47.8,26.7,25.6,129153,76000,36296,20265,19439
5,Napoli,54.34,45.0,28.1,26.9,123899,76000,34174,21377,20449
6,Lazio,50.65,41.1,28.7,30.2,115483,76000,31216,21835,22949
7,Udinese,49.77,40.3,28.3,31.4,113468,76000,30656,21500,23844
8,Fiorentina,47.87,38.5,28.2,33.3,109153,76000,29248,21409,25343
9,Palermo,47.07,37.8,27.9,34.3,107325,76000,28709,21198,26093
10,Genoa,44.42,34.6,29.4,36.0,98618,74000,25623,21749,26628
11,Sampdoria,44.18,34.5,29.1,36.4,100738,76000,26201,22135,27664
12,Parma,41.6,31.9,29.2,39.0,94850,76000,24229,22163,29608
13,Catania,39.08,29.7,28.1,42.2,89108,76000,22582,21362,32056
14,Cagliari,38.63,28.8,29.5,41.7,88077,76000,21878,22443,31679
15,Chievo,37.12,27.2,29.7,43.1,82403,74000,20152,21947,31901
16,Cesena,34.85,25.5,28.0,46.5,79447,76000,19396,21259,35345
17,Brescia,34.68,25.6,27.3,47.1,76990,74000,18940,20170,34890
18,Bologna,34.33,24.8,28.8,46.5,76221,74000,18315,21276,34409
19,Lecce,33.2,24.0,27.6,48.4,75695,76000,18245,20960,36795
20,Bari,31.08,22.4,26.1,51.6,70859,76000,17020,19799,39181
