,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Paris SG,62.4,53.8,25.7,20.4,142271,76000,40905,19556,15539
2,Lille,61.04,52.3,26.3,21.4,139162,76000,39713,20023,16264
3,Lyon,58.86,50.0,26.6,23.4,134211,76000,37994,20229,17777
4,Marseille,56.72,47.5,27.5,24.9,129322,76000,36135,20917,18948
5,Montpellier,53.41,44.1,27.8,28.1,121768,76000,33549,21121,21330
6,Rennes,51.01,41.5,28.5,30.0,116311,76000,31558,21637,22805
7,Bordeaux,49.69,40.2,28.3,31.4,113290,76000,30590,21520,23890
8,Toulouse,46.28,36.7,28.7,34.6,105510,76000,27901,21807,26292
9,St Etienne,45.51,36.0,28.6,35.4,103766,76000,27334,21764,26902
10,Lorient,43.42,34.0,28.3,37.7,98994,76000,25818,21540,28642
11,Valenciennes,42.11,32.5,28.7,38.8,96013,76000,24733,21814,29453
12,Auxerre,40.74,31.2,28.7,40.2,92893,76000,23706,21775,30519
13,Sochaux,38.81,29.6,27.6,42.8,88492,76000,22516,20944,32540
14,Brest,38.64,29.1,28.5,42.3,88098,76000,22135,21693,32172
15,Nice,38.61,29.1,28.5,42.4,88027,76000,22116,21679,32205
16,Caen,38.37,28.9,28.4,42.7,87487,76000,21956,21619,32425
17,Evian Thonon Gaillard,37.78,28.5,27.8,43.7,86131,76000,21657,21160,33183
18,Nancy,37.57,28.3,27.9,43.8,85649,76000,21472,21233,33295
19,Dijon,34.47,25.4,27.2,47.4,78592,76000,19296,20704,36000
20,Ajaccio,31.79,22.9,26.8,50.4,72472,76000,17375,20347,38278
