,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Bayern Munich,78.92,73.2,17.1,9.7,160992,68000,49792,11616,6592
2,Dortmund,70.49,63.7,20.3,16.0,143803,68000,43332,13807,10861
3,Schalke 04,57.87,50.0,23.8,26.3,118056,68000,33968,16152,17880
4,Leverkusen,55.89,48.0,23.8,28.2,114016,68000,32612,16180,19208
5,Werder Bremen,45.32,37.0,24.9,38.1,92455,68000,25185,16900,25915
6,Mainz,43.82,35.1,26.3,38.7,89387,68000,23842,17861,26297
7,Ein Frankfurt,43.81,35.4,25.4,39.3,89375,68000,24041,17252,26707
8,Freiburg,43.41,34.8,25.7,39.4,88555,68000,23683,17506,26811
9,Stuttgart,43.15,34.7,25.3,40.0,88026,68000,23616,17178,27206
10,Wolfsburg,42.3,33.8,25.4,40.7,86295,68000,23002,17289,27709
11,M'gladbach,41.51,32.8,26.1,41.1,84688,68000,22324,17716,27960
12,Hamburg,40.46,32.0,25.5,42.6,82540,68000,21742,17314,28944
13,Hannover,40.39,32.0,25.0,42.9,82386,68000,21793,17007,29200
14,Hoffenheim,39.5,31.0,25.6,43.5,80575,68000,21064,17383,29553
15,Nurnberg,38.01,29.6,25.4,45.1,77531,68000,20097,17240,30663
16,Augsburg,36.82,28.4,25.4,46.3,75120,68000,19287,17259,31454
17,Fortuna Dusseldorf,33.65,25.4,24.8,49.8,68651,68000,17259,16874,33867
18,Greuther Furth,31.4,23.3,24.2,52.5,64055,68000,15867,16454,35679
