,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,81.04,76.4,14.0,9.7,184767,76000,58051,10614,7335
2,Liverpool,74.55,68.5,18.2,13.3,169979,76000,52061,13796,10143
3,Chelsea,63.21,56.0,21.7,22.3,144121,76000,42532,16525,16943
4,Man United,58.47,50.8,23.0,26.2,133317,76000,38606,17499,19895
5,Tottenham,56.45,48.7,23.2,28.1,128711,76000,37017,17660,21323
6,Leicester,54.09,45.9,24.5,29.6,123314,76000,34899,18617,22484
7,Arsenal,53.96,46.1,23.6,30.3,123032,76000,35029,17945,23026
8,Wolves,48.55,39.9,25.9,34.2,110697,76000,30341,19674,25985
9,Everton,46.6,38.2,25.3,36.6,106259,76000,29021,19196,27783
10,Southampton,40.08,31.9,24.4,43.7,91371,76000,24273,18552,33175
11,Sheffield United,38.9,30.4,25.4,44.2,88700,76000,23130,19310,33560
12,Brighton,38.03,29.6,25.2,45.1,86717,76000,22515,19172,34313
13,Watford,37.91,29.7,24.7,45.6,86428,76000,22540,18808,34652
14,West Ham,36.34,28.5,23.6,47.9,82852,76000,21643,17923,36434
15,Burnley,35.05,26.8,24.8,48.4,79920,76000,20348,18876,36776
16,Bournemouth,34.07,26.2,23.7,50.1,77670,76000,19877,18039,38084
17,Crystal Palace,33.63,25.5,24.5,50.1,76672,76000,19362,18586,38052
18,Aston Villa,32.19,24.4,23.5,52.1,73388,76000,18510,17858,39632
19,Newcastle,30.48,22.4,24.3,53.3,69492,76000,16997,18501,40502
20,Norwich,28.82,21.5,21.9,56.6,65713,76000,16368,16609,43023
