,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Ajax,84.08,80.0,12.1,7.8,126124,50000,40024,6052,3924
2,PSV Eindhoven,69.43,63.1,19.0,17.9,108310,52000,32803,9901,9296
3,AZ Alkmaar,66.87,60.5,19.2,20.4,100305,50000,30242,9579,10179
4,Feyenoord,63.91,57.2,20.1,22.7,95869,50000,28607,10048,11345
5,Utrecht,58.5,51.1,22.1,26.8,87748,50000,25565,11053,13382
6,Vitesse,54.46,46.7,23.2,30.1,84951,52000,24296,12063,15641
7,Heerenveen,46.43,38.7,23.1,38.2,72426,52000,20146,11988,19866
8,Groningen,45.05,36.8,24.8,38.4,70273,52000,19132,12877,19991
9,Heracles,43.48,35.9,22.8,41.3,67832,52000,18659,11855,21486
10,Sparta Rotterdam,42.48,35.0,22.4,42.6,66271,52000,18215,11626,22159
11,Willem II,42.04,34.4,23.0,42.6,65582,52000,17877,11951,22172
12,Twente,37.18,29.6,22.7,47.7,58000,52000,15398,11806,24796
13,FC Emmen,33.74,26.3,22.3,51.4,52636,52000,13673,11617,26710
14,Zwolle,33.54,26.2,21.9,51.9,52316,52000,13648,11372,26980
15,VVV Venlo,31.15,23.7,22.3,54.0,48599,52000,12335,11594,28071
16,Den Haag,30.17,23.1,21.3,55.6,47061,52000,11998,11067,28935
17,For Sittard,29.51,22.6,20.7,56.7,46040,52000,11754,10778,29468
18,Waalwijk,27.49,20.9,19.9,59.3,42882,52000,10853,10323,30824
