Column1,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
7,Arsenal,50.43,42.4,24.2,33.5,48415,32000,13561,7732,10707
11,Aston Villa,42.9,34.6,24.9,40.5,36032,28000,9686,6974,11340
13,Brighton,41.08,32.4,25.9,41.6,39440,32000,10382,8294,13324
18,Burnley,31.42,23,25.1,51.8,28279,30000,6913,7540,15547
3,Chelsea,66.3,59.1,21.5,19.3,63649,32000,18918,6895,6187
15,Crystal Palace,35.62,26.9,26.3,46.9,34200,32000,8597,8409,14994
8,Everton,50.25,41.8,25.3,32.9,45226,30000,12547,7585,9868
19,Fulham,30.58,22.3,24.7,52.9,27518,30000,6701,7415,15884
12,Leeds,42.69,34.7,23.9,41.4,40979,32000,11108,7655,13237
6,Leicester,50.46,42.2,24.7,33.1,48437,32000,13511,7904,10585
2,Liverpool,71.32,65.1,18.7,16.2,68466,32000,20830,5976,5194
1,Man City,77.19,71.8,16.2,12,64840,28000,20101,4537,3362
4,Man United,60.74,53.1,23,23.9,54664,30000,15924,6892,7184
17,Newcastle,31.53,23.5,24,52.5,28379,30000,7061,7196,15743
16,Sheffield United,31.57,23.3,25,51.8,30307,32000,7441,7984,16575
9,Southampton,44.74,36,26.3,37.7,42951,32000,11514,8409,12077
5,Tottenham,55.08,47,24.2,28.8,49572,30000,14102,7266,8632
20,West Brom,28.52,21,22.6,56.4,27379,32000,6715,7234,18051
14,West Ham,36.84,29,23.5,47.5,35370,32000,9280,7530,15190
10,Wolves,43.69,34.8,26.5,38.6,41938,32000,11149,8491,12360
