,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Necaxa,59.43,58.4,3.0,38.6,22980,12889,7532,384,4973
2,Guadalajara Chivas,46.99,46.0,3.0,51.0,17734,12580,5784,382,6414
3,Club Tijuana,55.18,54.1,3.1,42.7,21325,12882,6975,400,5507
4,Cruz Azul,33.27,32.3,3.0,64.7,12912,12935,4175,387,8373
5,U.N.A.M.- Pumas,55.82,54.8,3.0,42.2,21695,12956,7103,386,5467
6,Atl. San Luis,61.93,60.9,3.2,36.0,24019,12927,7870,409,4648
7,Pachuca,43.21,42.1,3.3,54.6,16520,12744,5365,425,6954
8,Mazatlan FC,60.33,59.3,3.2,37.6,23306,12878,7633,407,4838
9,Monterrey,32.59,31.6,3.1,65.4,12977,13272,4190,407,8675
10,Puebla,58.31,57.3,3.0,39.7,22083,12624,7235,378,5011
11,Juarez,63.14,62.1,3.2,34.7,24564,12967,8051,411,4505
12,U.A.N.L.- Tigres,34.6,33.6,3.1,63.3,13444,12951,4347,403,8201
13,Club America,43.11,42.0,3.4,54.7,16520,12773,5364,428,6981
14,Toluca,56.04,55.0,3.1,41.9,21848,12996,7149,401,5446
15,Queretaro,53.93,52.9,3.0,44.1,20609,12738,6744,377,5617
16,Santos Laguna,43.92,42.9,3.1,54.0,16983,12889,5527,402,6960
17,Atlas,53.88,52.8,3.1,44.0,20405,12624,6670,395,5559
18,Club Leon,35.82,34.8,3.0,62.2,14082,13103,4564,390,8149
